exp_sid,participant_number,exclude_flag,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,cooks_crosses_threshold,max_abs_dfbetas,cooks_distance,targeted_by
d4f017f131894c6480ae173727b7aa15,1,False,False,False,False,False,0.06362308762638942,0.0034685260711128404,neither
0991825287e24a6fa95fce328622b05f,2,False,False,False,False,False,0.08500385208741215,0.0040273668864186755,neither
dcb449585f9c4ccdb12eedf96ccd1d55,3,False,False,False,False,False,0.11661647699317335,0.005939750963023892,neither
f421afa804904223a83d5009309f4859,4,False,False,False,False,False,0.20606410720090926,0.035917298466479605,neither
0955eb67041143128a2b1b26ee7d4ebe,6,False,False,False,False,False,0.02372814110696749,0.0011185587047848344,neither
ab2be3030cef4125adb5c3b6ab4f23ab,7,False,False,False,False,False,0.08858947494459264,0.0066913132515996725,neither
1e53d11b72574a2aa0696ccbc1e987f7,8,False,False,False,False,False,0.008889465928446477,7.10097635358738e-05,neither
dc5266bf7db74dcd8b2a4b4ebed65967,9,False,False,False,False,False,0.035667542388768604,0.0007203721317429226,neither
a32acc2dcc1544d0b011d33223733a40,10,False,False,False,False,False,0.014750214481407422,0.0005394897726882188,neither
023f77ba0feb4f1cac3a22936b3d797c,11,False,False,False,False,False,0.020059760157454212,0.0008288153319675788,neither
62a36f18c1e94e6eabff7e80742d4d98,12,False,False,False,False,False,0.04900526859427775,0.001440768036354493,neither
4aaafe69bd1d423f9068c7ee2b7f1b24,13,False,False,False,False,False,0.047115089807070965,0.0011512830413132756,neither
673dcdd4a5344facb04c4a4576b0ba79,14,False,False,False,False,False,0.09831377123150918,0.004978746688651147,neither
47e09766c58f40a7b99fca6080d6a541,15,False,False,False,False,False,0.04346706905495033,0.002082552697609204,neither
7fc17f54105c4f4281dc03dfedd3dac2,16,False,False,False,False,False,0.042313760476863936,0.0018443171215898955,neither
ee867f0d615e4e4699081702333a57f3,17,False,False,False,False,False,0.05378359984274808,0.0015739658379881592,neither
bcc8ff2711444f4fa1cb7a4c732c6b9a,18,False,False,False,False,False,0.012416378314593723,6.037009487514376e-05,neither
bea2011ad47945a9991b4962b7a26bbe,19,False,False,False,False,False,0.05864637224277936,0.003768649764388796,neither
30211c3c23054047b300fe7d69b21ea6,20,False,False,False,False,False,0.0889179740485603,0.003196276321104774,neither
121e88c44bb24c3fac7a01bf04bdb03f,21,False,False,False,False,False,0.015346366602824773,0.0011199201601034322,neither
8c78b31e3f02444ab89450f9a192abb9,22,False,False,False,False,False,0.03952739434351748,0.0007418080826811474,neither
2a7ca7b5779c412984f34e46d9bf2635,23,False,False,False,False,False,0.0923655630979552,0.007128753126987242,neither
93915b60073745b0bc6f3db0d177d998,24,False,False,False,False,False,0.036497116659838395,0.0007885804683260521,neither
