exp_sid,participant_number,n_full,n_leave_one_out,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_ment_c,loo_beta_ment_c,delta_beta_ment_c,dfbetas_ment_c,full_beta_like_x_ment,loo_beta_like_x_ment,delta_beta_like_x_ment,dfbetas_like_x_ment,crosses_like_c,crosses_ment_c,crosses_like_x_ment,exclude_flag
d4f017f131894c6480ae173727b7aa15,1,99,98,0.23888451651824916,0.2433959893072476,0.0045114727889984385,0.05031276555857634,0.058054409845137316,0.05713755455092142,-0.0009168552942158958,-0.03813166789592169,-0.03788245860110219,-0.038577586212639486,-0.0006951276115372967,-0.03077083698243149,False,False,False,False
0991825287e24a6fa95fce328622b05f,2,99,98,0.23888451651824916,0.24756752537073815,0.008683008852488988,0.09683449489125859,0.058054409845137316,0.05880807084589512,0.0007536610007578062,0.031344478423481203,-0.03788245860110219,-0.03518910988968524,0.0026933487114169513,0.11922500668987772,False,False,False,False
dcb449585f9c4ccdb12eedf96ccd1d55,3,99,98,0.23888451651824916,0.25059664761325345,0.011712131095004297,0.13061581739143835,0.058054409845137316,0.056956107130311795,-0.0010983027148255206,-0.04567799808227344,-0.03788245860110219,-0.03777842334389647,0.00010403525720571738,0.004605272307947587,False,False,False,False
f421afa804904223a83d5009309f4859,4,99,98,0.23888451651824916,0.20458547207497071,-0.03429904444327844,-0.38250918550723767,0.058054409845137316,0.06482965758005765,0.006775247734920338,0.28178001280073633,-0.03788245860110219,-0.03247794222648409,0.0054045163746180985,0.23923879525440536,False,False,False,False
0955eb67041143128a2b1b26ee7d4ebe,6,99,98,0.23888451651824916,0.23705997851677943,-0.0018245380014697277,-0.020347579829033874,0.058054409845137316,0.057465089358203825,-0.0005893204869334909,-0.024509618075804238,-0.03788245860110219,-0.037707202789718855,0.00017525581138333468,0.0077579539537698345,False,False,False,False
ab2be3030cef4125adb5c3b6ab4f23ab,7,99,98,0.23888451651824916,0.24678461209072938,0.007900095572480226,0.08810330351494493,0.058054409845137316,0.05646976646258146,-0.0015846433825558587,-0.06590472409145673,-0.03788245860110219,-0.0391296278294282,-0.0012471692283260102,-0.05520776383699365,False,False,False,False
1e53d11b72574a2aa0696ccbc1e987f7,8,99,98,0.23888451651824916,0.23876457194363238,-0.00011994457461678154,-0.0013376437241145432,0.058054409845137316,0.057952500861800746,-0.00010190898333656967,-0.00423835640445792,-0.03788245860110219,-0.03782437188975445,5.808671134773652e-05,0.002571292948317667,False,False,False,False
dc5266bf7db74dcd8b2a4b4ebed65967,9,99,98,0.23888451651824916,0.2377259787275978,-0.001158537790651365,-0.012920224276634397,0.058054409845137316,0.05836485017742275,0.0003104403322854374,0.012911097014858293,-0.03788245860110219,-0.03814262354243686,-0.00026016494133467016,-0.011516580359466065,False,False,False,False
a32acc2dcc1544d0b011d33223733a40,10,99,98,0.23888451651824916,0.2400735140212891,0.0011889975030399402,0.01325991653237075,0.058054409845137316,0.057734548686426114,-0.0003198611587112016,-0.01330290565340641,-0.03788245860110219,-0.03799870637788616,-0.00011624777678397036,-0.005145877288745437,False,False,False,False
023f77ba0feb4f1cac3a22936b3d797c,11,99,98,0.23888451651824916,0.2400048044941578,0.0011202879759086293,0.012493655381770804,0.058054409845137316,0.05840949017440387,0.0003550803292665522,0.014767657750775246,-0.03788245860110219,-0.03795684453486602,-7.438593376383335e-05,-0.003292801787244286,False,False,False,False
62a36f18c1e94e6eabff7e80742d4d98,12,99,98,0.23888451651824916,0.23960176183076234,0.0007172453125131872,0.007998850252286494,0.058054409845137316,0.059087525246597244,0.001033115401459929,0.04296688216249254,-0.03788245860110219,-0.0378777697495868,4.68885151538867e-06,0.0002075588470666157,False,False,False,False
4aaafe69bd1d423f9068c7ee2b7f1b24,13,99,98,0.23888451651824916,0.24214571335834575,0.0032611968400965974,0.03636946064625967,0.058054409845137316,0.05761792113722265,-0.00043648870791466315,-0.018153401693291264,-0.03788245860110219,-0.03799651641207768,-0.0001140578109754889,-0.005048935260013686,False,False,False,False
673dcdd4a5344facb04c4a4576b0ba79,14,99,98,0.23888451651824916,0.24835662304113396,0.009472106522884799,0.10563465571462843,0.058054409845137316,0.056832520509831314,-0.001221889335306002,-0.05081791928714718,-0.03788245860110219,-0.03829894465004924,-0.00041648604894704844,-0.018436362050508182,False,False,False,False
47e09766c58f40a7b99fca6080d6a541,15,99,98,0.23888451651824916,0.24269870327648455,0.0038141867582353883,0.04253650484863643,0.058054409845137316,0.05877708595639331,0.000722676111255996,0.03005582848741327,-0.03788245860110219,-0.038656628752670306,-0.0007741701515681168,-0.034269770233819365,False,False,False,False
7fc17f54105c4f4281dc03dfedd3dac2,16,99,98,0.23888451651824916,0.23583464253721168,-0.003049873981037482,-0.03401274966466252,0.058054409845137316,0.05778245835640446,-0.00027195148873285224,-0.011310360443554086,-0.03788245860110219,-0.03813840239735549,-0.00025594379625330094,-0.011329725219456948,False,False,False,False
