exp_sid,participant_number,n_full,n_leave_one_out,cooks_distance,full_beta_like_c,loo_beta_like_c,delta_beta_like_c,dfbetas_like_c,full_beta_mentism_c,loo_beta_mentism_c,delta_beta_mentism_c,dfbetas_mentism_c,full_beta_like_x_mentism,loo_beta_like_x_mentism,delta_beta_like_x_mentism,dfbetas_like_x_mentism,crosses_like_c,crosses_mentism_c,crosses_like_x_mentism,dfbetas_exclude_flag,custom_exclude_flag,dfbetas_used_for_exclusion,exclude_flag,exclusion_reason,max_abs_dfbetas,cooks_threshold,cooks_crosses_threshold
d4f017f131894c6480ae173727b7aa15,1,100,99,0.0034685260711128704,0.2329171564899848,0.23873000260736457,0.005812846117379783,0.06362308762639081,0.04983475260711049,0.048496038330673515,-0.0013387142764369753,-0.05333634841644477,-0.06980909765707793,-0.07068671522138294,-0.0008776175643050027,-0.03732749566559781,False,False,False,False,False,False,False,,0.06362308762639081,0.04,False
0991825287e24a6fa95fce328622b05f,2,100,99,0.004027366886418683,0.2329171564899848,0.23916424543275525,0.006247088942770457,0.06837598642554497,0.04983475260711049,0.050438856808137485,0.0006041042010269948,0.024068401086727854,-0.06980909765707793,-0.06781054746518139,0.001998550191896542,0.08500385208741268,False,False,False,False,False,False,False,,0.08500385208741268,0.04,False
dcb449585f9c4ccdb12eedf96ccd1d55,3,100,99,0.0059397509630237785,0.2329171564899848,0.24357167925525666,0.010654522765271873,0.1166164769931719,0.04983475260711049,0.04874948984911409,-0.0010852627579963983,-0.04323846664125179,-0.06980909765707793,-0.06957773476093633,0.0002313628961416042,0.009840502120926681,False,False,False,False,False,False,False,,0.1166164769931719,0.04,False
f421afa804904223a83d5009309f4859,4,100,99,0.03591729846647944,0.2329171564899848,0.21409035964372045,-0.018826796846264343,-0.20606410720090887,0.04983475260711049,0.054088851472743046,0.0042540988656325565,0.16948956419533823,-0.06980909765707793,-0.06693966632018031,0.0028694313368976265,0.12204482925953915,False,False,False,False,False,False,False,,0.20606410720090887,0.04,False
0955eb67041143128a2b1b26ee7d4ebe,6,100,99,0.001118558704784825,0.2329171564899848,0.23230716498577242,-0.0006099915042123705,-0.006676513043725902,0.04983475260711049,0.049239188752510085,-0.0005955638546004047,-0.023728141106967193,-0.06980909765707793,-0.06952085650796141,0.0002882411491165193,0.012259691102256207,False,False,False,False,False,False,False,,0.023728141106967193,0.04,False
ab2be3030cef4125adb5c3b6ab4f23ab,7,100,99,0.006691313251599573,0.2329171564899848,0.24101102625776982,0.008093869767785034,0.08858947494459156,0.04983475260711049,0.04799543429225398,-0.0018393183148565084,-0.0732811505910263,-0.06980909765707793,-0.07104628712723929,-0.001237189470161354,-0.0526210805973815,False,False,False,False,False,False,False,,0.08858947494459156,0.04,False
1e53d11b72574a2aa0696ccbc1e987f7,8,100,99,7.100976353587875e-05,0.2329171564899848,0.23256582407199858,-0.00035133241798621095,-0.003845423182405576,0.04983475260711049,0.04961163169048163,-0.00022312091662885641,-0.008889465928447852,-0.06980909765707793,-0.06970722412296455,0.00010187353411338085,0.004332962394693811,False,False,False,False,False,False,False,,0.008889465928447852,0.04,False
dc5266bf7db74dcd8b2a4b4ebed65967,9,100,99,0.0007203721317428973,0.2329171564899848,0.22965843480535797,-0.0032587216846268197,-0.035667542388768535,0.04983475260711049,0.05069958962953784,0.0008648370224273519,0.03445638069565885,-0.06980909765707793,-0.0706139547132101,-0.0008048570561321605,-0.03423279056406617,False,False,False,False,False,False,False,,0.035667542388768535,0.04,False
a32acc2dcc1544d0b011d33223733a40,10,100,99,0.0005394897726882094,0.2329171564899848,0.23398295305236136,0.0010657965623765697,0.011665415996003781,0.04983475260711049,0.049464529986083076,-0.00037022262102741343,-0.01475021448140741,-0.06980909765707793,-0.06997199554018788,-0.00016289788310994147,-0.006928496275637651,False,False,False,False,False,False,False,,0.01475021448140741,0.04,False
023f77ba0feb4f1cac3a22936b3d797c,11,100,99,0.0008288153319675747,0.2329171564899848,0.23332923488304247,0.0004120783930576799,0.0045103034178150675,0.04983475260711049,0.05033824203040228,0.0005034894232917933,0.020059760157454472,-0.06980909765707793,-0.07001752895186718,-0.0002084312947892436,-0.008865157865182074,False,False,False,False,False,False,False,,0.020059760157454472,0.04,False
62a36f18c1e94e6eabff7e80742d4d98,12,100,99,0.0014407680363544516,0.2329171564899848,0.23265942685307336,-0.0002577296369114246,-0.0028209168008261104,0.04983475260711049,0.05106475905928747,0.0012300064521769821,0.049005268594276605,-0.06980909765707793,-0.07002737300639589,-0.00021827534931795345,-0.009283852656282019,False,False,False,False,False,False,False,,0.049005268594276605,0.04,False
4aaafe69bd1d423f9068c7ee2b7f1b24,13,100,99,0.0011512830413132377,0.2329171564899848,0.23722176943903356,0.0043046129490487695,0.04711508980706996,0.04983475260711049,0.04920056254179056,-0.0006341900653199298,-0.025267066230277923,-0.06980909765707793,-0.06992109374503337,-0.0001119960879554377,-0.004763502529750681,False,False,False,False,False,False,False,,0.04711508980706996,0.04,False
673dcdd4a5344facb04c4a4576b0ba79,14,100,99,0.004978746688651052,0.2329171564899848,0.24189947477582327,0.008982318285838481,0.09831377123150777,0.04983475260711049,0.04855471363921293,-0.001280038967897558,-0.05099863770790577,-0.06980909765707793,-0.07010062444170109,-0.0002915267846231584,-0.012399438242834378,False,False,False,False,False,False,False,,0.09831377123150777,0.04,False
47e09766c58f40a7b99fca6080d6a541,15,100,99,0.0020825526976090496,0.2329171564899848,0.2368884724543037,0.0039713159643189055,0.04346706905495024,0.04983475260711049,0.050589023125547264,0.000754270518436774,0.03005124833558177,-0.06980909765707793,-0.0705949854677868,-0.0007858878107088602,-0.03342597623500401,False,False,False,False,False,False,False,,0.04346706905495024,0.04,False
7fc17f54105c4f4281dc03dfedd3dac2,16,100,99,0.001844317121589921,0.2329171564899848,0.22905121116296717,-0.003865945327017617,-0.04231376047686415,0.04983475260711049,0.04968793967185877,-0.00014681293525171946,-0.005849243564853626,-0.06980909765707793,-0.0702145014789551,-0.0004054038218771622,-0.017242942734310877,False,False,False,False,False,False,False,,0.04231376047686415,0.04,False
ee867f0d615e4e4699081702333a57f3,17,100,99,0.0015739658379881512,0.2329171564899848,0.2351367908801613,0.0022196343901765003,0.024294466162198488,0.04983475260711049,0.04848481255524407,-0.0013499400518664217,-0.05378359984274859,-0.06980909765707793,-0.07002454734652756,-0.00021544968944962883,-0.0091636695483119,False,False,False,False,False,False,False,,0.05378359984274859,0.04,False
bcc8ff2711444f4fa1cb7a4c732c6b9a,18,100,99,6.037009487515605e-05,0.2329171564899848,0.23178274916757158,-0.0011344073224132112,-0.01241637831459552,0.04983475260711049,0.04989235827762567,5.760567051518034e-05,0.0022950947543026565,-0.06980909765707793,-0.06985906156674729,-4.996390966935382e-05,-0.0021251028893161067,False,False,False,False,False,False,False,,0.01241637831459552,0.04,False
bea2011ad47945a9991b4962b7a26bbe,19,100,99,0.003768649764388631,0.2329171564899848,0.22755900192836231,-0.005358154561622475,-0.058646372242779854,0.04983475260711049,0.0488266439240802,-0.0010081086830302927,-0.04016453466295601,-0.06980909765707793,-0.06873317065026355,0.0010759270068143867,0.045762143235098314,False,False,False,False,False,False,False,,0.058646372242779854,0.04,False
30211c3c23054047b300fe7d69b21ea6,20,100,99,0.0031962763211047475,0.2329171564899848,0.2318352315095808,-0.001081924980403992,-0.011841945656812401,0.04983475260711049,0.05206654696170784,0.0022317943545973468,0.08891797404855913,-0.06980909765707793,-0.07006300413454465,-0.00025390647746671713,-0.010799342814670767,False,False,False,False,False,False,False,,0.08891797404855913,0.04,False
121e88c44bb24c3fac7a01bf04bdb03f,21,100,99,0.0011199201601034192,0.2329171564899848,0.23151505434670386,-0.001402102143280931,-0.015346366602824135,0.04983475260711049,0.04998834272193987,0.00015359011482937723,0.006119256380580692,-0.06980909765707793,-0.06950280712034486,0.0003062905367330754,0.013027381341634258,False,False,False,False,False,False,False,,0.015346366602824135,0.04,False
8c78b31e3f02444ab89450f9a192abb9,22,100,99,0.0007418080826811155,0.2329171564899848,0.2324979965230094,-0.00041915996697539093,-0.004587813055744789,0.04983475260711049,0.05082686940342466,0.0009921167963141686,0.03952739434351634,-0.06980909765707793,-0.06992883493119939,-0.0001197372741214564,-0.0050927565292276395,False,False,False,False,False,False,False,,0.03952739434351634,0.04,False
2a7ca7b5779c412984f34e46d9bf2635,23,100,99,0.007128753126987127,0.2329171564899848,0.2374913055719355,0.0045741490819507236,0.050065231726503664,0.04983475260711049,0.05182338545392599,0.001988632846815497,0.07923006145302076,-0.06980909765707793,-0.0719807311692183,-0.002171633512140364,-0.09236556309795395,False,False,False,False,False,False,False,,0.09236556309795395,0.04,False
93915b60073745b0bc6f3db0d177d998,24,100,99,0.0007885804683260287,0.2329171564899848,0.23297869100306418,6.153451307938651e-05,0.0006735109856067967,0.04983475260711049,0.04891869418594106,-0.00091605842116943,-0.03649711665983809,-0.06980909765707793,-0.069607137603676,0.00020196005340193668,0.008589918119921247,False,False,False,False,False,False,False,,0.03649711665983809,0.04,False
9f2a4e88194e4080ad8aad6a59b6a1d1,25,100,99,0.0031962763211047466,0.2329171564899848,0.23183523150958082,-0.0010819249804039643,-0.011841945656812097,0.04983475260711049,0.05206654696170783,0.00223179435459734,0.08891797404855885,-0.06980909765707793,-0.07006300413454464,-0.00025390647746670325,-0.010799342814670177,False,False,False,False,False,False,False,,0.08891797404855885,0.04,False
8b081f52ad9343fbbda7ef81e6dd3a04,26,100,99,0.004454468895054157,0.2329171564899848,0.23891896030175588,0.006001803811771095,0.06569127792511462,0.04983475260711049,0.0505863578026455,0.0007516051955350073,0.029945057945718057,-0.06980909765707793,-0.0676384070460501,0.0021706906110278285,0.0923254589129162,False,False,False,False,False,False,False,,0.0923254589129162,0.04,False
9cdcc1da3e10496c9a623f7b5284a5ba,27,100,99,0.00023452020276024202,0.2329171564899848,0.2331106255856304,0.00019346909564560422,0.0021175687394262813,0.04983475260711049,0.04922371425248507,-0.0006110383546254206,-0.02434466797863187,-0.06980909765707793,-0.06970618122206283,0.00010291643501510184,0.004377319846586272,False,False,False,False,False,False,False,,0.02434466797863187,0.04,False
6bba52ff679e449391b18a4f3cb3378a,28,100,99,0.01722174296230703,0.2329171564899848,0.22090830781626275,-0.012008848673722039,-0.1314399204850593,0.04983475260711049,0.04833720442775327,-0.001497548179357218,-0.05966452503755714,-0.06980909765707793,-0.07404120693249827,-0.004232109275420337,-0.18000328054018688,False,False,False,False,False,False,False,,0.18000328054018688,0.04,False
