,count,mean,std,min,25%,50%,75%,max
age,100.0,29.88,7.451228628944899,17.0,24.0,29.0,36.0,48.0
captcha_post_attempts,100.0,36.16,36.215047935488045,3.0,11.0,24.5,40.25,120.0
captcha_post_completions,100.0,34.16,36.91341766946545,1.0,9.75,21.5,37.0,120.0
captcha_post_total_time,100.0,237.6887874322158,309.25711518948714,16.504451922489732,70.25206516706155,138.55005596874565,267.6064725034747,2080.9962011106168
captcha_post_mean_rt,100.0,6.711184554200447,3.647264289900193,2.0,4.420590494353339,5.802295592436726,8.268576737045958,25.0
q_pre_captcha_fun,100.0,2.2528955914772997,0.35494268996385264,1.5762197850451491,1.9975254298698244,2.2133966835478525,2.483151291565816,3.1291019966362392
q_pre_captcha_difficulty,100.0,2.436167377501032,0.3816554211844337,1.5284990976649788,2.1923970173651086,2.437719098648137,2.6624018150583875,3.337270552475118
q_pre_idaq,100.0,5.038324046491397,1.8003224057954006,1.0,3.635681219452195,4.988684495456111,5.971218586586975,9.903576253013394
q_pre_2050_mean_futurism_score,100.0,3.0335055954408148,0.8692900604154514,1.0,2.359853638411296,3.09694501010447,3.618624231220453,5.042133429693392
q_post_gators_pos,100.0,3.0586570477075194,1.0222089809792934,1.0,2.3343342966416483,3.077890553224789,3.6221550150962787,5.430475259236146
q_post_gators_neg,100.0,2.9954260337056122,0.8834570261393755,1.0,2.3856351348973415,2.993903674498105,3.6501337832604093,5.065767142338545
q_post_specific_mentacy_belief_scale,100.0,0.03,2.4389722955757125,-6.0,-2.0,0.0,1.25,6.0
q_post_specific_likeability,100.0,3.8573965793480225,1.0322425762246195,1.83164237368435,3.206789927150065,3.763918045665263,4.501910637415236,7.0
