column,n_missing,prop_missing
mean_latency_sec,7,0.0707070707070707
robot_word_rate_wps,7,0.0707070707070707
robot_mean_words_per_turn,7,0.0707070707070707
word_rate_wps,7,0.0707070707070707
mean_words_per_turn,7,0.0707070707070707
robot_total_words,6,0.06060606060606061
total_words,6,0.06060606060606061
captcha_post_mean_rt,1,0.010101010101010102
q_pre_2050_mean_futurism_score,0,0.0
q_post_gators_total_time,0,0.0
q_post_gators_pos,0,0.0
q_post_gators_neg,0,0.0
q_post_specific_robot_empathy,0,0.0
q_post_specific_total_time,0,0.0
q_post_specific_mentacy_belief_scale,0,0.0
q_post_specific_likeability,0,0.0
q_pre_idaq,0,0.0
watchdog_total,0,0.0
q_pre_2050_total_time,0,0.0
exp_sid,0,0.0
participant_number,0,0.0
captcha_pre_mean_rt,0,0.0
age,0,0.0
gender,0,0.0
captcha_pre_attempts,0,0.0
captcha_pre_completions,0,0.0
captcha_pre_goal,0,0.0
captcha_pre_total_time,0,0.0
captcha_post_attempts,0,0.0
q_pre_captcha_meaningfulness,0,0.0
captcha_post_completions,0,0.0
captcha_post_goal,0,0.0
captcha_post_total_time,0,0.0
q_pre_captcha_total_time,0,0.0
q_pre_captcha_fun,0,0.0
q_pre_captcha_difficulty,0,0.0
q_pre_idaq_total_time,0,0.0
