,count,mean,std,min,25%,50%,75%,max
age,120.0,21.041666666666668,4.949146150503904,17.0,18.0,19.0,22.25,48.0
captcha_post_attempts,120.0,18.8,26.59045130945197,0.0,5.0,12.0,18.25,151.0
captcha_post_completions,120.0,15.591666666666667,22.652098733468655,0.0,5.0,10.0,15.0,128.0
captcha_post_total_time,120.0,185.9615,239.28969837493997,0.0,61.86775,118.07249999999999,199.872,1199.055
captcha_post_mean_rt,116.0,10.821222497766364,4.069477139922154,3.526,8.337604679802956,9.878857142857143,12.210914814814815,38.294285714285714
q_pre_captcha_fun,120.0,3.6055555555555556,1.3382146874257803,1.0,2.6666666666666665,3.6666666666666665,4.666666666666667,7.0
q_pre_captcha_difficulty,120.0,3.1333333333333333,1.3530751364687668,1.0,2.0,3.0,4.0,6.0
q_pre_captcha_meaningfulness,120.0,2.8583333333333334,1.468411554366554,1.0,2.0,3.0,4.0,7.0
q_pre_idaq,120.0,4.128333333333333,1.2473138271421587,1.2,3.3833333333333333,4.0,4.766666666666667,8.0
q_pre_2050_mean_futurism_score,120.0,4.363333333333332,1.5144211837999726,1.2,3.2666666666666666,4.333333333333333,5.35,9.2
q_post_gators_pos,120.0,4.5225,0.7109542055244776,2.7,4.1,4.5,4.925000000000001,6.4
q_post_gators_neg,120.0,4.509166666666667,0.8196121067933543,2.4,3.9,4.5,5.1,6.3
q_post_specific_mentism,120.0,-1.85,3.682002560719215,-6.0,-5.0,-3.0,1.25,6.0
q_post_specific_robot_has_mind,120.0,0.325,0.4703386943415967,0.0,0.0,0.0,1.0,1.0
q_post_specific_likeability,120.0,5.591666666666667,1.008333622705239,3.0,5.0,6.0,6.0,7.0
q_post_specific_robot_empathy,120.0,4.3,1.6632457889986823,1.0,3.0,5.0,5.0,7.0
