model,dataset,n_obs,df_model,logLik,AIC,BIC,alpha_est
intercept_only,primary,100,0,-389.616773480608,783.233546961215,788.443887333191,0.90831958651083
theory_primary_only,primary,100,3,-377.74320030351,765.48640060702,778.512251536961,0.725126630308212
theory_plus_exploratory,primary,100,6,-376.445001987188,768.890003974376,789.731365462281,0.707259684668058
trivial_only,primary,100,2,-388.094268764203,784.188537528406,794.609218272359,0.8835059249084
theory_plus_exploratory_plus_trivial,primary,100,8,-375.42530840168,770.850616803359,796.90231866324,0.69350598204362
,,,,,,,
,,,,,,,
theory_primary_only,dfbetas_sensitivity,98,3,-355.578042165721,721.156084331443,734.080921724796,0.588403763517526
theory_plus_exploratory,dfbetas_sensitivity,98,6,-353.801971361234,723.603942722468,744.283682551832,0.566508231346186
theory_plus_exploratory_plus_trivial,dfbetas_sensitivity,98,8,-352.48495338065,724.9699067613,750.819581548006,0.550732739316892
intercept_only,dfbetas_sensitivity,98,0,-368.215856484528,740.431712969057,745.601647926398,0.766850962722208
trivial_only,dfbetas_sensitivity,98,2,-366.853084859623,741.706169719246,752.046039633928,0.746768736496622
