participant_number,captcha_post_completions,q_post_specific_likeability,q_post_specific_mentism,q_post_gators_pos,q_post_gators_neg,q_pre_idaq,q_pre_captcha_fun,q_pre_captcha_difficulty,like_c,mentism_c,like_x_mentism,liking_zone,mentism_zone,quadrant
1,15,7.0,-5.0,4.0,4.9,3.933333333333333,3.6666666666666665,3.0,1.4152542372881358,-3.0508474576271185,-4.317724791726516,high_liking,low_mentism,high_liking__low_mentism
2,11,7.0,4.0,4.6,5.0,3.533333333333333,5.333333333333333,4.0,1.4152542372881358,5.9491525423728815,8.419563343866706,high_liking,higher_mentism,high_liking__higher_mentism
3,5,7.0,-2.0,3.6,6.1,4.6,3.6666666666666665,3.0,1.4152542372881358,-0.05084745762711873,-0.07196207986210873,high_liking,higher_mentism,high_liking__higher_mentism
4,67,7.0,-5.0,5.3,5.1,3.066666666666667,2.0,3.0,1.4152542372881358,-3.0508474576271185,-4.317724791726516,high_liking,low_mentism,high_liking__low_mentism
6,30,6.0,-0.0,4.8,3.4,2.4,4.666666666666667,5.0,0.4152542372881358,1.9491525423728813,0.8093938523412817,high_liking,higher_mentism,high_liking__higher_mentism
7,10,7.0,-5.0,4.4,4.8,4.533333333333333,5.333333333333333,5.0,1.4152542372881358,-3.0508474576271185,-4.317724791726516,high_liking,low_mentism,high_liking__low_mentism
8,10,5.0,-5.0,3.9,5.3,3.933333333333333,2.6666666666666665,4.0,-0.5847457627118642,-3.0508474576271185,1.7839701235277212,lower_liking,low_mentism,lower_liking__low_mentism
9,15,5.0,1.0,5.2,4.5,4.6,3.0,2.0,-0.5847457627118642,2.9491525423728815,-1.7245044527434639,lower_liking,higher_mentism,lower_liking__higher_mentism
10,12,6.0,-3.0,4.0,4.5,1.2,3.3333333333333335,2.0,0.4152542372881358,-1.0508474576271187,-0.4363688595231258,high_liking,higher_mentism,high_liking__higher_mentism
11,11,6.0,0.0,4.1,5.6,2.7333333333333334,4.333333333333333,5.0,0.4152542372881358,1.9491525423728813,0.8093938523412817,high_liking,higher_mentism,high_liking__higher_mentism
12,11,6.0,2.0,5.6,4.3,4.266666666666667,4.0,5.0,0.4152542372881358,3.9491525423728815,1.6399023269175534,high_liking,higher_mentism,high_liking__higher_mentism
