,dataset,coef,IRR,CI_low_IRR,CI_high_IRR,p_value
Intercept,primary,3.108858854847623,22.39547332754523,2.416516607691173,207.5538086386237,0.00620671706816136
like_c,primary,0.2085849543745589,1.2319335837625907,0.9944797879053039,1.526084665831996,0.05622412147646961
ment_c,primary,0.032538440573834974,1.0330736043228714,0.9764405547435454,1.0929913416275006,0.2579911580433568
like_x_ment,primary,-0.07579813233969719,0.927003319663938,0.8819568557157288,0.9743505581920904,0.0028606725420716687
q_post_gators_pos,primary,-0.006027520591979926,0.9939906084675485,0.7243889165049838,1.3639321464064529,0.9702154944105568
q_post_gators_neg,primary,-0.16913717452302057,0.844393066225161,0.6613601305172183,1.0780807874395544,0.17483181641270407
q_pre_idaq,primary,0.07560398845031434,1.0785353771093045,0.9048904293209297,1.2855021138296887,0.3986032810630856
q_pre_captcha_fun,primary,0.08986879296257708,1.0940307297568712,0.9540552549628499,1.254542890913544,0.19823154539790921
q_pre_captcha_difficulty,primary,-0.03480400490384581,0.9657946887316053,0.8420229462807547,1.1077600496544777,0.6189112905121497
alpha,primary,0.6984212720376225,2.010576047962263,1.64434464618139,2.458375167290585,9.919679044046079e-12
