focal,moderator,moderator_level,moderator_value,q_post_specific_likeability,q_post_specific_mentism,like_c,mentism_c,like_x_mentism,predicted_completions
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.0,-5.0,-2.591666666666667,-3.15,8.16375,4.561177562871746
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.050632911392405,-5.0,-2.541033755274262,-3.15,8.004256329113925,4.658480988310787
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.1012658227848102,-5.0,-2.4904008438818566,-3.15,7.844762658227848,4.75786018398058
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.151898734177215,-5.0,-2.4397679324894517,-3.15,7.6852689873417726,4.8593594322075795
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.2025316455696204,-5.0,-2.3891350210970463,-3.15,7.525775316455696,4.963023959991413
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.2531645569620253,-5.0,-2.3385021097046415,-3.15,7.366281645569621,5.068899959157547
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.3037974683544302,-5.0,-2.2878691983122366,-3.15,7.206787974683545,5.177034606939888
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.3544303797468356,-5.0,-2.2372362869198312,-3.15,7.047294303797468,5.287476087002453
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.4050632911392404,-5.0,-2.1866033755274263,-3.15,6.887800632911393,5.40027361090951
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.4556962025316453,-5.0,-2.1359704641350215,-3.15,6.728306962025317,5.515477440053737
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.5063291139240507,-5.0,-2.085337552742616,-3.15,6.56881329113924,5.6331389080521665
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.5569620253164556,-5.0,-2.0347046413502112,-3.15,6.409319620253165,5.753310443619906
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.607594936708861,-5.0,-1.984071729957806,-3.15,6.2498259493670885,5.876045593931828
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.6582278481012658,-5.0,-1.933438818565401,-3.15,6.090332278481013,6.001399048482625
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.708860759493671,-5.0,-1.8828059071729957,-3.15,5.930838607594937,6.129426663455874
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.759493670886076,-5.0,-1.8321729957805908,-3.15,5.771344936708861,6.2601854866129685
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.810126582278481,-5.0,-1.781540084388186,-3.15,5.611851265822786,6.393733782713001
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.8607594936708862,-5.0,-1.7309071729957806,-3.15,5.452357594936709,6.530131059474926
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.911392405063291,-5.0,-1.6802742616033757,-3.15,5.292863924050633,6.669438094093576
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,3.962025316455696,-5.0,-1.6296413502109708,-3.15,5.133370253164558,6.811716960321348
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.012658227848101,-5.0,-1.5790084388185655,-3.15,4.973876582278481,6.957031056127604
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.063291139240507,-5.0,-1.5283755274261601,-3.15,4.814382911392404,7.105445131948147
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.113924050632911,-5.0,-1.4777426160337557,-3.15,4.65488924050633,7.25702531953734
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.1645569620253164,-5.0,-1.4271097046413503,-3.15,4.495395569620253,7.411839161435716
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.215189873417722,-5.0,-1.376476793248945,-3.15,4.335901898734177,7.569955641066223
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.265822784810126,-5.0,-1.3258438818565406,-3.15,4.1764082278481025,7.731445213472515
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.3164556962025316,-5.0,-1.2752109704641352,-3.15,4.016914556962026,7.896379836712992
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.367088607594937,-5.0,-1.22457805907173,-3.15,3.857420886075949,8.064833003924532
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.417721518987342,-5.0,-1.1739451476793246,-3.15,3.697927215189872,8.236879776070278
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.468354430379747,-5.0,-1.1233122362869201,-3.15,3.5384335443037984,8.41259681538602
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.518987341772152,-5.0,-1.0726793248945148,-3.15,3.3789398734177216,8.592062419540062
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.5696202531645564,-5.0,-1.0220464135021103,-3.15,3.2194462025316475,8.775356556521857
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.620253164556962,-5.0,-0.971413502109705,-3.15,3.0599525316455707,8.962560900274905
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.670886075949367,-5.0,-0.9207805907172997,-3.15,2.900458860759494,9.153758867089797
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.7215189873417724,-5.0,-0.8701476793248943,-3.15,2.740965189873417,9.349035652773633
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.772151898734177,-5.0,-0.8195147679324899,-3.15,2.581471518987343,9.548478270612405
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.822784810126582,-5.0,-0.7688818565400846,-3.15,2.421977848101266,9.752175590143173
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.8734177215189876,-5.0,-0.7182489451476792,-3.15,2.2624841772151894,9.96021837675341
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.924050632911392,-5.0,-0.6676160337552748,-3.15,2.1029905063291157,10.172699332125116
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,4.974683544303797,-5.0,-0.6169831223628695,-3.15,1.9434968354430386,10.389713135541717
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.025316455696203,-5.0,-0.5663502109704641,-3.15,1.7840031645569618,10.611356486076113
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.075949367088608,-5.0,-0.5157172995780588,-3.15,1.624509493670885,10.837728145678842
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.1265822784810124,-5.0,-0.46508438818565434,-3.15,1.4650158227848111,11.068928983185314
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.177215189873418,-5.0,-0.414451476793249,-3.15,1.3055221518987343,11.305062019261921
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.227848101265822,-5.0,-0.36381856540084456,-3.15,1.1460284810126604,11.546232472310985
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.2784810126582276,-5.0,-0.31318565400843923,-3.15,0.9865348101265835,11.792547805354939
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.329113924050633,-5.0,-0.2625527426160339,-3.15,0.8270411392405067,12.044117773920739
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.379746835443038,-5.0,-0.21191983122362856,-3.15,0.6675474683544299,12.301054474945788
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.4303797468354436,-5.0,-0.16128691983122323,-3.15,0.5080537974683531,12.56347239672713
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.481012658227848,-5.0,-0.11065400843881879,-3.15,0.34856012658227914,12.83148846993624
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.531645569620253,-5.0,-0.06002109704641345,-3.15,0.18906645569620237,13.105222119722127
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.582278481012658,-5.0,-0.009388185654009007,-3.15,0.029572784810128372,13.384795318925883
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.632911392405063,-5.0,0.041244725738396326,-3.15,-0.12992088607594843,13.670332642430553
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.6835443037974684,-5.0,0.09187763713080166,-3.15,-0.2894145569620252,13.961961322670348
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.734177215189874,-5.0,0.142510548523207,-3.15,-0.448908227848102,14.259811306324108
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.784810126582278,-5.0,0.19314345991561144,-3.15,-0.608401898734176,14.564015312218169
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.8354430379746836,-5.0,0.24377637130801677,-3.15,-0.7678955696202528,14.874708890464499
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.886075949367088,-5.0,0.2944092827004212,-3.15,-0.9273892405063268,15.192030482860362
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.936708860759493,-5.0,0.34504219409282655,-3.15,-1.0868829113924037,15.516121484576585
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,5.987341772151899,-5.0,0.3956751054852319,-3.15,-1.2463765822784805,15.847126307161712
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.037974683544304,-5.0,0.4463080168776372,-3.15,-1.4058702531645573,16.185192442890305
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.088607594936709,-5.0,0.49694092827004255,-3.15,-1.565363924050634,16.530470530483935
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.139240506329114,-5.0,0.547573839662447,-3.15,-1.724857594936708,16.883114422234225
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.189873417721519,-5.0,0.5982067510548523,-3.15,-1.8843512658227848,17.243281252557836
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.240506329113924,-5.0,0.6488396624472568,-3.15,-2.043844936708859,17.611131508013862
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.291139240506329,-5.0,0.6994725738396621,-3.15,-2.2033386075949357,17.98682909881502
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.341772151898734,-5.0,0.7501054852320674,-3.15,-2.3628322784810125,18.370541431864254
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.3924050632911396,-5.0,0.8007383966244728,-3.15,-2.5223259493670893,18.762439485349553
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.443037974683545,-5.0,0.8513713080168781,-3.15,-2.681819620253166,19.16269788492999
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.493670886075949,-5.0,0.9020042194092825,-3.15,-2.84131329113924,19.57149498154712
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.544303797468354,-5.0,0.952637130801687,-3.15,-3.000806962025314,19.98901293089626
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.594936708860759,-5.0,1.0032700421940923,-3.15,-3.1603006329113907,20.415437774593187
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.6455696202531644,-5.0,1.0539029535864977,-3.15,-3.3197943037974675,20.850959523072287
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.69620253164557,-5.0,1.104535864978903,-3.15,-3.4792879746835443,21.295772240253235
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.746835443037975,-5.0,1.1551687763713083,-3.15,-3.638781645569621,21.750074130013843
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.7974683544303796,-5.0,1.2058016877637128,-3.15,-3.7982753164556953,22.214067624507607
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.848101265822785,-5.0,1.256434599156118,-3.15,-3.957768987341772,22.687959474365393
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.898734177215189,-5.0,1.3070675105485225,-3.15,-4.117262658227846,23.17196084082129
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,6.949367088607595,-5.0,1.3577004219409279,-3.15,-4.276756329113923,23.66628738980389
q_post_specific_likeability,q_post_specific_mentism,low,-5.0,7.0,-5.0,1.4083333333333332,-3.15,-4.436249999999999,24.17115938803473
