focal,moderator,moderator_level,moderator_value,q_post_specific_likeability,q_post_specific_mentacy_belief_scale,like_c,ment_c,like_x_ment,predicted_completions
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-6.0,-0.6464646464646462,-4.303030303030303,2.7817569635751442,9.903883755242354
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.848101265822785,-0.6464646464646462,-4.151131568853088,2.6835598020868434,10.051151290631676
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.69620253164557,-0.6464646464646462,-3.9992328346758725,2.5853626405985426,10.200608646450602
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.544303797468355,-0.6464646464646462,-3.8473341004986574,2.487165479110242,10.352288384617827
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.3924050632911396,-0.6464646464646462,-3.6954353663214423,2.3889683176219414,10.506223551237204
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.240506329113924,-0.6464646464646462,-3.5435366321442263,2.29077115613364,10.662447683797426
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-5.088607594936709,-0.6464646464646462,-3.391637897967012,2.19257399464534,10.820994818478734
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.936708860759493,-0.6464646464646462,-3.239739163789796,2.094376833157039,10.98189949756834
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.784810126582278,-0.6464646464646462,-3.087840429612581,1.9961796716687383,11.145196776986026
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.632911392405063,-0.6464646464646462,-2.935941695435366,1.8979825101804377,11.310922233921746
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.481012658227848,-0.6464646464646462,-2.7840429612581508,1.7997853486921371,11.479111974586688
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.329113924050633,-0.6464646464646462,-2.6321442270809357,1.7015881872038365,11.649802642079692
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.177215189873418,-0.6464646464646462,-2.4802454929037205,1.6033910257155357,11.823031424370582
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-4.025316455696203,-0.6464646464646462,-2.3283467587265054,1.5051938642272351,11.998836062402189
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.873417721518987,-0.6464646464646462,-2.1764480245492903,1.4069967027389345,12.177254858312956
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.721518987341772,-0.6464646464646462,-2.024549290372075,1.308799541250634,12.358326683781643
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.569620253164557,-0.6464646464646462,-1.8726505561948599,1.210602379762333,12.542090988496271
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.4177215189873418,-0.6464646464646462,-1.7207518220176448,1.1124052182740325,12.728587808748918
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.2658227848101267,-0.6464646464646462,-1.5688530878404296,1.014208056785732,12.9178577761583
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-3.113924050632911,-0.6464646464646462,-1.416954353663214,0.916010895297431,13.109942126522132
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-2.962025316455696,-0.6464646464646462,-1.265055619485999,0.8178137338091302,13.30488270880104
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-2.810126582278481,-0.6464646464646462,-1.1131568853087839,0.7196165723208297,13.50272199423611
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-2.6582278481012658,-0.6464646464646462,-0.9612581511315688,0.621419410832529,13.703503085601993
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-2.5063291139240507,-0.6464646464646462,-0.8093594169543536,0.5232222493442285,13.907269726597589
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-2.3544303797468356,-0.6464646464646462,-0.6574606827771385,0.42502508785592774,14.11406631137641
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-2.20253164556962,-0.6464646464646462,-0.505561948599923,0.32682792636762686,14.32393789421861
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-2.050632911392405,-0.6464646464646462,-0.35366321442270787,0.2286307648793262,14.536930199346866
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-1.8987341772151893,-0.6464646464646462,-0.20176448024549232,0.13043360339102528,14.753089630888178
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-1.7468354430379742,-0.6464646464646462,-0.049865746068277206,0.03223644190272464,14.972463282983867
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-1.5949367088607591,-0.6464646464646462,0.1020329881089379,-0.06596071958557599,15.195098950049838
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-1.443037974683544,-0.6464646464646462,0.253931722286153,-0.16415788107387663,15.42104513718942
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-1.291139240506329,-0.6464646464646462,0.4058304564633681,-0.2623550425621773,15.65035107076112
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-1.1392405063291138,-0.6464646464646462,0.5577291906405832,-0.3605522040504779,15.883066709103367
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-0.9873417721518987,-0.6464646464646462,0.7096279248177984,-0.45874936553877854,16.119242753418884
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-0.8354430379746836,-0.6464646464646462,0.8615266589950135,-0.5569465270270791,16.358930658820817
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-0.6835443037974684,-0.6464646464646462,1.0134253931722286,-0.6551436885153799,16.602182645543106
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-0.5316455696202533,-0.6464646464646462,1.1653241273494437,-0.7533408500036805,16.84905171031766
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-0.3797468354430382,-0.6464646464646462,1.3172228615266588,-0.851538011491981,17.099591637920536
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-0.22784810126582222,-0.6464646464646462,1.4691215957038748,-0.9497351729802823,17.353857012889975
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,-0.07594936708860711,-0.6464646464646462,1.62102032988109,-1.047932334468583,17.611903231418573
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,0.075949367088608,-0.6464646464646462,1.772919064058305,-1.1461294959568835,17.8737865134223
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,0.2278481012658231,-0.6464646464646462,1.9248177982355201,-1.2443266574451841,18.13956391478904
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,0.3797468354430382,-0.6464646464646462,2.0767165324127355,-1.342523818933485,18.409293339809206
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,0.5316455696202533,-0.6464646464646462,2.2286152665899506,-1.4407209804217855,18.6830335537912
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,0.6835443037974684,-0.6464646464646462,2.3805140007671657,-1.5389181419100861,18.960844195864457
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,0.8354430379746836,-0.6464646464646462,2.532412734944381,-1.637115303398387,19.24278579197295
q_post_specific_mentacy_belief_scale,q_post_specific_likeability,low,5.0,5.0,0.9873417721518987,-0.6464646464646462,2.684311469121596,-1.7353124648866876,19.52891976806173
