captcha_post_completions,q_post_specific_likeability,q_post_specific_mentacy_belief_scale,q_post_gators_pos,q_post_gators_neg,q_pre_idaq,q_pre_captcha_fun,q_pre_captcha_difficulty,like_c,ment_c,like_x_ment,liking_zone,mentacy_zone,quadrant
15,7.0,-5.0,4.0,4.9,3.933333333333333,3.6666666666666665,3.0,1.3535353535353538,-3.3030303030303028,-4.470768288950108,high_liking,low_mentacy,high_liking__low_mentacy
11,7.0,4.0,4.6,5.0,3.533333333333333,5.333333333333333,4.0,1.3535353535353538,5.696969696969697,7.711049892868076,high_liking,higher_mentacy,high_liking__higher_mentacy
5,7.0,-2.0,3.6,6.1,4.6,3.6666666666666665,3.0,1.3535353535353538,-0.303030303030303,-0.41016222834404653,high_liking,higher_mentacy,high_liking__higher_mentacy
67,7.0,-5.0,5.3,5.1,3.066666666666667,2.0,3.0,1.3535353535353538,-3.3030303030303028,-4.470768288950108,high_liking,low_mentacy,high_liking__low_mentacy
30,6.0,-0.0,4.8,3.4,2.4,4.666666666666667,5.0,0.3535353535353538,1.696969696969697,0.599938781756964,high_liking,higher_mentacy,high_liking__higher_mentacy
10,7.0,-5.0,4.4,4.8,4.533333333333333,5.333333333333333,5.0,1.3535353535353538,-3.3030303030303028,-4.470768288950108,high_liking,low_mentacy,high_liking__low_mentacy
10,5.0,-5.0,3.9,5.3,3.933333333333333,2.6666666666666665,4.0,-0.6464646464646462,-3.3030303030303028,2.135292317110498,lower_liking,low_mentacy,lower_liking__low_mentacy
15,5.0,1.0,5.2,4.5,4.6,3.0,2.0,-0.6464646464646462,2.6969696969696972,-1.7434955616773793,lower_liking,higher_mentacy,lower_liking__higher_mentacy
12,6.0,-3.0,4.0,4.5,1.2,3.3333333333333335,2.0,0.3535353535353538,-1.303030303030303,-0.46066727884909736,high_liking,higher_mentacy,high_liking__higher_mentacy
11,6.0,0.0,4.1,5.6,2.7333333333333334,4.333333333333333,5.0,0.3535353535353538,1.696969696969697,0.599938781756964,high_liking,higher_mentacy,high_liking__higher_mentacy
11,6.0,2.0,5.6,4.3,4.266666666666667,4.0,5.0,0.3535353535353538,3.6969696969696972,1.3070094888276718,high_liking,higher_mentacy,high_liking__higher_mentacy
17,7.0,-3.0,4.7,3.9,2.066666666666667,5.333333333333333,2.0,1.3535353535353538,-1.303030303030303,-1.7636975818794003,high_liking,higher_mentacy,high_liking__higher_mentacy
8,7.0,-3.0,4.4,4.3,3.2666666666666666,1.6666666666666667,3.0,1.3535353535353538,-1.303030303030303,-1.7636975818794003,high_liking,higher_mentacy,high_liking__higher_mentacy
10,4.0,-5.0,4.9,5.9,3.066666666666667,3.3333333333333335,2.0,-1.6464646464646462,-3.3030303030303028,5.4383226201408,lower_liking,low_mentacy,lower_liking__low_mentacy
5,5.0,-3.0,3.4,4.5,3.066666666666667,5.333333333333333,6.0,-0.6464646464646462,-1.303030303030303,0.8423630241812056,lower_liking,higher_mentacy,lower_liking__higher_mentacy
10,6.0,-6.0,4.5,4.1,3.4,2.3333333333333335,2.0,0.3535353535353538,-4.303030303030303,-1.5212733394551587,high_liking,low_mentacy,high_liking__low_mentacy
25,7.0,-1.0,4.6,3.3,4.533333333333333,3.6666666666666665,2.0,1.3535353535353538,0.696969696969697,0.9433731251913072,high_liking,higher_mentacy,high_liking__higher_mentacy
