participant_number,captcha_post_completions,q_post_specific_likeability,q_post_specific_mentism,q_post_gators_pos,q_post_gators_neg,q_pre_idaq,q_pre_captcha_fun,q_pre_captcha_difficulty,like_c,mentism_c,like_x_mentism,liking_zone,mentism_zone,quadrant
1,15,7.0,-5.0,4.0,4.9,3.933333333333333,3.6666666666666665,3.0,1.37,-3.26,-4.4662,high_liking,low_mentism,high_liking__low_mentism
2,11,7.0,4.0,4.6,5.0,3.533333333333333,5.333333333333333,4.0,1.37,5.74,7.863800000000001,high_liking,higher_mentism,high_liking__higher_mentism
3,5,7.0,-2.0,3.6,6.1,4.6,3.6666666666666665,3.0,1.37,-0.26,-0.3562,high_liking,higher_mentism,high_liking__higher_mentism
4,67,7.0,-5.0,5.3,5.1,3.066666666666667,2.0,3.0,1.37,-3.26,-4.4662,high_liking,low_mentism,high_liking__low_mentism
6,30,6.0,-0.0,4.8,3.4,2.4,4.666666666666667,5.0,0.3700000000000001,1.74,0.6438000000000001,high_liking,higher_mentism,high_liking__higher_mentism
7,10,7.0,-5.0,4.4,4.8,4.533333333333333,5.333333333333333,5.0,1.37,-3.26,-4.4662,high_liking,low_mentism,high_liking__low_mentism
8,10,5.0,-5.0,3.9,5.3,3.933333333333333,2.6666666666666665,4.0,-0.6299999999999999,-3.26,2.0537999999999994,lower_liking,low_mentism,lower_liking__low_mentism
9,15,5.0,1.0,5.2,4.5,4.6,3.0,2.0,-0.6299999999999999,2.74,-1.7261999999999997,lower_liking,higher_mentism,lower_liking__higher_mentism
10,12,6.0,-3.0,4.0,4.5,1.2,3.333333333333333,2.0,0.3700000000000001,-1.26,-0.4662000000000001,high_liking,higher_mentism,high_liking__higher_mentism
11,11,6.0,0.0,4.1,5.6,2.7333333333333334,4.333333333333333,5.0,0.3700000000000001,1.74,0.6438000000000001,high_liking,higher_mentism,high_liking__higher_mentism
12,11,6.0,2.0,5.6,4.3,4.266666666666667,4.0,5.0,0.3700000000000001,3.74,1.3838000000000006,high_liking,higher_mentism,high_liking__higher_mentism
13,17,7.0,-3.0,4.7,3.9,2.066666666666667,5.333333333333333,2.0,1.37,-1.26,-1.7262000000000002,high_liking,higher_mentism,high_liking__higher_mentism
14,8,7.0,-3.0,4.4,4.3,3.2666666666666666,1.6666666666666667,3.0,1.37,-1.26,-1.7262000000000002,high_liking,higher_mentism,high_liking__higher_mentism
15,10,4.0,-5.0,4.9,5.9,3.066666666666667,3.333333333333333,2.0,-1.63,-3.26,5.3138,lower_liking,low_mentism,lower_liking__low_mentism
16,5,5.0,-3.0,3.4,4.5,3.066666666666667,5.333333333333333,6.0,-0.6299999999999999,-1.26,0.7937999999999998,lower_liking,higher_mentism,lower_liking__higher_mentism
17,10,6.0,-6.0,4.5,4.1,3.4,2.333333333333333,2.0,0.3700000000000001,-4.26,-1.5762000000000003,high_liking,low_mentism,high_liking__low_mentism
18,25,7.0,-1.0,4.6,3.3,4.533333333333333,3.6666666666666665,2.0,1.37,0.74,1.0138,high_liking,higher_mentism,high_liking__higher_mentism
19,3,4.0,-5.0,5.0,4.1,4.6,3.0,3.0,-1.63,-3.26,5.3138,lower_liking,low_mentism,lower_liking__low_mentism
20,10,6.0,4.0,5.4,3.9,4.066666666666666,5.333333333333333,1.0,0.3700000000000001,5.74,2.1238000000000006,high_liking,higher_mentism,high_liking__higher_mentism
21,29,6.0,-2.0,4.5,3.9,4.133333333333334,4.666666666666667,3.0,0.3700000000000001,-0.26,-0.09620000000000004,high_liking,higher_mentism,high_liking__higher_mentism
22,15,6.0,3.0,3.7,4.9,3.8,3.6666666666666665,2.0,0.3700000000000001,4.74,1.7538000000000007,high_liking,higher_mentism,high_liking__higher_mentism
23,10,4.0,-6.0,3.9,4.5,4.533333333333333,4.0,6.0,-1.63,-4.26,6.9437999999999995,lower_liking,low_mentism,lower_liking__low_mentism
24,28,6.0,2.0,3.0,3.8,4.466666666666667,5.0,2.0,0.3700000000000001,3.74,1.3838000000000006,high_liking,higher_mentism,high_liking__higher_mentism
25,10,6.0,4.0,4.2,3.5,5.2,3.0,4.0,0.3700000000000001,5.74,2.1238000000000006,high_liking,higher_mentism,high_liking__higher_mentism
26,11,7.0,5.0,5.2,3.3,6.533333333333333,3.6666666666666665,3.0,1.37,6.74,9.2338,high_liking,higher_mentism,high_liking__higher_mentism
27,25,6.0,4.0,4.2,5.2,4.2,5.0,6.0,0.3700000000000001,5.74,2.1238000000000006,high_liking,higher_mentism,high_liking__higher_mentism
28,30,7.0,5.0,5.2,3.6,6.0,4.333333333333333,1.0,1.37,6.74,9.2338,high_liking,higher_mentism,high_liking__higher_mentism
29,2,4.0,-1.0,3.6,4.1,3.333333333333333,4.666666666666667,2.0,-1.63,0.74,-1.2062,lower_liking,higher_mentism,lower_liking__higher_mentism
30,20,5.0,-4.0,4.9,4.4,1.8666666666666667,3.0,2.0,-0.6299999999999999,-2.26,1.4237999999999997,lower_liking,higher_mentism,lower_liking__higher_mentism
31,17,6.0,-2.0,4.9,4.6,3.6666666666666665,4.666666666666667,4.0,0.3700000000000001,-0.26,-0.09620000000000004,high_liking,higher_mentism,high_liking__higher_mentism
32,2,5.0,-4.0,5.8,3.8,1.8,4.0,2.0,-0.6299999999999999,-2.26,1.4237999999999997,lower_liking,higher_mentism,lower_liking__higher_mentism
33,5,4.0,-3.0,4.2,5.3,4.6,1.3333333333333333,3.0,-1.63,-1.26,2.0538,lower_liking,higher_mentism,lower_liking__higher_mentism
35,5,6.0,-3.0,5.5,3.1,4.0,4.0,3.0,0.3700000000000001,-1.26,-0.4662000000000001,high_liking,higher_mentism,high_liking__higher_mentism
36,11,4.0,-5.0,4.0,4.8,3.1333333333333333,3.333333333333333,3.0,-1.63,-3.26,5.3138,lower_liking,low_mentism,lower_liking__low_mentism
37,1,6.0,1.0,4.5,5.3,3.866666666666666,4.0,2.0,0.3700000000000001,2.74,1.0138000000000005,high_liking,higher_mentism,high_liking__higher_mentism
38,3,6.0,2.0,5.0,6.3,4.6,2.6666666666666665,3.0,0.3700000000000001,3.74,1.3838000000000006,high_liking,higher_mentism,high_liking__higher_mentism
39,10,6.0,-2.0,4.4,5.1,4.4,2.333333333333333,4.0,0.3700000000000001,-0.26,-0.09620000000000004,high_liking,higher_mentism,high_liking__higher_mentism
40,10,6.0,-6.0,5.3,4.0,1.8,2.333333333333333,2.0,0.3700000000000001,-4.26,-1.5762000000000003,high_liking,low_mentism,high_liking__low_mentism
41,11,6.0,0.0,4.5,3.8,3.533333333333333,3.333333333333333,4.0,0.3700000000000001,1.74,0.6438000000000001,high_liking,higher_mentism,high_liking__higher_mentism
42,12,6.0,-1.0,5.2,3.9,4.133333333333334,3.0,3.0,0.3700000000000001,0.74,0.2738000000000001,high_liking,higher_mentism,high_liking__higher_mentism
43,43,5.0,1.0,4.4,4.1,6.266666666666667,3.6666666666666665,5.0,-0.6299999999999999,2.74,-1.7261999999999997,lower_liking,higher_mentism,lower_liking__higher_mentism
44,4,5.0,-6.0,3.2,5.7,4.333333333333333,3.333333333333333,2.0,-0.6299999999999999,-4.26,2.6837999999999993,lower_liking,low_mentism,lower_liking__low_mentism
45,3,4.0,-5.0,4.4,3.8,3.466666666666667,1.3333333333333333,1.0,-1.63,-3.26,5.3138,lower_liking,low_mentism,lower_liking__low_mentism
46,5,6.0,-6.0,4.5,4.0,2.466666666666667,4.0,2.0,0.3700000000000001,-4.26,-1.5762000000000003,high_liking,low_mentism,high_liking__low_mentism
47,15,5.0,1.0,4.8,5.5,3.866666666666666,3.6666666666666665,2.0,-0.6299999999999999,2.74,-1.7261999999999997,lower_liking,higher_mentism,lower_liking__higher_mentism
48,11,7.0,4.0,5.9,4.2,5.333333333333333,2.6666666666666665,1.0,1.37,5.74,7.863800000000001,high_liking,higher_mentism,high_liking__higher_mentism
49,3,5.0,-3.0,4.5,4.3,2.333333333333333,3.0,4.0,-0.6299999999999999,-1.26,0.7937999999999998,lower_liking,higher_mentism,lower_liking__higher_mentism
50,4,7.0,3.0,5.9,4.9,5.133333333333334,4.333333333333333,3.0,1.37,4.74,6.493800000000001,high_liking,higher_mentism,high_liking__higher_mentism
51,115,7.0,-6.0,4.5,4.3,4.266666666666667,1.6666666666666667,2.0,1.37,-4.26,-5.8362,high_liking,low_mentism,high_liking__low_mentism
52,34,5.0,4.0,5.0,3.9,3.4,3.333333333333333,3.0,-0.6299999999999999,5.74,-3.6161999999999996,lower_liking,higher_mentism,lower_liking__higher_mentism
53,10,3.0,-6.0,4.0,4.8,5.2,1.6666666666666667,4.0,-2.63,-4.26,11.2038,lower_liking,low_mentism,lower_liking__low_mentism
