participant_number,captcha_post_completions,q_post_specific_likeability,q_post_specific_mentism,q_post_gators_pos,q_post_gators_neg,q_pre_idaq,q_pre_captcha_fun,q_pre_captcha_difficulty,like_c,mentism_c,like_x_mentism,liking_zone,mentism_zone,quadrant
1,15,7.0,-5.0,4.0,4.9,3.933333333333333,3.6666666666666665,3.0,1.391752577319588,-3.154639175257732,-4.390477202678288,high_liking,low_mentism,high_liking__low_mentism
2,11,7.0,4.0,4.6,5.0,3.533333333333333,5.333333333333333,4.0,1.391752577319588,5.845360824742269,8.135295993198005,high_liking,higher_mentism,high_liking__higher_mentism
3,5,7.0,-2.0,3.6,6.1,4.6,3.6666666666666665,3.0,1.391752577319588,-0.15463917525773185,-0.21521947071952377,high_liking,higher_mentism,high_liking__higher_mentism
4,67,7.0,-5.0,5.3,5.1,3.066666666666667,2.0,3.0,1.391752577319588,-3.154639175257732,-4.390477202678288,high_liking,low_mentism,high_liking__low_mentism
6,30,6.0,-0.0,4.8,3.4,2.4,4.666666666666667,5.0,0.391752577319588,1.8453608247422681,0.7229248591773841,high_liking,higher_mentism,high_liking__higher_mentism
7,10,7.0,-5.0,4.4,4.8,4.533333333333333,5.333333333333333,5.0,1.391752577319588,-3.154639175257732,-4.390477202678288,high_liking,low_mentism,high_liking__low_mentism
8,10,5.0,-5.0,3.9,5.3,3.933333333333333,2.6666666666666665,4.0,-0.608247422680412,-3.154639175257732,1.9188011478371758,lower_liking,low_mentism,lower_liking__low_mentism
9,15,5.0,1.0,5.2,4.5,4.6,3.0,2.0,-0.608247422680412,2.845360824742268,-1.730683388245296,lower_liking,higher_mentism,lower_liking__higher_mentism
10,12,6.0,-3.0,4.0,4.5,1.2,3.3333333333333335,2.0,0.391752577319588,-1.1546391752577319,-0.45233287278137996,high_liking,higher_mentism,high_liking__higher_mentism
11,11,6.0,0.0,4.1,5.6,2.7333333333333334,4.333333333333333,5.0,0.391752577319588,1.8453608247422681,0.7229248591773841,high_liking,higher_mentism,high_liking__higher_mentism
12,11,6.0,2.0,5.6,4.3,4.266666666666667,4.0,5.0,0.391752577319588,3.845360824742268,1.50643001381656,high_liking,higher_mentism,high_liking__higher_mentism
13,17,7.0,-3.0,4.7,3.9,2.066666666666667,5.333333333333333,2.0,1.391752577319588,-1.1546391752577319,-1.6069720480391119,high_liking,higher_mentism,high_liking__higher_mentism
14,8,7.0,-3.0,4.4,4.3,3.2666666666666666,1.6666666666666667,3.0,1.391752577319588,-1.1546391752577319,-1.6069720480391119,high_liking,higher_mentism,high_liking__higher_mentism
15,10,4.0,-5.0,4.9,5.9,3.066666666666667,3.3333333333333335,2.0,-1.608247422680412,-3.154639175257732,5.073440323094908,lower_liking,low_mentism,lower_liking__low_mentism
16,5,5.0,-3.0,3.4,4.5,3.066666666666667,5.333333333333333,6.0,-0.608247422680412,-1.1546391752577319,0.702306302476352,lower_liking,higher_mentism,lower_liking__higher_mentism
17,10,6.0,-6.0,4.5,4.1,3.4,2.3333333333333335,2.0,0.391752577319588,-4.154639175257731,-1.6275906047401438,high_liking,low_mentism,high_liking__low_mentism
18,25,7.0,-1.0,4.6,3.3,4.533333333333333,3.6666666666666665,2.0,1.391752577319588,0.8453608247422681,1.1765331066000642,high_liking,higher_mentism,high_liking__higher_mentism
19,3,4.0,-5.0,5.0,4.1,4.6,3.0,3.0,-1.608247422680412,-3.154639175257732,5.073440323094908,lower_liking,low_mentism,lower_liking__low_mentism
20,10,6.0,4.0,5.4,3.9,4.066666666666666,5.333333333333333,1.0,0.391752577319588,5.845360824742269,2.2899351684557363,high_liking,higher_mentism,high_liking__higher_mentism
21,29,6.0,-2.0,4.5,3.9,4.133333333333334,4.666666666666667,3.0,0.391752577319588,-0.15463917525773185,-0.060580295461791916,high_liking,higher_mentism,high_liking__higher_mentism
22,15,6.0,3.0,3.7,4.9,3.8,3.6666666666666665,2.0,0.391752577319588,4.845360824742269,1.8981825911361483,high_liking,higher_mentism,high_liking__higher_mentism
23,10,4.0,-6.0,3.9,4.5,4.533333333333333,4.0,6.0,-1.608247422680412,-4.154639175257731,6.681687745775319,lower_liking,low_mentism,lower_liking__low_mentism
24,28,6.0,2.0,3.0,3.8,4.466666666666667,5.0,2.0,0.391752577319588,3.845360824742268,1.50643001381656,high_liking,higher_mentism,high_liking__higher_mentism
25,10,6.0,4.0,4.2,3.5,5.2,3.0,4.0,0.391752577319588,5.845360824742269,2.2899351684557363,high_liking,higher_mentism,high_liking__higher_mentism
26,11,7.0,5.0,5.2,3.3,6.533333333333333,3.6666666666666665,3.0,1.391752577319588,6.845360824742269,9.527048570517593,high_liking,higher_mentism,high_liking__higher_mentism
27,25,6.0,4.0,4.2,5.2,4.2,5.0,6.0,0.391752577319588,5.845360824742269,2.2899351684557363,high_liking,higher_mentism,high_liking__higher_mentism
28,30,7.0,5.0,5.2,3.6,6.0,4.333333333333333,1.0,1.391752577319588,6.845360824742269,9.527048570517593,high_liking,higher_mentism,high_liking__higher_mentism
29,2,4.0,-1.0,3.6,4.1,3.3333333333333335,4.666666666666667,2.0,-1.608247422680412,0.8453608247422681,-1.3595493676267403,lower_liking,higher_mentism,lower_liking__higher_mentism
30,20,5.0,-4.0,4.9,4.4,1.8666666666666667,3.0,2.0,-0.608247422680412,-2.154639175257732,1.3105537251567638,lower_liking,higher_mentism,lower_liking__higher_mentism
31,17,6.0,-2.0,4.9,4.6,3.6666666666666665,4.666666666666667,4.0,0.391752577319588,-0.15463917525773185,-0.060580295461791916,high_liking,higher_mentism,high_liking__higher_mentism
32,2,5.0,-4.0,5.8,3.8,1.8,4.0,2.0,-0.608247422680412,-2.154639175257732,1.3105537251567638,lower_liking,higher_mentism,lower_liking__higher_mentism
33,5,4.0,-3.0,4.2,5.3,4.6,1.3333333333333333,3.0,-1.608247422680412,-1.1546391752577319,1.8569454777340837,lower_liking,higher_mentism,lower_liking__higher_mentism
35,5,6.0,-3.0,5.5,3.1,4.0,4.0,3.0,0.391752577319588,-1.1546391752577319,-0.45233287278137996,high_liking,higher_mentism,high_liking__higher_mentism
36,11,4.0,-5.0,4.0,4.8,3.1333333333333333,3.3333333333333335,3.0,-1.608247422680412,-3.154639175257732,5.073440323094908,lower_liking,low_mentism,lower_liking__low_mentism
37,1,6.0,1.0,4.5,5.3,3.8666666666666663,4.0,2.0,0.391752577319588,2.845360824742268,1.114677436496972,high_liking,higher_mentism,high_liking__higher_mentism
38,3,6.0,2.0,5.0,6.3,4.6,2.6666666666666665,3.0,0.391752577319588,3.845360824742268,1.50643001381656,high_liking,higher_mentism,high_liking__higher_mentism
39,10,6.0,-2.0,4.4,5.1,4.4,2.3333333333333335,4.0,0.391752577319588,-0.15463917525773185,-0.060580295461791916,high_liking,higher_mentism,high_liking__higher_mentism
40,10,6.0,-6.0,5.3,4.0,1.8,2.3333333333333335,2.0,0.391752577319588,-4.154639175257731,-1.6275906047401438,high_liking,low_mentism,high_liking__low_mentism
41,11,6.0,0.0,4.5,3.8,3.533333333333333,3.3333333333333335,4.0,0.391752577319588,1.8453608247422681,0.7229248591773841,high_liking,higher_mentism,high_liking__higher_mentism
42,12,6.0,-1.0,5.2,3.9,4.133333333333334,3.0,3.0,0.391752577319588,0.8453608247422681,0.33117228185779607,high_liking,higher_mentism,high_liking__higher_mentism
