measure,basis,item,loading,communality
Fun,Pearson,general_captcha_liking,0.7676583289994899,0.5892993100822891
Fun,Polychoric,general_captcha_liking,0.7916813130311519,0.6267593014027286
Fun,Pearson,captcha_task_fun,0.8700943631304956,0.7570642007514627
Fun,Polychoric,captcha_task_fun,0.8884667683462423,0.7893731984556154
Fun,Pearson,captcha_task_enjoyment,0.8494396509529677,0.7215477206110996
Fun,Polychoric,captcha_task_enjoyment,0.8818883919986734,0.7777271359420058
IDAQ,Pearson,idaq_3,0.4888364754713896,0.23896109975129048
IDAQ,Polychoric,idaq_3,0.6201767479720381,0.3846191987251729
IDAQ,Pearson,idaq_4,0.46772541816292823,0.21876706679568608
IDAQ,Polychoric,idaq_4,0.36853755019115536,0.13581992590089836
IDAQ,Pearson,idaq_7,0.5051848860792664,0.2552117691229213
IDAQ,Polychoric,idaq_7,0.6860944908435523,0.4707256503658733
IDAQ,Pearson,idaq_9,0.39628740477070074,0.1570437071798972
IDAQ,Polychoric,idaq_9,0.5852565783767799,0.3425252625332959
IDAQ,Pearson,idaq_11,0.38464845286359833,0.14795443229035982
IDAQ,Polychoric,idaq_11,0.4662647875395673,0.21740285209931784
IDAQ,Pearson,idaq_12,0.25228216598439995,0.06364629127378033
IDAQ,Polychoric,idaq_12,0.13200350840396455,0.01742492623095554
IDAQ,Pearson,idaq_13,0.40546366850180515,0.16440078647494175
IDAQ,Polychoric,idaq_13,0.6441676684176821,0.4149519850346729
IDAQ,Pearson,idaq_14,0.6334845450639426,0.4013026688348703
IDAQ,Polychoric,idaq_14,0.711499851064937,0.5062320380654275
IDAQ,Pearson,idaq_17,0.44137718638477647,0.19481382066094172
IDAQ,Polychoric,idaq_17,0.5726579712862025,0.3279371520776292
IDAQ,Pearson,idaq_20,0.42098209828253896,0.1772259270743693
IDAQ,Polychoric,idaq_20,0.3291161217288864,0.10831742158186315
IDAQ,Pearson,idaq_21,0.6333044542351269,0.401074531754052
IDAQ,Polychoric,idaq_21,0.7130850136542527,0.5084902366982857
IDAQ,Pearson,idaq_22,0.534829031772704,0.28604209322692803
IDAQ,Polychoric,idaq_22,0.4611997429818634,0.21270520292653686
IDAQ,Pearson,idaq_23,0.5148197647389661,0.26503939016588435
IDAQ,Polychoric,idaq_23,0.5508741935656738,0.30346237713663143
IDAQ,Pearson,idaq_26,0.6953729699346471,0.48354356731573167
IDAQ,Polychoric,idaq_26,0.8154291444103207,0.6649246895537476
IDAQ,Pearson,idaq_29,0.3075935468748453,0.09461379007904766
IDAQ,Polychoric,idaq_29,0.1898237213209744,0.03603304517614295
GAToRS Personal Positive (S1),Pearson,gators_1,0.5467329901718183,0.29891696254221756
GAToRS Personal Positive (S1),Polychoric,gators_1,0.5411785754214374,0.29287425049517646
GAToRS Personal Positive (S1),Pearson,gators_2,0.2999715531366403,0.08998293269120822
GAToRS Personal Positive (S1),Polychoric,gators_2,0.27950848429856795,0.0781249927948828
GAToRS Personal Positive (S1),Pearson,gators_3,0.6832489225420838,0.4668290901549184
GAToRS Personal Positive (S1),Polychoric,gators_3,0.7437154539591609,0.5531126764576808
GAToRS Personal Positive (S1),Pearson,gators_4,0.5668432183034359,0.3213112341365967
GAToRS Personal Positive (S1),Polychoric,gators_4,0.5969879718730575,0.35639463856110654
GAToRS Personal Positive (S1),Pearson,gators_5,0.4422771415778226,0.19560906996224933
GAToRS Personal Positive (S1),Polychoric,gators_5,0.4516782981765213,0.20401328504363847
GAToRS Personal Negative (S2),Pearson,gators_6,0.5535575943082868,0.3064260102163778
GAToRS Personal Negative (S2),Polychoric,gators_6,0.5553482458140253,0.30841167412871506
GAToRS Personal Negative (S2),Pearson,gators_7,0.4786623520894843,0.22911764730783746
GAToRS Personal Negative (S2),Polychoric,gators_7,0.516971963766329,0.2672600113204146
GAToRS Personal Negative (S2),Pearson,gators_8,0.793198504050146,0.6291638668273896
GAToRS Personal Negative (S2),Polychoric,gators_8,0.8387023387976817,0.7034216131047013
GAToRS Personal Negative (S2),Pearson,gators_9,0.830913252647183,0.6904168334247213
GAToRS Personal Negative (S2),Polychoric,gators_9,0.8477672218965396,0.7187092625221767
GAToRS Personal Negative (S2),Pearson,gators_10,0.5225579483521631,0.2730668093860219
GAToRS Personal Negative (S2),Polychoric,gators_10,0.5373877675759481,0.2887856127402612
GAToRS Societal Positive (S3),Pearson,gators_11,0.7155898103381798,0.5120687766598322
GAToRS Societal Positive (S3),Polychoric,gators_11,0.7998593216277904,0.639774934394869
GAToRS Societal Positive (S3),Pearson,gators_12,0.6989032984867015,0.4884658206355914
GAToRS Societal Positive (S3),Polychoric,gators_12,0.7442489603966456,0.5539065150514877
GAToRS Societal Positive (S3),Pearson,gators_13,0.5986067287051839,0.3583300156511217
GAToRS Societal Positive (S3),Polychoric,gators_13,0.6666763874302175,0.44445740555700547
GAToRS Societal Positive (S3),Pearson,gators_14,0.47258598441051913,0.22333751266125942
GAToRS Societal Positive (S3),Polychoric,gators_14,0.49885320837003744,0.24885452350107998
GAToRS Societal Positive (S3),Pearson,gators_15,0.5895715464006233,0.34759460832522227
GAToRS Societal Positive (S3),Polychoric,gators_15,0.6026050602952829,0.3631328586934816
GAToRS Societal Negative (S4),Pearson,gators_16,0.4504443963707302,0.2029001542217915
GAToRS Societal Negative (S4),Polychoric,gators_16,0.5043047806331566,0.2543233117694563
GAToRS Societal Negative (S4),Pearson,gators_17,0.43334870912497453,0.1877911037002818
GAToRS Societal Negative (S4),Polychoric,gators_17,0.5859364902257295,0.34332157057804635
GAToRS Societal Negative (S4),Pearson,gators_18,0.40953611814327606,0.16771983206386337
GAToRS Societal Negative (S4),Polychoric,gators_18,0.5023847590514359,0.25239044612716927
GAToRS Societal Negative (S4),Pearson,gators_19,0.5946804237273285,0.353644806364515
GAToRS Societal Negative (S4),Polychoric,gators_19,0.5869537830718002,0.34451474346229793
GAToRS Societal Negative (S4),Pearson,gators_20,0.4519648000542964,0.20427218048812013
GAToRS Societal Negative (S4),Polychoric,gators_20,0.47561266255598295,0.2262074047835913
GAToRS Positive,Pearson,gators_1,0.4111651581888868,0.16905678730849233
GAToRS Positive,Polychoric,gators_1,0.39072237474683597,0.1526639741278069
GAToRS Positive,Pearson,gators_2,0.1865758020034603,0.034810529893234424
GAToRS Positive,Polychoric,gators_2,0.19481232702325746,0.03795184276021661
GAToRS Positive,Pearson,gators_3,0.5296175632998594,0.28049476335568063
GAToRS Positive,Polychoric,gators_3,0.5352273596689214,0.286468326538165
GAToRS Positive,Pearson,gators_4,0.4012974133060292,0.16103961392611002
GAToRS Positive,Polychoric,gators_4,0.4031494497846171,0.1625294788616395
GAToRS Positive,Pearson,gators_5,0.2861752479916723,0.08189627256309516
GAToRS Positive,Polychoric,gators_5,0.29335167602628454,0.0860552058274302
GAToRS Positive,Pearson,gators_11,0.4977233904688455,0.24772857341980284
GAToRS Positive,Polychoric,gators_11,0.6119836138972945,0.3745239436787928
GAToRS Positive,Pearson,gators_12,0.6157196270888026,0.3791106591823741
GAToRS Positive,Polychoric,gators_12,0.6778836326503188,0.4595262194151924
GAToRS Positive,Pearson,gators_13,0.6006989147142653,0.36083918613889615
GAToRS Positive,Polychoric,gators_13,0.6614203069073159,0.43747682238936797
GAToRS Positive,Pearson,gators_14,0.30666767169676884,0.0940450608639172
GAToRS Positive,Polychoric,gators_14,0.34473856193676844,0.11884467608623113
GAToRS Positive,Pearson,gators_15,0.7288146621257763,0.5311708117295094
GAToRS Positive,Polychoric,gators_15,0.7410974520703486,0.5492254334651626
GAToRS Negative,Pearson,gators_6,0.6087161288962297,0.37053532557841135
GAToRS Negative,Polychoric,gators_6,0.5976235717475752,0.35715393350832914
GAToRS Negative,Pearson,gators_7,0.5022185154424732,0.2522234372532417
GAToRS Negative,Polychoric,gators_7,0.5364758732459821,0.28780636257503905
GAToRS Negative,Pearson,gators_8,0.7234047400572049,0.5233144179372322
GAToRS Negative,Polychoric,gators_8,0.7690310022506018,0.5914086824225652
GAToRS Negative,Pearson,gators_9,0.7784681578396563,0.606012672770268
GAToRS Negative,Polychoric,gators_9,0.7911016511716837,0.6258418224865644
GAToRS Negative,Pearson,gators_10,0.5122983243636857,0.26244957314584016
GAToRS Negative,Polychoric,gators_10,0.523048158846808,0.2735793764730357
GAToRS Negative,Pearson,gators_16,0.5587197010249506,0.3121677043134102
GAToRS Negative,Polychoric,gators_16,0.5962411770191864,0.3555035411732248
GAToRS Negative,Pearson,gators_17,0.3809348101194126,0.14511132956071293
GAToRS Negative,Polychoric,gators_17,0.4820007954640177,0.2323247668279458
GAToRS Negative,Pearson,gators_18,0.5629617939488791,0.31692598144614026
GAToRS Negative,Polychoric,gators_18,0.6470900749395914,0.418725565085326
GAToRS Negative,Pearson,gators_19,0.24235265723529179,0.058734810469006825
GAToRS Negative,Polychoric,gators_19,0.3023518057574382,0.09141661444478363
GAToRS Negative,Pearson,gators_20,0.17307961908255523,0.029956554541762416
GAToRS Negative,Polychoric,gators_20,0.21660974247294948,0.04691978053419749
