measure,item1,item2,r,n_pair
Fun,general_captcha_liking,general_captcha_liking,1.0,100
Fun,general_captcha_liking,captcha_task_fun,0.6679352592112315,100
Fun,general_captcha_liking,captcha_task_enjoyment,0.6520793388866295,100
Fun,captcha_task_fun,general_captcha_liking,0.6679352592112315,100
Fun,captcha_task_fun,captcha_task_fun,1.0,100
Fun,captcha_task_fun,captcha_task_enjoyment,0.7390926644384388,100
Fun,captcha_task_enjoyment,general_captcha_liking,0.6520793388866295,100
Fun,captcha_task_enjoyment,captcha_task_fun,0.7390926644384388,100
Fun,captcha_task_enjoyment,captcha_task_enjoyment,1.0,100
IDAQ,idaq_3,idaq_3,1.0,100
IDAQ,idaq_3,idaq_4,0.15321473806712288,100
IDAQ,idaq_3,idaq_7,0.3345808256927794,100
IDAQ,idaq_3,idaq_9,0.19823629212459937,100
IDAQ,idaq_3,idaq_11,0.35148332010917854,100
IDAQ,idaq_3,idaq_12,-0.09271834996261404,100
IDAQ,idaq_3,idaq_13,0.53301163271224,100
IDAQ,idaq_3,idaq_14,0.2273855984246912,100
IDAQ,idaq_3,idaq_17,0.5092955807472634,100
IDAQ,idaq_3,idaq_20,0.04593570465924817,100
IDAQ,idaq_3,idaq_21,0.2742931964425319,100
IDAQ,idaq_3,idaq_22,0.17998682985193426,100
IDAQ,idaq_3,idaq_23,0.11031619498095449,100
IDAQ,idaq_3,idaq_26,0.33903012244808745,100
IDAQ,idaq_3,idaq_29,0.06670584387417272,100
IDAQ,idaq_4,idaq_3,0.15321473806712288,100
IDAQ,idaq_4,idaq_4,1.0,100
IDAQ,idaq_4,idaq_7,0.1774680672277068,100
IDAQ,idaq_4,idaq_9,0.013927478668436915,100
IDAQ,idaq_4,idaq_11,0.14679284063307257,100
IDAQ,idaq_4,idaq_12,0.4298266791644959,100
IDAQ,idaq_4,idaq_13,0.2365519589511195,100
IDAQ,idaq_4,idaq_14,0.17607377682499836,100
IDAQ,idaq_4,idaq_17,0.07595274842445517,100
IDAQ,idaq_4,idaq_20,0.4535626086371073,100
IDAQ,idaq_4,idaq_21,0.20482283028086387,100
IDAQ,idaq_4,idaq_22,0.5545940337206547,100
IDAQ,idaq_4,idaq_23,0.19292474584819552,100
IDAQ,idaq_4,idaq_26,0.18803555124834778,100
IDAQ,idaq_4,idaq_29,0.437718531357494,100
IDAQ,idaq_7,idaq_3,0.3345808256927794,100
IDAQ,idaq_7,idaq_4,0.1774680672277068,100
IDAQ,idaq_7,idaq_7,1.0,100
IDAQ,idaq_7,idaq_9,0.284284326657269,100
IDAQ,idaq_7,idaq_11,0.15352181555837222,100
IDAQ,idaq_7,idaq_12,0.025771660330552865,100
IDAQ,idaq_7,idaq_13,0.47314027741291037,100
IDAQ,idaq_7,idaq_14,0.34702960408205125,100
IDAQ,idaq_7,idaq_17,0.1354484101606649,100
IDAQ,idaq_7,idaq_20,0.15506986589230867,100
IDAQ,idaq_7,idaq_21,0.2788282680629205,100
IDAQ,idaq_7,idaq_22,0.1691659525076837,100
IDAQ,idaq_7,idaq_23,0.23946385405492904,100
IDAQ,idaq_7,idaq_26,0.4281552507723057,100
IDAQ,idaq_7,idaq_29,0.04782711879539325,100
IDAQ,idaq_9,idaq_3,0.19823629212459937,100
IDAQ,idaq_9,idaq_4,0.013927478668436915,100
IDAQ,idaq_9,idaq_7,0.284284326657269,100
IDAQ,idaq_9,idaq_9,1.0,100
IDAQ,idaq_9,idaq_11,0.09185010953532331,100
IDAQ,idaq_9,idaq_12,-0.03897795784388591,100
IDAQ,idaq_9,idaq_13,0.19889895536513377,100
IDAQ,idaq_9,idaq_14,0.19629605152836094,100
IDAQ,idaq_9,idaq_17,0.38422829721844004,100
IDAQ,idaq_9,idaq_20,0.1283137284933149,100
IDAQ,idaq_9,idaq_21,0.2856548394389455,100
IDAQ,idaq_9,idaq_22,0.1905207862106161,100
IDAQ,idaq_9,idaq_23,0.18861191307340608,100
IDAQ,idaq_9,idaq_26,0.34065440391146506,100
IDAQ,idaq_9,idaq_29,0.08622335128582234,100
IDAQ,idaq_11,idaq_3,0.35148332010917854,100
IDAQ,idaq_11,idaq_4,0.14679284063307257,100
IDAQ,idaq_11,idaq_7,0.15352181555837222,100
IDAQ,idaq_11,idaq_9,0.09185010953532331,100
IDAQ,idaq_11,idaq_11,1.0,100
