measure,item1,item2,r,n_pair,status
Fun,general_captcha_liking,captcha_task_fun,0.703382618916126,100,ok (22/49 empty cells)
Fun,general_captcha_liking,captcha_task_enjoyment,0.6981744621518021,100,ok (22/49 empty cells)
Fun,captcha_task_fun,captcha_task_enjoyment,0.7835285494812121,100,ok (23/49 empty cells)
Fun,general_captcha_liking,general_captcha_liking,1.0,100,diagonal
Fun,captcha_task_fun,captcha_task_fun,1.0,100,diagonal
Fun,captcha_task_enjoyment,captcha_task_enjoyment,1.0,100,diagonal
IDAQ,idaq_3,idaq_4,0.14748818169465808,100,ok (52/100 empty cells)
IDAQ,idaq_3,idaq_7,0.42248602319234685,100,ok (47/80 empty cells)
IDAQ,idaq_3,idaq_9,0.3579407078285253,100,ok (52/80 empty cells)
IDAQ,idaq_3,idaq_11,0.4490606928617048,100,ok (39/80 empty cells)
IDAQ,idaq_3,idaq_12,-0.08787282490922484,100,ok (46/90 empty cells)
IDAQ,idaq_3,idaq_13,0.693946536288159,100,ok (53/80 empty cells)
IDAQ,idaq_3,idaq_14,0.33402794364960714,100,ok (55/100 empty cells)
IDAQ,idaq_3,idaq_17,0.5750545178973678,100,ok (48/90 empty cells)
IDAQ,idaq_3,idaq_20,-0.0017507346848602498,100,ok (47/90 empty cells)
IDAQ,idaq_3,idaq_21,0.36859993697047083,100,ok (54/100 empty cells)
IDAQ,idaq_3,idaq_22,0.2481011425991964,100,ok (61/100 empty cells)
IDAQ,idaq_3,idaq_23,0.1839416587493621,100,ok (51/100 empty cells)
IDAQ,idaq_3,idaq_26,0.47582004792191596,100,ok (54/100 empty cells)
IDAQ,idaq_3,idaq_29,0.07780989053889203,100,ok (55/100 empty cells)
IDAQ,idaq_4,idaq_7,0.19922772569722857,100,ok (43/80 empty cells)
IDAQ,idaq_4,idaq_9,-0.03833865017284295,100,ok (52/80 empty cells)
IDAQ,idaq_4,idaq_11,0.11943434904430388,100,ok (36/80 empty cells)
IDAQ,idaq_4,idaq_12,0.44624590222748595,100,ok (41/90 empty cells)
IDAQ,idaq_4,idaq_13,0.3163624203241985,100,ok (54/80 empty cells)
IDAQ,idaq_4,idaq_14,0.20407428430667165,100,ok (56/100 empty cells)
IDAQ,idaq_4,idaq_17,0.06878190584033067,100,ok (45/90 empty cells)
IDAQ,idaq_4,idaq_20,0.4990830729387053,100,ok (41/90 empty cells)
IDAQ,idaq_4,idaq_21,0.21501970472607287,100,ok (43/100 empty cells)
IDAQ,idaq_4,idaq_22,0.575336260066528,100,ok (48/100 empty cells)
IDAQ,idaq_4,idaq_23,0.1996753858463191,100,ok (47/100 empty cells)
IDAQ,idaq_4,idaq_26,0.21395434684749498,100,ok (57/100 empty cells)
