measure,item,corrected_item_total_r,alpha_if_deleted
Fun,general_captcha_liking,0.7079138801886149,0.8497022008900357
Fun,captcha_task_fun,0.7753523528013796,0.7881804336562466
Fun,captcha_task_enjoyment,0.7639767607211139,0.7982703741517019
IDAQ,idaq_3,0.40567189348309546,0.8024899434788046
IDAQ,idaq_4,0.46241518038639523,0.797612464961832
IDAQ,idaq_7,0.42886370047019656,0.8011485345674472
IDAQ,idaq_9,0.3343116341599497,0.8069378321250072
IDAQ,idaq_11,0.33897666107228475,0.8059129895319314
IDAQ,idaq_12,0.25916275845686104,0.8116572668686894
IDAQ,idaq_13,0.3661810546153181,0.8054772860852215
IDAQ,idaq_14,0.5288984278537411,0.792539915647223
IDAQ,idaq_17,0.3797597359848953,0.8034430839156433
IDAQ,idaq_20,0.4272283510703063,0.800857313298266
IDAQ,idaq_21,0.5381160365528188,0.7913107145256474
IDAQ,idaq_22,0.5518227202481595,0.7904252909220515
IDAQ,idaq_23,0.4448953024465404,0.7992732748822828
IDAQ,idaq_26,0.5948194975939464,0.7880884197226203
IDAQ,idaq_29,0.31919540099246246,0.8080938529162573
GAToRS Personal Positive (S1),gators_1,0.48836668445612963,0.49109014675052426
GAToRS Personal Positive (S1),gators_2,0.2538278738933547,0.635774700342046
GAToRS Personal Positive (S1),gators_3,0.4493062051491004,0.5225262194676157
GAToRS Personal Positive (S1),gators_4,0.377825293303393,0.5560233240602908
GAToRS Personal Positive (S1),gators_5,0.31928753503332835,0.5819274451427942
GAToRS Personal Negative (S2),gators_6,0.4844935615411084,0.7436117198128956
GAToRS Personal Negative (S2),gators_7,0.41769627457579916,0.7639867360545662
GAToRS Personal Negative (S2),gators_8,0.6568683973559375,0.6809329759492108
GAToRS Personal Negative (S2),gators_9,0.681273820915547,0.677490338463231
GAToRS Personal Negative (S2),gators_10,0.4721985259364397,0.7520112858911562
GAToRS Societal Positive (S3),gators_11,0.5970830414764646,0.6525185884317182
GAToRS Societal Positive (S3),gators_12,0.5518531422439225,0.6825524374665181
GAToRS Societal Positive (S3),gators_13,0.527778102377177,0.6829136784654191
GAToRS Societal Positive (S3),gators_14,0.42560263327000114,0.7348203659844226
GAToRS Societal Positive (S3),gators_15,0.4592286269365847,0.7087698113207545
GAToRS Societal Negative (S4),gators_16,0.3762256944544766,0.4836396250393902
GAToRS Societal Negative (S4),gators_17,0.33260709153289686,0.5103009316514134
GAToRS Societal Negative (S4),gators_18,0.321719184840916,0.5264098956501347
GAToRS Societal Negative (S4),gators_19,0.3875864955442767,0.494834227293999
GAToRS Societal Negative (S4),gators_20,0.25847641260616994,0.5484546152236095
GAToRS Positive,gators_1,0.38845313389671476,0.6603440026598979
GAToRS Positive,gators_2,0.20518612702421446,0.7054332612291638
GAToRS Positive,gators_3,0.47484920691416743,0.6460579858945964
GAToRS Positive,gators_4,0.3642280190725882,0.6655340666228269
GAToRS Positive,gators_5,0.21475900406317727,0.6932139737339197
GAToRS Positive,gators_11,0.3488123084526095,0.6679145756111781
GAToRS Positive,gators_12,0.45083981363680076,0.6570617857296264
GAToRS Positive,gators_13,0.4987993236088124,0.6442541599684876
GAToRS Positive,gators_14,0.20667162684652238,0.6963654246094013
GAToRS Positive,gators_15,0.5703699680366406,0.6381666177066048
GAToRS Negative,gators_6,0.5207493160263142,0.7573910373198466
GAToRS Negative,gators_7,0.4404768784961201,0.7677573880575415
GAToRS Negative,gators_8,0.614365313959863,0.7429682409440839
GAToRS Negative,gators_9,0.6604514233099016,0.7384579925299037
GAToRS Negative,gators_10,0.4484015939691133,0.7682706493516331
GAToRS Negative,gators_16,0.5046073561930959,0.7601147155652561
GAToRS Negative,gators_17,0.3593458334768335,0.7769761204360617
GAToRS Negative,gators_18,0.4950518561266255,0.7607381428579523
GAToRS Negative,gators_19,0.2549361318827584,0.7856714885568497
GAToRS Negative,gators_20,0.1785427005189486,0.7930647172181848
