,count,mean,std,min,25%,50%,75%,max
PARTICIPANT,500.0,250.5,144.4818327679989,1.0,125.75,250.5,375.25,500.0
SESSION,500.0,250.5,144.4818327679989,1.0,125.75,250.5,375.25,500.0
AGE,500.0,43.772,20.260626890696344,18.0,27.0,37.0,59.0,90.0
DV_CAPTCHA_DECISION,500.0,0.592,0.4919553232562522,0.0,0.0,1.0,1.0,1.0
dv_CAPTCHAS_ATTEMPTED,500.0,52.184,50.24156220845736,0.0,0.0,52.0,94.0,158.0
dv_CAPTCHAS_COMPLETED,500.0,33.736,34.17546237371067,0.0,0.0,29.0,62.25,100.0
DV_TOTAL_CAPTCHA_TIME,500.0,174.38334000000003,248.22796162824318,0.0,0.0,52.965,269.94500000000005,1364.03
DV_TOTAL_CAPTCHA_TIME.1,500.0,795.54358,1370.7001281372725,0.0,0.0,102.37,985.895,9548.23
dv_MEAN_TIME_PER_CAPTCHA,500.0,1.9387,2.470754979827153,0.0,0.0,0.74,3.4725,9.99
IV_GATORS_pers_pos,500.0,20.37,8.37552379243204,7.0,13.0,20.5,27.0,35.0
IV_GATORS_soc_pos,500.0,20.896,8.396558126801336,7.0,14.0,21.0,28.0,35.0
IV_GATORS_pers_neg,500.0,-21.7,8.24074144960747,-35.0,-29.0,-22.0,-15.0,-7.0
IV_GATORS_soc_neg,500.0,-20.768,8.34874716100065,-35.0,-28.0,-21.0,-14.0,-7.0
IV_GATORS_pos,500.0,20.633,5.934243126378119,7.0,16.5,20.5,24.5,35.0
IV_GATORS_neg,500.0,-21.234,6.102846341415936,-35.0,-26.0,-21.0,-17.0,-7.0
IV_IDAQ,500.0,5.626,2.7881304386067294,1.0,3.0,6.0,8.0,10.0
IV_EMPATHY,500.0,4.11,2.054834467634498,1.0,2.0,4.0,6.0,7.0
iv_MENTACY_BELIEF,500.0,0.092,0.9967562621283966,-1.0,-1.0,1.0,1.0,1.0
iv_BELIEF_CONFIDENCE,500.0,5.024,1.933624007817233,1.0,4.5,6.0,6.25,7.0
IV_MENTACY_CONFIDENCE,500.0,0.672,5.345799392259715,-7.0,-5.0,2.0,6.0,7.0
GATORS_POS_1,0.0,,,,,,,
GATORS_POS_2,0.0,,,,,,,
GATORS_POS_3,0.0,,,,,,,
GATORS_POS_4,0.0,,,,,,,
GATORS_POS_5,0.0,,,,,,,
GATORS_POS_6,0.0,,,,,,,
GATORS_POS_7,0.0,,,,,,,
GATORS_POS_8,0.0,,,,,,,
GATORS_POS_9,0.0,,,,,,,
GATORS_POS_10,0.0,,,,,,,
GATORS_NEG_1,0.0,,,,,,,
GATORS_NEG_2,0.0,,,,,,,
GATORS_NEG_3,0.0,,,,,,,
GATORS_NEG_4,0.0,,,,,,,
GATORS_NEG_5,0.0,,,,,,,
GATORS_NEG_6,0.0,,,,,,,
GATORS_NEG_7,0.0,,,,,,,
GATORS_NEG_8,0.0,,,,,,,
GATORS_NEG_9,0.0,,,,,,,
GATORS_NEG_10,0.0,,,,,,,
IDAQ_1,0.0,,,,,,,
IDAQ_2,0.0,,,,,,,
IDAQ_3,0.0,,,,,,,
IDAQ_4,0.0,,,,,,,
IDAQ_5,0.0,,,,,,,
IDAQ_6,0.0,,,,,,,
IDAQ_7,0.0,,,,,,,
IDAQ_8,0.0,,,,,,,
IDAQ_9,0.0,,,,,,,
IDAQ_10,0.0,,,,,,,
IDAQ_11,0.0,,,,,,,
IDAQ_12,0.0,,,,,,,
IDAQ_13,0.0,,,,,,,
IDAQ_14,0.0,,,,,,,
IDAQ_15,0.0,,,,,,,
