N,nsim,alpha,term,power_nb,power_nb_ci_low,power_nb_ci_high,power_ci_level,mean_completed,median_completed,mean_mu_true,rho_like_ment,b0_nb,alpha_nb,b_like,b_ment,b_int
50,10000,0.05,Liking,0.7881,0.7799806655145405,0.7959980746242756,0.95,18.691914,10.01445,18.662115558449283,0.3,2.6,0.8,0.4,0.35,0.2
50,10000,0.05,Robomentism,0.6847,0.6755238644667753,0.6937342865350967,0.95,18.691914,10.01445,18.662115558449283,0.3,2.6,0.8,0.4,0.35,0.2
50,10000,0.05,Liking x Robomentism,0.2898,0.2809902997942909,0.29877113312074144,0.95,18.691914,10.01445,18.662115558449283,0.3,2.6,0.8,0.4,0.35,0.2
70,10000,0.05,Liking,0.9077,0.9018692773212698,0.9132176104072804,0.95,18.67991142857143,9.957,18.653561576387442,0.3,2.6,0.8,0.4,0.35,0.2
70,10000,0.05,Robomentism,0.8254,0.8178349207874357,0.832715173072928,0.95,18.67991142857143,9.957,18.653561576387442,0.3,2.6,0.8,0.4,0.35,0.2
70,10000,0.05,Liking x Robomentism,0.4005,0.39093615739858895,0.41014025827717565,0.95,18.67991142857143,9.957,18.653561576387442,0.3,2.6,0.8,0.4,0.35,0.2
90,10000,0.05,Liking,0.9605,0.9565021647625083,0.9641441727380986,0.95,18.631615555555555,9.9483,18.7049423650647,0.3,2.6,0.8,0.4,0.35,0.2
90,10000,0.05,Robomentism,0.909,0.9032048042281094,0.9144810851046771,0.95,18.631615555555555,9.9483,18.7049423650647,0.3,2.6,0.8,0.4,0.35,0.2
90,10000,0.05,Liking x Robomentism,0.5026,0.49280119583779264,0.51239680737068,0.95,18.631615555555555,9.9483,18.7049423650647,0.3,2.6,0.8,0.4,0.35,0.2
110,10000,0.05,Liking,0.9855,0.9829636757481404,0.9876634618339326,0.95,18.742190909090912,9.92955,18.716723363374964,0.3,2.6,0.8,0.4,0.35,0.2
110,10000,0.05,Robomentism,0.9528,0.9484668625628512,0.956785388512664,0.95,18.742190909090912,9.92955,18.716723363374964,0.3,2.6,0.8,0.4,0.35,0.2
110,10000,0.05,Liking x Robomentism,0.5974,0.5877522868491853,0.6069729102682069,0.95,18.742190909090912,9.92955,18.716723363374964,0.3,2.6,0.8,0.4,0.35,0.2
130,10000,0.05,Liking,0.9941,0.992397579312236,0.9954229534978613,0.95,18.73712230769231,9.93955,18.7508726532897,0.3,2.6,0.8,0.4,0.35,0.2
130,10000,0.05,Robomentism,0.978,0.9749362057345101,0.980696691823123,0.95,18.73712230769231,9.93955,18.7508726532897,0.3,2.6,0.8,0.4,0.35,0.2
130,10000,0.05,Liking x Robomentism,0.6666,0.6572977578767908,0.6757742938660997,0.95,18.73712230769231,9.93955,18.7508726532897,0.3,2.6,0.8,0.4,0.35,0.2
150,10000,0.05,Liking,0.9974,0.9961929867910173,0.9982250116298335,0.95,18.747518,9.93035,18.754753407232027,0.3,2.6,0.8,0.4,0.35,0.2
150,10000,0.05,Robomentism,0.9901,0.9879626060188439,0.9918609987782189,0.95,18.747518,9.93035,18.754753407232027,0.3,2.6,0.8,0.4,0.35,0.2
150,10000,0.05,Liking x Robomentism,0.7265,0.7176776264377803,0.7351484223003032,0.95,18.747518,9.93035,18.754753407232027,0.3,2.6,0.8,0.4,0.35,0.2
200,10000,0.05,Liking,0.9998,0.9992710041559925,0.9999451510726791,0.95,18.7523275,9.92045,18.740150694591254,0.3,2.6,0.8,0.4,0.35,0.2
200,10000,0.05,Robomentism,0.9986,0.9976512388536363,0.999165837971125,0.95,18.7523275,9.92045,18.740150694591254,0.3,2.6,0.8,0.4,0.35,0.2
200,10000,0.05,Liking x Robomentism,0.8451,0.8378762729671477,0.8520586913574112,0.95,18.7523275,9.92045,18.740150694591254,0.3,2.6,0.8,0.4,0.35,0.2
250,10000,0.05,Liking,1.0,0.9996160016293234,1.0,0.95,18.756077200000004,9.91315,18.746651195193664,0.3,2.6,0.8,0.4,0.35,0.2
250,10000,0.05,Robomentism,0.9999,0.9994337311025987,0.9999823473263989,0.95,18.756077200000004,9.91315,18.746651195193664,0.3,2.6,0.8,0.4,0.35,0.2
250,10000,0.05,Liking x Robomentism,0.9137,0.9080361970856379,0.9190460826624642,0.95,18.756077200000004,9.91315,18.746651195193664,0.3,2.6,0.8,0.4,0.35,0.2
300,10000,0.05,Liking,1.0,0.9996160016293234,1.0,0.95,18.756047,9.90975,18.743347341149732,0.3,2.6,0.8,0.4,0.35,0.2
300,10000,0.05,Robomentism,1.0,0.9996160016293234,1.0,0.95,18.756047,9.90975,18.743347341149732,0.3,2.6,0.8,0.4,0.35,0.2
300,10000,0.05,Liking x Robomentism,0.9554,0.9511762910561998,0.959273963227788,0.95,18.756047,9.90975,18.743347341149732,0.3,2.6,0.8,0.4,0.35,0.2
