N,nsim,alpha,term,power_nb,power_nb_ci_low,power_nb_ci_high,power_ci_level,mean_completed,mean_mu_true,rho_emp_ment,b0_nb,alpha_nb,b_emp,b_ment,b_int
50,1000,0.05,EMP,0.659,0.6290604090928603,0.6877226817087333,0.95,3.7383200000000003,3.777429251452985,0.3,1.0,0.8,0.4,0.35,0.2
50,1000,0.05,MENT,0.541,0.5100164673887266,0.5716697384154579,0.95,3.7383200000000003,3.777429251452985,0.3,1.0,0.8,0.4,0.35,0.2
50,1000,0.05,EMPxMENT,0.224,0.1992434366609871,0.2508689340230394,0.95,3.7383200000000003,3.777429251452985,0.3,1.0,0.8,0.4,0.35,0.2
70,1000,0.05,EMP,0.816,0.7907901792135869,0.8387913094235423,0.95,3.765085714285714,3.7744209564926794,0.3,1.0,0.8,0.4,0.35,0.2
70,1000,0.05,MENT,0.676,0.6463678032852955,0.7042851777277892,0.95,3.765085714285714,3.7744209564926794,0.3,1.0,0.8,0.4,0.35,0.2
70,1000,0.05,EMPxMENT,0.308,0.28016622636313016,0.33730324889532304,0.95,3.765085714285714,3.7744209564926794,0.3,1.0,0.8,0.4,0.35,0.2
90,1000,0.05,EMP,0.884,0.8626667265227275,0.9023943229603661,0.95,3.763422222222222,3.770526139408676,0.3,1.0,0.8,0.4,0.35,0.2
90,1000,0.05,MENT,0.813,0.7876522642371055,0.8359521849509368,0.95,3.763422222222222,3.770526139408676,0.3,1.0,0.8,0.4,0.35,0.2
90,1000,0.05,EMPxMENT,0.389,0.35926319596566997,0.4195863444181233,0.95,3.763422222222222,3.770526139408676,0.3,1.0,0.8,0.4,0.35,0.2
110,1000,0.05,EMP,0.94,0.9235289252086434,0.953103527324068,0.95,3.7966181818181823,3.7778715265590797,0.3,1.0,0.8,0.4,0.35,0.2
110,1000,0.05,MENT,0.876,0.8541222509908473,0.8950000266280154,0.95,3.7966181818181823,3.7778715265590797,0.3,1.0,0.8,0.4,0.35,0.2
110,1000,0.05,EMPxMENT,0.437,0.40655624686835734,0.4679259247008226,0.95,3.7966181818181823,3.7778715265590797,0.3,1.0,0.8,0.4,0.35,0.2
130,1000,0.05,EMP,0.972,0.9598298168024069,0.9805577231872291,0.95,3.7760615384615384,3.7891800235855997,0.3,1.0,0.8,0.4,0.35,0.2
130,1000,0.05,MENT,0.926,0.9080945943544141,0.940645007415893,0.95,3.7760615384615384,3.7891800235855997,0.3,1.0,0.8,0.4,0.35,0.2
130,1000,0.05,EMPxMENT,0.538,0.5070132970793998,0.5686958692756982,0.95,3.7760615384615384,3.7891800235855997,0.3,1.0,0.8,0.4,0.35,0.2
150,1000,0.05,EMP,0.99,0.9816905311296853,0.9945592455544707,0.95,3.763246666666667,3.7702740658468645,0.3,1.0,0.8,0.4,0.35,0.2
150,1000,0.05,MENT,0.961,0.9471306895804986,0.9713410390958196,0.95,3.763246666666667,3.7702740658468645,0.3,1.0,0.8,0.4,0.35,0.2
150,1000,0.05,EMPxMENT,0.595,0.5642673076613368,0.6250056082264076,0.95,3.763246666666667,3.7702740658468645,0.3,1.0,0.8,0.4,0.35,0.2
