N,nsim,alpha,term,power_logit,power_logit_ci_low,power_logit_ci_high,power_nb,power_nb_ci_low,power_nb_ci_high,power_ci_level,mean_engage_rate,mean_completed_all,mean_completed_engagers,rho_emp_ment,b0_logit,b0_nb,alpha_nb,b_emp,b_ment,b_int,same_betas_both_stages
100,1000,0.05,EMP,0.428,0.3976662531744177,0.4588848000475022,0.579,0.5481543035657991,0.6092410685934831,0.95,0.46165,2.2361099999999996,4.854954221729458,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
100,1000,0.05,MENT,0.358,0.328881603627749,0.3882051957821486,0.506,0.47504885836338107,0.5369052205347923,0.95,0.46165,2.2361099999999996,4.854954221729458,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
100,1000,0.05,EMPxMENT,0.152,0.13108250256297901,0.17558092134296735,0.198,0.17447756243113033,0.22383379969414502,0.95,0.46165,2.2361099999999996,4.854954221729458,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
130,1000,0.05,EMP,0.53,0.49901030909301675,0.56076008539785,0.72,0.6913699270789491,0.7469462991874067,0.95,0.4666615384615385,2.241461538461538,4.811685149626456,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
130,1000,0.05,MENT,0.417,0.38681470363066783,0.4478205382779342,0.577,0.546142492951032,0.6072681862421924,0.95,0.4666615384615385,2.241461538461538,4.811685149626456,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
130,1000,0.05,EMPxMENT,0.166,0.1442254718306115,0.19033080283773937,0.28,0.25305370081259326,0.30863007292105105,0.95,0.4666615384615385,2.241461538461538,4.811685149626456,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
160,1000,0.05,EMP,0.62,0.5895108843206113,0.6495706936428555,0.799,0.7730388134679094,0.8226727849577289,0.95,0.462725,2.2276374999999997,4.823248320743927,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
160,1000,0.05,MENT,0.503,0.4720586747142764,0.5339183647348104,0.693,0.6637186226479856,0.72080424857659,0.95,0.462725,2.2276374999999997,4.823248320743927,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
160,1000,0.05,EMPxMENT,0.194,0.17068142956732762,0.21966054662583218,0.347,0.3181329587536671,0.37703802934291275,0.95,0.462725,2.2276374999999997,4.823248320743927,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
190,1000,0.05,EMP,0.667,0.6371997660141808,0.6955220966516438,0.858,0.8349940829788968,0.8782659579454458,0.95,0.46135263157894735,2.2113473684210527,4.802211032504274,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
190,1000,0.05,MENT,0.559,0.5280590840830492,0.5894893584156553,0.772,0.7449850163320579,0.7969332270518001,0.95,0.46135263157894735,2.2113473684210527,4.802211032504274,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
190,1000,0.05,EMPxMENT,0.224,0.1992434366609871,0.2508689340230394,0.375,0.345526294232981,0.40543039538840775,0.95,0.46135263157894735,2.2113473684210527,4.802211032504274,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
220,1000,0.05,EMP,0.755,0.7274007492673631,0.7806476039050039,0.914,0.8949999687497208,0.9298314752242396,0.95,0.46309090909090905,2.2331545454545454,4.82531989715053,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
220,1000,0.05,MENT,0.644,0.6138239300340224,0.6730739635221378,0.826,0.8012673037329014,0.8482376497345165,0.95,0.46309090909090905,2.2331545454545454,4.82531989715053,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
220,1000,0.05,EMPxMENT,0.235,0.20976558842625362,0.2622625935710906,0.479,0.4481771504618109,0.5099835733945823,0.95,0.46309090909090905,2.2331545454545454,4.82531989715053,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
250,1000,0.05,EMP,0.817,0.7918366762890631,0.839737158831095,0.939,0.9224198811757163,0.9522202248739662,0.95,0.463012,2.2493879999999997,4.866102595675437,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
250,1000,0.05,MENT,0.717,0.6882916278055017,0.7440475590117673,0.885,0.8637368277535603,0.9033165682125622,0.95,0.463012,2.2493879999999997,4.866102595675437,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
250,1000,0.05,EMPxMENT,0.283,0.25595244098823255,0.3117083721944983,0.482,0.45115845466892845,0.5129793086365515,0.95,0.463012,2.2493879999999997,4.866102595675437,0.3,-0.2,1.0,0.8,0.4,0.35,0.2,True
