exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
d62c937820b24612a12052ff06ee9d80,captcha_pre,1,1,female,2026-02-19T11:41:56.819,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
d62c937820b24612a12052ff06ee9d80,captcha_pre,1,1,female,2026-02-19T11:41:56.847,2026-02-19T11:42:01.862,5.015,1,1,Click on the images containing bicycles.,"[""Bicycle (497).jpg"", ""Bicycle (383).jpg"", ""Car (59).jpg"", ""Bicycle (334).jpg"", ""Chimney (25).jpg"", ""Tlight (111).jpg"", ""Bicycle (190).jpg"", ""Bicycle (204).jpg"", ""Car (27).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 3, 6, 7]","[""Bicycle (497).jpg"", ""Bicycle (383).jpg"", ""Bicycle (334).jpg"", ""Bicycle (190).jpg"", ""Bicycle (204).jpg""]",775,1,1,1,submit,
d62c937820b24612a12052ff06ee9d80,captcha_pre,1,1,female,2026-02-19T11:41:56.847,2026-02-19T11:42:02.574,5.727,1,,Click on the images containing bicycles.,[],[],[],[],775,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
d62c937820b24612a12052ff06ee9d80,q_pre_captcha,1,1,female,2026-02-19T11:42:02.594,2026-02-19T11:42:04.734,2.14,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""4""}"
d62c937820b24612a12052ff06ee9d80,q_pre_idaq,1,1,female,2026-02-19T11:42:04.755,2026-02-19T11:42:07.550,2.795,,,,,,,,,,,,submit,"{""idaq_29"": ""5"", ""idaq_19"": ""5"", ""idaq_22"": ""5"", ""idaq_25"": ""5"", ""idaq_15"": ""5"", ""idaq_24"": ""5"", ""idaq_27"": ""5"", ""idaq_23"": ""5"", ""idaq_20"": ""5"", ""idaq_5"": ""5"", ""idaq_16"": ""5"", ""idaq_30"": ""5"", ""idaq_3"": ""5"", ""idaq_26"": ""5"", ""idaq_28"": ""5"", ""idaq_2"": ""5"", ""idaq_13"": ""5"", ""idaq_14"": ""5"", ""idaq_8"": ""5"", ""idaq_9"": ""5"", ""idaq_12"": ""5"", ""idaq_18"": ""5"", ""idaq_4"": ""5"", ""idaq_17"": ""5"", ""idaq_10"": ""5"", ""idaq_21"": ""5"", ""idaq_11"": ""5"", ""idaq_6"": ""5"", ""idaq_7"": ""5"", ""idaq_1"": ""5""}"
d62c937820b24612a12052ff06ee9d80,q_pre_2050,1,1,female,2026-02-19T11:42:07.573,2026-02-19T11:42:41.562,33.989,,,,,,,,,,,,submit,"{""2050_hiking"": ""5"", ""2050_sports"": ""5"", ""2050_school"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_police"": ""5"", ""2050_mannequins"": ""5"", ""2050_rights"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_art"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_shelters"": ""5"", ""2050_crime"": ""5"", ""2050_other_worlds"": ""5"", ""2050_experiments"": ""5"", ""2050_nursing_home"": ""5""}"
d62c937820b24612a12052ff06ee9d80,q_post_gators,1,1,female,2026-02-19T11:42:45.685,2026-02-19T11:42:47.992,2.307,,,,,,,,,,,,submit,"{""gators_9"": ""4"", ""gators_17"": ""4"", ""gators_4"": ""4"", ""gators_10"": ""4"", ""gators_3"": ""4"", ""gators_16"": ""4"", ""gators_1"": ""4"", ""gators_5"": ""4"", ""gators_7"": ""4"", ""gators_8"": ""4"", ""gators_18"": ""4"", ""gators_15"": ""4"", ""gators_6"": ""4"", ""gators_11"": ""4"", ""gators_2"": ""4"", ""gators_14"": ""4"", ""gators_20"": ""4"", ""gators_12"": ""4"", ""gators_13"": ""4"", ""gators_19"": ""4""}"
d62c937820b24612a12052ff06ee9d80,q_post_specific,1,1,female,2026-02-19T11:42:48.012,2026-02-19T11:42:49.767,1.755,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4""}"
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:42:52.499,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:42:52.518,2026-02-19T11:43:05.414,12.896,1,1,Click on the images containing bicycles.,"[""Bicycle (219).jpg"", ""Bicycle (582).jpg"", ""Tlight (108).jpg"", ""Tlight (135).jpg"", ""Bicycle (437).jpg"", ""Tlight (126).jpg"", ""Bicycle (18).jpg"", ""Bridge (95).jpg"", ""Bridge (123).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 4, 6]","[""Bicycle (219).jpg"", ""Bicycle (582).jpg"", ""Bicycle (437).jpg"", ""Bicycle (18).jpg""]",776,1,1,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:06.122,2026-02-19T11:43:11.958,5.836,2,0,Click on the images containing bicycles.,"[""Bicycle (117).jpg"", ""Bicycle (270).jpg"", ""Bicycle (605).jpg"", ""Hydrant (69).jpg"", ""Bus (121).jpg"", ""Bus (73).jpg"", ""Palm (72).jpg"", ""Tlight (93).jpg"", ""Bicycle (657).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (270).jpg"", ""Bicycle (605).jpg"", ""Bicycle (657).jpg""]",772,2,1,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:12.666,2026-02-19T11:43:16.930,4.264,3,1,Click on the images containing bicycles.,"[""Bicycle (193).jpg"", ""Bicycle (466).jpg"", ""Bicycle (37).jpg"", ""Chimney (44).jpg"", ""Chimney (101).jpg"", ""Bridge (53).jpg"", ""Stair (236).jpg"", ""Chimney (41).jpg"", ""Bicycle (188).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 8]","[""Bicycle (193).jpg"", ""Bicycle (466).jpg"", ""Bicycle (37).jpg"", ""Bicycle (188).jpg""]",768,3,2,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:17.642,2026-02-19T11:43:24.524,6.882,4,0,Click on the images containing bicycles.,"[""Bus (113).jpg"", ""Palm (91).jpg"", ""Car (122).jpg"", ""Bicycle (73).jpg"", ""Chimney (8).jpg"", ""Bicycle (254).jpg"", ""Cross (62).jpg"", ""Bicycle (186).jpg"", ""Palm (139).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[3, 5, 6, 7]","[""Bicycle (73).jpg"", ""Bicycle (254).jpg"", ""Cross (62).jpg"", ""Bicycle (186).jpg""]",765,4,2,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:25.233,2026-02-19T11:43:31.190,5.957,5,1,Click on the images containing bicycles.,"[""Bicycle (575).jpg"", ""Bicycle (541).jpg"", ""Cross (10).jpg"", ""Bicycle (353).jpg"", ""Bicycle (331).jpg"", ""Hydrant (29).jpg"", ""Bicycle (438).jpg"", ""Bridge (113).jpg"", ""Chimney (126).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 3, 4, 6]","[""Bicycle (575).jpg"", ""Bicycle (541).jpg"", ""Bicycle (353).jpg"", ""Bicycle (331).jpg"", ""Bicycle (438).jpg""]",760,5,3,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:31.898,2026-02-19T11:43:39.054,7.156,6,1,Click on the images containing bicycles.,"[""Bicycle (167).jpg"", ""Cross (54).jpg"", ""Palm (42).jpg"", ""Bicycle (257).jpg"", ""Bicycle (211).jpg"", ""Palm (93).jpg"", ""Bicycle (668).jpg"", ""Bus (72).jpg"", ""Chimney (14).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 4, 6]","[""Bicycle (167).jpg"", ""Bicycle (257).jpg"", ""Bicycle (211).jpg"", ""Bicycle (668).jpg""]",756,6,4,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:39.762,2026-02-19T11:43:46.334,6.572,7,1,Click on the images containing bicycles.,"[""Chimney (11).jpg"", ""Bicycle (85).jpg"", ""Tlight (111).jpg"", ""Hydrant (43).jpg"", ""Stair (1031).jpg"", ""Bicycle (312).jpg"", ""Bicycle (701).jpg"", ""Hydrant (56).jpg"", ""Bicycle (9).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[1, 5, 6, 8]","[""Bicycle (85).jpg"", ""Bicycle (312).jpg"", ""Bicycle (701).jpg"", ""Bicycle (9).jpg""]",752,7,5,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:47.042,2026-02-19T11:43:53.125,6.083,8,0,Click on the images containing bicycles.,"[""Car (117).jpg"", ""Tlight (139).jpg"", ""Hydrant (129).jpg"", ""Bicycle (93).jpg"", ""Bicycle (285).jpg"", ""Palm (135).jpg"", ""Tlight (55).jpg"", ""Bicycle (719).jpg"", ""Cross (11).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[3, 4, 5, 7]","[""Bicycle (93).jpg"", ""Bicycle (285).jpg"", ""Palm (135).jpg"", ""Bicycle (719).jpg""]",749,8,5,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:53.832,2026-02-19T11:43:58.349,4.517,9,1,Click on the images containing bicycles.,"[""Bridge (133).jpg"", ""Bicycle (588).jpg"", ""Bicycle (414).jpg"", ""Palm (104).jpg"", ""Bicycle (314).jpg"", ""Bicycle (665).jpg"", ""Cross (108).jpg"", ""Bicycle (187).jpg"", ""Cross (17).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 4, 5, 7]","[""Bicycle (588).jpg"", ""Bicycle (414).jpg"", ""Bicycle (314).jpg"", ""Bicycle (665).jpg"", ""Bicycle (187).jpg""]",744,9,6,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:43:59.056,2026-02-19T11:44:03.686,4.63,10,0,Click on the images containing bicycles.,"[""Bicycle (7).jpg"", ""Bicycle (150).jpg"", ""Tlight (129).jpg"", ""Bicycle (427).jpg"", ""Hydrant (117).jpg"", ""Bicycle (444).jpg"", ""Cross (25).jpg"", ""Cross (40).jpg"", ""Bicycle (317).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 3, 5]","[""Bicycle (7).jpg"", ""Bicycle (150).jpg"", ""Bicycle (427).jpg"", ""Bicycle (444).jpg""]",739,10,6,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:44:04.394,2026-02-19T11:44:11.837,7.443,11,1,Click on the images containing bicycles.,"[""Hydrant (66).jpg"", ""Bicycle (113).jpg"", ""Bicycle (584).jpg"", ""Stair (1377).jpg"", ""Bicycle (599).jpg"", ""Tlight (75).jpg"", ""Cross (35).jpg"", ""Bicycle (329).jpg"", ""Bicycle (446).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 4, 7, 8]","[""Bicycle (113).jpg"", ""Bicycle (584).jpg"", ""Bicycle (599).jpg"", ""Bicycle (329).jpg"", ""Bicycle (446).jpg""]",734,11,7,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:44:12.546,2026-02-19T11:44:39.372,26.826,12,0,Click on the images containing bicycles.,"[""Car (109).jpg"", ""Stair (58).jpg"", ""Palm (84).jpg"", ""Bicycle (157).jpg"", ""Bridge (109).jpg"", ""Bus (45).jpg"", ""Bicycle (469).jpg"", ""Hydrant (27).jpg"", ""Bicycle (306).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[3, 5, 6, 8]","[""Bicycle (157).jpg"", ""Bus (45).jpg"", ""Bicycle (469).jpg"", ""Bicycle (306).jpg""]",731,12,7,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:44:40.081,2026-02-19T11:44:45.052,4.971,13,0,Click on the images containing bicycles.,"[""Cross (87).jpg"", ""Bicycle (776).jpg"", ""Tlight (2).jpg"", ""Bicycle (697).jpg"", ""Palm (111).jpg"", ""Bicycle (1).jpg"", ""Bicycle (578).jpg"", ""Chimney (16).jpg"", ""Bus (97).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 6]","[""Bicycle (776).jpg"", ""Bicycle (697).jpg"", ""Bicycle (578).jpg""]",727,13,7,1000,submit,
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:44:45.761,2026-02-19T11:44:47.238,1.477,14,,Click on the images containing bicycles.,"[""Bicycle (624).jpg"", ""Car (44).jpg"", ""Car (93).jpg"", ""Car (23).jpg"", ""Bridge (139).jpg"", ""Bicycle (508).jpg"", ""Tlight (60).jpg"", ""Bicycle (274).jpg"", ""Bus (139).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]",[],[],724,13,7,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
d62c937820b24612a12052ff06ee9d80,captcha_post,1,1,female,2026-02-19T11:44:45.761,2026-02-19T11:44:47.242,1.481,14,,Click on the images containing bicycles.,[],[],[],[],724,13,7,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
