exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:18:27.802,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:18:27.833,2026-02-19T13:18:37.985,10.152,1,1,Click on the images containing bicycles.,"[""Bicycle (775).jpg"", ""Hydrant (48).jpg"", ""Bicycle (47).jpg"", ""Bicycle (756).jpg"", ""Tlight (48).jpg"", ""Stair (792).jpg"", ""Stair (1434).jpg"", ""Bicycle (33).jpg"", ""Bridge (120).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 3, 7]","[""Bicycle (775).jpg"", ""Bicycle (47).jpg"", ""Bicycle (756).jpg"", ""Bicycle (33).jpg""]",776,1,1,10,submit,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:18:38.693,2026-02-19T13:18:43.571,4.878,2,1,Click on the images containing bicycles.,"[""Bicycle (564).jpg"", ""Hydrant (85).jpg"", ""Bus (79).jpg"", ""Cross (13).jpg"", ""Hydrant (59).jpg"", ""Bicycle (114).jpg"", ""Bicycle (271).jpg"", ""Bridge (126).jpg"", ""Cross (39).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 5, 6]","[""Bicycle (564).jpg"", ""Bicycle (114).jpg"", ""Bicycle (271).jpg""]",773,2,2,10,submit,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:18:44.280,2026-02-19T13:18:50.009,5.729,3,0,Click on the images containing bicycles.,"[""Car (46).jpg"", ""Bridge (130).jpg"", ""Tlight (71).jpg"", ""Bicycle (251).jpg"", ""Bridge (104).jpg"", ""Bicycle (17).jpg"", ""Bicycle (280).jpg"", ""Bridge (79).jpg"", ""Bicycle (337).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T""]","[0, 3, 5, 6, 8]","[""Car (46).jpg"", ""Bicycle (251).jpg"", ""Bicycle (17).jpg"", ""Bicycle (280).jpg"", ""Bicycle (337).jpg""]",769,3,2,10,submit,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:18:50.717,2026-02-19T13:18:55.521,4.804,4,1,Click on the images containing bicycles.,"[""Bicycle (452).jpg"", ""Chimney (97).jpg"", ""Cross (109).jpg"", ""Bicycle (301).jpg"", ""Chimney (28).jpg"", ""Palm (63).jpg"", ""Bicycle (15).jpg"", ""Hydrant (139).jpg"", ""Palm (19).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 3, 6]","[""Bicycle (452).jpg"", ""Bicycle (301).jpg"", ""Bicycle (15).jpg""]",766,4,3,10,submit,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:18:56.230,2026-02-19T13:19:00.705,4.475,5,1,Click on the images containing bicycles.,"[""Palm (9).jpg"", ""Car (116).jpg"", ""Stair (1368).jpg"", ""Chimney (4).jpg"", ""Bicycle (187).jpg"", ""Bicycle (315).jpg"", ""Bicycle (601).jpg"", ""Bicycle (745).jpg"", ""Bicycle (126).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T""]","[4, 5, 6, 7, 8]","[""Bicycle (187).jpg"", ""Bicycle (315).jpg"", ""Bicycle (601).jpg"", ""Bicycle (745).jpg"", ""Bicycle (126).jpg""]",761,5,4,10,submit,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:19:01.413,2026-02-19T13:19:08.257,6.844,6,1,Click on the images containing bicycles.,"[""Bicycle (415).jpg"", ""Bridge (56).jpg"", ""Stair (1458).jpg"", ""Tlight (140).jpg"", ""Palm (138).jpg"", ""Bicycle (55).jpg"", ""Stair (1227).jpg"", ""Bicycle (157).jpg"", ""Bicycle (436).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (415).jpg"", ""Bicycle (55).jpg"", ""Bicycle (157).jpg"", ""Bicycle (436).jpg""]",757,6,5,10,submit,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:19:08.963,2026-02-19T13:19:15.409,6.446,7,0,Click on the images containing bicycles.,"[""Bicycle (309).jpg"", ""Stair (1388).jpg"", ""Hydrant (95).jpg"", ""Bicycle (481).jpg"", ""Bicycle (220).jpg"", ""Bus (122).jpg"", ""Hydrant (47).jpg"", ""Hydrant (140).jpg"", ""Hydrant (94).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[3, 4]","[""Bicycle (481).jpg"", ""Bicycle (220).jpg""]",754,7,5,10,submit,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:19:16.116,2026-02-19T13:19:20.577,4.461,8,0,Click on the images containing bicycles.,"[""Bicycle (637).jpg"", ""Chimney (68).jpg"", ""Palm (90).jpg"", ""Car (112).jpg"", ""Car (133).jpg"", ""Chimney (12).jpg"", ""Bicycle (31).jpg"", ""Bicycle (348).jpg"", ""Cross (96).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[3, 4, 6, 7]","[""Car (112).jpg"", ""Car (133).jpg"", ""Bicycle (31).jpg"", ""Bicycle (348).jpg""]",751,8,5,10,submit,
8d7375122eb248be8b9741893515c69e,captcha_pre,1,22,other,2026-02-19T13:19:21.285,2026-02-19T13:19:26.337,5.052,9,1,Click on the images containing bicycles.,"[""Palm (71).jpg"", ""Tlight (103).jpg"", ""Bicycle (448).jpg"", ""Bicycle (266).jpg"", ""Bicycle (688).jpg"", ""Bus (25).jpg"", ""Bicycle (672).jpg"", ""Bicycle (698).jpg"", ""Tlight (113).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[2, 3, 4, 6, 7]","[""Bicycle (448).jpg"", ""Bicycle (266).jpg"", ""Bicycle (688).jpg"", ""Bicycle (672).jpg"", ""Bicycle (698).jpg""]",746,9,6,10,submit,
