exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:04:58.102,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:04:58.132,2026-02-20T16:05:03.187,5.055,1,1,Click on the images containing bicycles.,"[""Bicycle (384).jpg"", ""Chimney (32).jpg"", ""Stair (699).jpg"", ""Tlight (79).jpg"", ""Bus (65).jpg"", ""Stair (1240).jpg"", ""Bicycle (599).jpg"", ""Bus (48).jpg"", ""Bicycle (698).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (384).jpg"", ""Bicycle (599).jpg"", ""Bicycle (698).jpg""]",777,1,1,10,submit,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:05:03.895,2026-02-20T16:05:10.676,6.781,2,1,Click on the images containing bicycles.,"[""Bicycle (662).jpg"", ""Bus (25).jpg"", ""Bicycle (311).jpg"", ""Bus (122).jpg"", ""Chimney (114).jpg"", ""Cross (30).jpg"", ""Bus (53).jpg"", ""Palm (106).jpg"", ""Bicycle (448).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 8]","[""Bicycle (662).jpg"", ""Bicycle (311).jpg"", ""Bicycle (448).jpg""]",774,2,2,10,submit,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:05:11.383,2026-02-20T16:05:19.354,7.971,3,1,Click on the images containing bicycles.,"[""Hydrant (65).jpg"", ""Bicycle (755).jpg"", ""Hydrant (99).jpg"", ""Bicycle (578).jpg"", ""Bicycle (776).jpg"", ""Chimney (94).jpg"", ""Bus (99).jpg"", ""Cross (23).jpg"", ""Bicycle (583).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 3, 4, 8]","[""Bicycle (755).jpg"", ""Bicycle (578).jpg"", ""Bicycle (776).jpg"", ""Bicycle (583).jpg""]",770,3,3,10,submit,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:05:20.062,2026-02-20T16:05:24.459,4.397,4,1,Click on the images containing bicycles.,"[""Bicycle (9).jpg"", ""Tlight (42).jpg"", ""Bicycle (672).jpg"", ""Bridge (51).jpg"", ""Bicycle (611).jpg"", ""Bus (67).jpg"", ""Stair (1465).jpg"", ""Hydrant (140).jpg"", ""Bus (134).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (9).jpg"", ""Bicycle (672).jpg"", ""Bicycle (611).jpg""]",767,4,4,10,submit,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:05:25.167,2026-02-20T16:05:30.363,5.196,5,1,Click on the images containing bicycles.,"[""Bicycle (713).jpg"", ""Bridge (65).jpg"", ""Bicycle (5).jpg"", ""Bicycle (105).jpg"", ""Bicycle (188).jpg"", ""Bicycle (48).jpg"", ""Cross (90).jpg"", ""Chimney (4).jpg"", ""Bridge (43).jpg""]","[""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 2, 3, 4, 5]","[""Bicycle (713).jpg"", ""Bicycle (5).jpg"", ""Bicycle (105).jpg"", ""Bicycle (188).jpg"", ""Bicycle (48).jpg""]",762,5,5,10,submit,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:05:31.071,2026-02-20T16:05:37.122,6.051,6,1,Click on the images containing bicycles.,"[""Bicycle (441).jpg"", ""Chimney (108).jpg"", ""Stair (981).jpg"", ""Bicycle (469).jpg"", ""Bicycle (402).jpg"", ""Bridge (30).jpg"", ""Bicycle (267).jpg"", ""Bicycle (337).jpg"", ""Bus (133).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 4, 6, 7]","[""Bicycle (441).jpg"", ""Bicycle (469).jpg"", ""Bicycle (402).jpg"", ""Bicycle (267).jpg"", ""Bicycle (337).jpg""]",757,6,6,10,submit,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:05:37.830,2026-02-20T16:05:42.898,5.068,7,1,Click on the images containing bicycles.,"[""Bicycle (413).jpg"", ""Chimney (29).jpg"", ""Bicycle (772).jpg"", ""Cross (52).jpg"", ""Palm (54).jpg"", ""Palm (138).jpg"", ""Chimney (31).jpg"", ""Bicycle (22).jpg"", ""Bus (97).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 7]","[""Bicycle (413).jpg"", ""Bicycle (772).jpg"", ""Bicycle (22).jpg""]",754,7,7,10,submit,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:05:43.607,2026-02-20T16:05:48.011,4.404,8,0,Click on the images containing bicycles.,"[""Bicycle (592).jpg"", ""Hydrant (83).jpg"", ""Cross (16).jpg"", ""Cross (36).jpg"", ""Bicycle (494).jpg"", ""Bicycle (614).jpg"", ""Bridge (21).jpg"", ""Bicycle (495).jpg"", ""Cross (116).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 4, 5, 7, 8]","[""Bicycle (592).jpg"", ""Bicycle (494).jpg"", ""Bicycle (614).jpg"", ""Bicycle (495).jpg"", ""Cross (116).jpg""]",750,8,7,10,submit,
12669b56cab043adbab39118ae08b8ec,captcha_pre,1,2,male,2026-02-20T16:05:48.719,2026-02-20T16:05:53.395,4.676,9,0,Click on the images containing bicycles.,"[""Chimney (127).jpg"", ""Bicycle (446).jpg"", ""Bicycle (215).jpg"", ""Hydrant (21).jpg"", ""Tlight (122).jpg"", ""Bicycle (398).jpg"", ""Car (62).jpg"", ""Bicycle (410).jpg"", ""Bicycle (214).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 2, 7, 8]","[""Bicycle (446).jpg"", ""Bicycle (215).jpg"", ""Bicycle (410).jpg"", ""Bicycle (214).jpg""]",745,9,7,10,submit,
