exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
728e2f7a5d574a7fbfb8bed6c5e6a632,captcha_pre,1,21,male,2026-03-05T14:23:41.504,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
728e2f7a5d574a7fbfb8bed6c5e6a632,captcha_pre,1,21,male,2026-03-05T14:23:41.547,2026-03-05T14:23:46.149,4.602,1,1,Click on the images containing bicycles.,"[""Bus (22).jpg"", ""Stair (1095).jpg"", ""Bicycle (518).jpg"", ""Bicycle (152).jpg"", ""Bridge (40).jpg"", ""Bicycle (539).jpg"", ""Bicycle (349).jpg"", ""Car (45).jpg"", ""Bridge (74).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[2, 3, 5, 6]","[""Bicycle (518).jpg"", ""Bicycle (152).jpg"", ""Bicycle (539).jpg"", ""Bicycle (349).jpg""]",776,1,1,1,submit,
728e2f7a5d574a7fbfb8bed6c5e6a632,captcha_pre,1,21,male,2026-03-05T14:23:41.547,2026-03-05T14:23:47.163,5.616,1,,Click on the images containing bicycles.,[],[],[],[],776,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
728e2f7a5d574a7fbfb8bed6c5e6a632,q_pre_captcha,1,21,male,2026-03-05T14:23:47.178,2026-03-05T14:23:50.244,3.066,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_difficulty"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4""}"
728e2f7a5d574a7fbfb8bed6c5e6a632,q_pre_idaq,1,21,male,2026-03-05T14:23:50.259,2026-03-05T14:23:52.835,2.576,,,,,,,,,,,,submit,"{""idaq_3"": ""5"", ""idaq_23"": ""5"", ""idaq_18"": ""5"", ""idaq_2"": ""5"", ""idaq_17"": ""5"", ""idaq_21"": ""5"", ""idaq_22"": ""5"", ""idaq_20"": ""5"", ""idaq_16"": ""5"", ""idaq_26"": ""5"", ""idaq_19"": ""5"", ""idaq_15"": ""5"", ""idaq_11"": ""5"", ""idaq_28"": ""5"", ""idaq_13"": ""5"", ""idaq_24"": ""5"", ""idaq_5"": ""5"", ""idaq_27"": ""5"", ""idaq_4"": ""5"", ""idaq_25"": ""5"", ""idaq_8"": ""5"", ""idaq_9"": ""5"", ""idaq_29"": ""5"", ""idaq_30"": ""5"", ""idaq_7"": ""5"", ""idaq_10"": ""5"", ""idaq_12"": ""5"", ""idaq_1"": ""5"", ""idaq_6"": ""5"", ""idaq_14"": ""5""}"
728e2f7a5d574a7fbfb8bed6c5e6a632,q_pre_2050,1,21,male,2026-03-05T14:23:52.850,2026-03-05T14:23:54.501,1.651,,,,,,,,,,,,submit,"{""2050_police"": ""5"", ""2050_sports"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_art"": ""5"", ""2050_hiking"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_mannequins"": ""5"", ""2050_school"": ""5"", ""2050_experiments"": ""5"", ""2050_other_worlds"": ""5"", ""2050_shelters"": ""5"", ""2050_crime"": ""5"", ""2050_rights"": ""5"", ""2050_nursing_home"": ""5"", ""2050_rubbish_collectors"": ""5""}"
728e2f7a5d574a7fbfb8bed6c5e6a632,q_post_gators,1,21,male,2026-03-05T14:23:54.516,2026-03-05T14:23:56.694,2.178,,,,,,,,,,,,submit,"{""gators_12"": ""4"", ""gators_19"": ""4"", ""gators_5"": ""4"", ""gators_17"": ""4"", ""gators_13"": ""4"", ""gators_16"": ""4"", ""gators_1"": ""4"", ""gators_18"": ""4"", ""gators_10"": ""4"", ""gators_11"": ""4"", ""gators_6"": ""4"", ""gators_20"": ""4"", ""gators_3"": ""4"", ""gators_7"": ""4"", ""gators_15"": ""4"", ""gators_9"": ""4"", ""gators_4"": ""4"", ""gators_14"": ""4"", ""gators_8"": ""4"", ""gators_2"": ""4""}"
728e2f7a5d574a7fbfb8bed6c5e6a632,q_post_specific,1,21,male,2026-03-05T14:23:56.704,2026-03-05T14:23:58.356,1.652,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""robot_friendliness"": ""4"", ""conversation_interestingness"": ""4""}"
728e2f7a5d574a7fbfb8bed6c5e6a632,captcha_post,1,21,male,2026-03-05T14:23:59.415,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
728e2f7a5d574a7fbfb8bed6c5e6a632,captcha_post,1,21,male,2026-03-05T14:23:59.442,2026-03-05T14:24:02.210,2.768,1,,Click on the images containing bicycles.,"[""Stair (136).jpg"", ""Bicycle (254).jpg"", ""Bicycle (598).jpg"", ""Car (82).jpg"", ""Bridge (88).jpg"", ""Stair (749).jpg"", ""Bicycle (514).jpg"", ""Bicycle (325).jpg"", ""Car (47).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]",[],[],776,0,0,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
728e2f7a5d574a7fbfb8bed6c5e6a632,captcha_post,1,21,male,2026-03-05T14:23:59.442,2026-03-05T14:24:02.214,2.772,1,,Click on the images containing bicycles.,[],[],[],[],776,0,0,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
