exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:01.600,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:01.629,2026-03-09T12:12:04.366,2.737,1,0,Click on the images containing bicycles.,"[""Tlight (140).jpg"", ""Bicycle (624).jpg"", ""Bicycle (767).jpg"", ""Bus (96).jpg"", ""Bicycle (582).jpg"", ""Hydrant (35).jpg"", ""Cross (30).jpg"", ""Bicycle (163).jpg"", ""Car (122).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]",[5],"[""Hydrant (35).jpg""]",776,1,0,10,submit,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:05.974,2026-03-09T12:12:14.214,8.24,2,1,Click on the images containing bicycles.,"[""Bicycle (776).jpg"", ""Chimney (108).jpg"", ""Bicycle (256).jpg"", ""Bridge (94).jpg"", ""Bicycle (55).jpg"", ""Stair (889).jpg"", ""Car (53).jpg"", ""Bicycle (377).jpg"", ""Stair (363).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 4, 7]","[""Bicycle (776).jpg"", ""Bicycle (256).jpg"", ""Bicycle (55).jpg"", ""Bicycle (377).jpg""]",772,2,1,10,submit,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:14.219,2026-03-09T12:12:19.350,5.131,3,1,Click on the images containing bicycles.,"[""Chimney (5).jpg"", ""Bus (23).jpg"", ""Bicycle (96).jpg"", ""Bicycle (52).jpg"", ""Bicycle (607).jpg"", ""Bicycle (477).jpg"", ""Car (103).jpg"", ""Palm (80).jpg"", ""Bicycle (381).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[2, 3, 4, 5, 8]","[""Bicycle (96).jpg"", ""Bicycle (52).jpg"", ""Bicycle (607).jpg"", ""Bicycle (477).jpg"", ""Bicycle (381).jpg""]",767,3,2,10,submit,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:19.356,2026-03-09T12:12:26.654,7.298,4,1,Click on the images containing bicycles.,"[""Car (138).jpg"", ""Bicycle (448).jpg"", ""Bicycle (534).jpg"", ""Tlight (55).jpg"", ""Bicycle (513).jpg"", ""Stair (482).jpg"", ""Car (36).jpg"", ""Bridge (64).jpg"", ""Cross (24).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[1, 2, 4]","[""Bicycle (448).jpg"", ""Bicycle (534).jpg"", ""Bicycle (513).jpg""]",764,4,3,10,submit,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:26.661,2026-03-09T12:12:31.015,4.354,5,1,Click on the images containing bicycles.,"[""Bicycle (691).jpg"", ""Bicycle (14).jpg"", ""Stair (331).jpg"", ""Bus (70).jpg"", ""Hydrant (138).jpg"", ""Bus (40).jpg"", ""Bus (35).jpg"", ""Bicycle (562).jpg"", ""Bus (106).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (691).jpg"", ""Bicycle (14).jpg"", ""Bicycle (562).jpg""]",761,5,4,10,submit,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:31.020,2026-03-09T12:12:36.278,5.258,6,1,Click on the images containing bicycles.,"[""Bridge (85).jpg"", ""Bus (65).jpg"", ""Bicycle (392).jpg"", ""Bicycle (420).jpg"", ""Bicycle (46).jpg"", ""Bicycle (62).jpg"", ""Hydrant (45).jpg"", ""Hydrant (70).jpg"", ""Bicycle (169).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[2, 3, 4, 5, 8]","[""Bicycle (392).jpg"", ""Bicycle (420).jpg"", ""Bicycle (46).jpg"", ""Bicycle (62).jpg"", ""Bicycle (169).jpg""]",756,6,5,10,submit,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:36.282,2026-03-09T12:12:40.565,4.283,7,1,Click on the images containing bicycles.,"[""Bicycle (350).jpg"", ""Chimney (48).jpg"", ""Bicycle (411).jpg"", ""Chimney (95).jpg"", ""Bicycle (452).jpg"", ""Bridge (129).jpg"", ""Bicycle (352).jpg"", ""Hydrant (44).jpg"", ""Car (39).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bicycle (350).jpg"", ""Bicycle (411).jpg"", ""Bicycle (452).jpg"", ""Bicycle (352).jpg""]",752,7,6,10,submit,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:40.570,2026-03-09T12:12:44.686,4.116,8,1,Click on the images containing bicycles.,"[""Bicycle (603).jpg"", ""Chimney (92).jpg"", ""Palm (131).jpg"", ""Car (86).jpg"", ""Chimney (113).jpg"", ""Palm (115).jpg"", ""Bicycle (258).jpg"", ""Hydrant (39).jpg"", ""Bicycle (299).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 6, 8]","[""Bicycle (603).jpg"", ""Bicycle (258).jpg"", ""Bicycle (299).jpg""]",749,8,7,10,submit,
79cd1d87fa194a43ad0baee3ff7c5615,captcha_pre,1,1,female,2026-03-09T12:12:44.690,2026-03-09T12:12:49.702,5.012,9,1,Click on the images containing bicycles.,"[""Bicycle (184).jpg"", ""Bicycle (319).jpg"", ""Stair (1401).jpg"", ""Tlight (92).jpg"", ""Stair (681).jpg"", ""Bicycle (262).jpg"", ""Bicycle (348).jpg"", ""Bicycle (588).jpg"", ""Car (114).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[0, 1, 5, 6, 7]","[""Bicycle (184).jpg"", ""Bicycle (319).jpg"", ""Bicycle (262).jpg"", ""Bicycle (348).jpg"", ""Bicycle (588).jpg""]",744,9,8,10,submit,
