exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:04.286,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:04.311,2026-03-09T12:16:12.008,7.697,1,1,Click on the images containing bicycles.,"[""Bicycle (534).jpg"", ""Bicycle (632).jpg"", ""Stair (1422).jpg"", ""Hydrant (61).jpg"", ""Bicycle (112).jpg"", ""Bicycle (14).jpg"", ""Chimney (8).jpg"", ""Bicycle (282).jpg"", ""Chimney (44).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 4, 5, 7]","[""Bicycle (534).jpg"", ""Bicycle (632).jpg"", ""Bicycle (112).jpg"", ""Bicycle (14).jpg"", ""Bicycle (282).jpg""]",775,1,1,10,submit,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:12.014,2026-03-09T12:16:18.410,6.396,2,1,Click on the images containing bicycles.,"[""Bicycle (101).jpg"", ""Bicycle (58).jpg"", ""Bicycle (447).jpg"", ""Bicycle (570).jpg"", ""Car (45).jpg"", ""Tlight (119).jpg"", ""Bridge (134).jpg"", ""Stair (1377).jpg"", ""Car (29).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2, 3]","[""Bicycle (101).jpg"", ""Bicycle (58).jpg"", ""Bicycle (447).jpg"", ""Bicycle (570).jpg""]",771,2,2,10,submit,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:18.415,2026-03-09T12:16:22.392,3.977,3,1,Click on the images containing bicycles.,"[""Bicycle (612).jpg"", ""Bicycle (568).jpg"", ""Stair (973).jpg"", ""Bridge (61).jpg"", ""Bicycle (463).jpg"", ""Cross (36).jpg"", ""Bus (28).jpg"", ""Bus (76).jpg"", ""Bicycle (703).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 4, 8]","[""Bicycle (612).jpg"", ""Bicycle (568).jpg"", ""Bicycle (463).jpg"", ""Bicycle (703).jpg""]",767,3,3,10,submit,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:22.398,2026-03-09T12:16:25.649,3.251,4,1,Click on the images containing bicycles.,"[""Hydrant (44).jpg"", ""Bicycle (78).jpg"", ""Bicycle (600).jpg"", ""Stair (1237).jpg"", ""Cross (115).jpg"", ""Hydrant (70).jpg"", ""Bicycle (361).jpg"", ""Car (25).jpg"", ""Car (78).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 6]","[""Bicycle (78).jpg"", ""Bicycle (600).jpg"", ""Bicycle (361).jpg""]",764,4,4,10,submit,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:25.654,2026-03-09T12:16:29.929,4.275,5,1,Click on the images containing bicycles.,"[""Bicycle (263).jpg"", ""Bicycle (405).jpg"", ""Car (135).jpg"", ""Hydrant (108).jpg"", ""Bus (79).jpg"", ""Bicycle (420).jpg"", ""Car (50).jpg"", ""Bridge (36).jpg"", ""Palm (103).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (263).jpg"", ""Bicycle (405).jpg"", ""Bicycle (420).jpg""]",761,5,5,10,submit,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:29.935,2026-03-09T12:16:32.968,3.033,6,1,Click on the images containing bicycles.,"[""Tlight (105).jpg"", ""Bicycle (71).jpg"", ""Bicycle (444).jpg"", ""Palm (93).jpg"", ""Bicycle (465).jpg"", ""Bus (57).jpg"", ""Car (41).jpg"", ""Chimney (19).jpg"", ""Bicycle (626).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 4, 8]","[""Bicycle (71).jpg"", ""Bicycle (444).jpg"", ""Bicycle (465).jpg"", ""Bicycle (626).jpg""]",757,6,6,10,submit,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:32.972,2026-03-09T12:16:36.616,3.644,7,1,Click on the images containing bicycles.,"[""Cross (18).jpg"", ""Stair (861).jpg"", ""Bridge (40).jpg"", ""Bicycle (679).jpg"", ""Bicycle (603).jpg"", ""Tlight (113).jpg"", ""Bicycle (73).jpg"", ""Stair (1458).jpg"", ""Bicycle (41).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T""]","[3, 4, 6, 8]","[""Bicycle (679).jpg"", ""Bicycle (603).jpg"", ""Bicycle (73).jpg"", ""Bicycle (41).jpg""]",753,7,7,10,submit,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:36.620,2026-03-09T12:16:41.073,4.453,8,1,Click on the images containing bicycles.,"[""Bicycle (648).jpg"", ""Bridge (22).jpg"", ""Cross (26).jpg"", ""Tlight (50).jpg"", ""Bridge (114).jpg"", ""Bridge (75).jpg"", ""Bicycle (184).jpg"", ""Bicycle (549).jpg"", ""Bridge (74).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (648).jpg"", ""Bicycle (184).jpg"", ""Bicycle (549).jpg""]",750,8,8,10,submit,
c7769825004144668344e57bb02f4258,captcha_pre,1,1,female,2026-03-09T12:16:41.078,2026-03-09T12:16:44.777,3.699,9,1,Click on the images containing bicycles.,"[""Bus (132).jpg"", ""Bicycle (208).jpg"", ""Bridge (93).jpg"", ""Hydrant (41).jpg"", ""Car (93).jpg"", ""Bicycle (178).jpg"", ""Palm (137).jpg"", ""Bicycle (296).jpg"", ""Tlight (67).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (208).jpg"", ""Bicycle (178).jpg"", ""Bicycle (296).jpg""]",747,9,9,10,submit,
