exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
24ed8089d9e646a6a28227cfc0c72273,captcha_pre,1,1,female,2026-03-09T12:25:34.714,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
24ed8089d9e646a6a28227cfc0c72273,captcha_pre,1,1,female,2026-03-09T12:25:34.747,2026-03-09T12:25:43.911,9.164,1,1,Click on the images containing bicycles.,"[""Cross (21).jpg"", ""Bicycle (655).jpg"", ""Palm (125).jpg"", ""Cross (88).jpg"", ""Stair (1349).jpg"", ""Bus (61).jpg"", ""Bicycle (269).jpg"", ""Car (36).jpg"", ""Bicycle (606).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 6, 8]","[""Bicycle (655).jpg"", ""Bicycle (269).jpg"", ""Bicycle (606).jpg""]",777,1,1,1,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_pre,1,1,female,2026-03-09T12:25:34.747,2026-03-09T12:25:43.922,9.175,1,,Click on the images containing bicycles.,[],[],[],[],777,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
24ed8089d9e646a6a28227cfc0c72273,q_pre_captcha,1,1,female,2026-03-09T12:25:43.937,2026-03-09T12:25:48.057,4.12,,,,,,,,,,,,submit,"{""general_captcha_liking"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_difficulty"": ""4"", ""captcha_task_meaningfulness"": ""4""}"
24ed8089d9e646a6a28227cfc0c72273,q_pre_idaq,1,1,female,2026-03-09T12:25:48.072,2026-03-09T12:25:53.281,5.209,,,,,,,,,,,,submit,"{""idaq_24"": ""5"", ""idaq_16"": ""5"", ""idaq_13"": ""5"", ""idaq_30"": ""5"", ""idaq_28"": ""5"", ""idaq_27"": ""5"", ""idaq_11"": ""5"", ""idaq_1"": ""5"", ""idaq_3"": ""5"", ""idaq_26"": ""5"", ""idaq_8"": ""5"", ""idaq_15"": ""5"", ""idaq_25"": ""5"", ""idaq_10"": ""5"", ""idaq_18"": ""5"", ""idaq_5"": ""5"", ""idaq_21"": ""5"", ""idaq_19"": ""5"", ""idaq_20"": ""5"", ""idaq_9"": ""5"", ""idaq_14"": ""5"", ""idaq_4"": ""5"", ""idaq_7"": ""5"", ""idaq_6"": ""5"", ""idaq_22"": ""5"", ""idaq_17"": ""5"", ""idaq_2"": ""5"", ""idaq_12"": ""5"", ""idaq_23"": ""5"", ""idaq_29"": ""5""}"
24ed8089d9e646a6a28227cfc0c72273,q_pre_2050,1,1,female,2026-03-09T12:25:53.296,2026-03-09T12:25:56.370,3.074,,,,,,,,,,,,submit,"{""2050_art"": ""5"", ""2050_rights"": ""5"", ""2050_shelters"": ""5"", ""2050_experiments"": ""5"", ""2050_nursing_home"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_crime"": ""5"", ""2050_sports"": ""5"", ""2050_mannequins"": ""5"", ""2050_other_worlds"": ""5"", ""2050_school"": ""5"", ""2050_police"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_hiking"": ""5""}"
24ed8089d9e646a6a28227cfc0c72273,q_post_gators,1,1,female,2026-03-09T12:25:56.381,2026-03-09T12:25:58.860,2.479,,,,,,,,,,,,submit,"{""gators_12"": ""4"", ""gators_10"": ""4"", ""gators_5"": ""4"", ""gators_2"": ""4"", ""gators_3"": ""4"", ""gators_18"": ""4"", ""gators_16"": ""4"", ""gators_8"": ""4"", ""gators_7"": ""4"", ""gators_20"": ""4"", ""gators_9"": ""4"", ""gators_13"": ""4"", ""gators_6"": ""4"", ""gators_17"": ""4"", ""gators_19"": ""4"", ""gators_15"": ""4"", ""gators_4"": ""4"", ""gators_1"": ""4"", ""gators_11"": ""4"", ""gators_14"": ""4""}"
24ed8089d9e646a6a28227cfc0c72273,q_post_specific,1,1,female,2026-03-09T12:25:58.870,2026-03-09T12:26:01.200,2.33,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4"", ""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4"", ""robot_likeability"": ""4""}"
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:02.222,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:02.249,2026-03-09T12:26:12.624,10.375,1,0,Click on the images containing bicycles.,"[""Bicycle (3).jpg"", ""Bicycle (613).jpg"", ""Bicycle (612).jpg"", ""Chimney (3).jpg"", ""Hydrant (28).jpg"", ""Bicycle (382).jpg"", ""Hydrant (102).jpg"", ""Bicycle (723).jpg"", ""Palm (53).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 2, 5, 7]","[""Bicycle (3).jpg"", ""Bicycle (612).jpg"", ""Bicycle (382).jpg"", ""Bicycle (723).jpg""]",775,1,0,1000,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:14.233,2026-03-09T12:26:19.462,5.229,2,1,Click on the images containing bicycles.,"[""Bicycle (375).jpg"", ""Hydrant (48).jpg"", ""Stair (418).jpg"", ""Palm (68).jpg"", ""Bicycle (240).jpg"", ""Palm (79).jpg"", ""Bicycle (706).jpg"", ""Car (109).jpg"", ""Bicycle (530).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 4, 6, 8]","[""Bicycle (375).jpg"", ""Bicycle (240).jpg"", ""Bicycle (706).jpg"", ""Bicycle (530).jpg""]",771,2,1,1000,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:19.468,2026-03-09T12:26:23.471,4.003,3,1,Click on the images containing bicycles.,"[""Stair (544).jpg"", ""Bicycle (242).jpg"", ""Hydrant (127).jpg"", ""Bicycle (777).jpg"", ""Stair (1416).jpg"", ""Bus (54).jpg"", ""Bicycle (13).jpg"", ""Palm (104).jpg"", ""Bicycle (32).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 3, 6, 8]","[""Bicycle (242).jpg"", ""Bicycle (777).jpg"", ""Bicycle (13).jpg"", ""Bicycle (32).jpg""]",767,3,2,1000,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:23.477,2026-03-09T12:26:28.326,4.849,4,1,Click on the images containing bicycles.,"[""Hydrant (88).jpg"", ""Bicycle (353).jpg"", ""Stair (14).jpg"", ""Bicycle (230).jpg"", ""Cross (17).jpg"", ""Bicycle (254).jpg"", ""Car (133).jpg"", ""Bicycle (702).jpg"", ""Bicycle (570).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T""]","[1, 3, 5, 7, 8]","[""Bicycle (353).jpg"", ""Bicycle (230).jpg"", ""Bicycle (254).jpg"", ""Bicycle (702).jpg"", ""Bicycle (570).jpg""]",762,4,3,1000,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:28.331,2026-03-09T12:26:32.414,4.083,5,1,Click on the images containing bicycles.,"[""Palm (100).jpg"", ""Hydrant (63).jpg"", ""Bicycle (256).jpg"", ""Stair (917).jpg"", ""Bicycle (564).jpg"", ""Stair (951).jpg"", ""Bicycle (358).jpg"", ""Hydrant (47).jpg"", ""Bicycle (261).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[2, 4, 6, 8]","[""Bicycle (256).jpg"", ""Bicycle (564).jpg"", ""Bicycle (358).jpg"", ""Bicycle (261).jpg""]",758,5,4,1000,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:32.419,2026-03-09T12:26:37.982,5.563,6,1,Click on the images containing bicycles.,"[""Chimney (87).jpg"", ""Tlight (134).jpg"", ""Bicycle (344).jpg"", ""Chimney (20).jpg"", ""Car (134).jpg"", ""Bicycle (299).jpg"", ""Bicycle (519).jpg"", ""Bridge (59).jpg"", ""Bicycle (235).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[2, 5, 6, 8]","[""Bicycle (344).jpg"", ""Bicycle (299).jpg"", ""Bicycle (519).jpg"", ""Bicycle (235).jpg""]",754,6,5,1000,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:37.987,2026-03-09T12:26:42.526,4.539,7,0,Click on the images containing bicycles.,"[""Bicycle (364).jpg"", ""Bicycle (378).jpg"", ""Car (74).jpg"", ""Palm (133).jpg"", ""Bicycle (339).jpg"", ""Bus (58).jpg"", ""Bus (115).jpg"", ""Bicycle (87).jpg"", ""Bicycle (286).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 5, 7, 8]","[""Bicycle (364).jpg"", ""Bus (58).jpg"", ""Bicycle (87).jpg"", ""Bicycle (286).jpg""]",749,7,5,1000,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:44.135,2026-03-09T12:26:50.342,6.207,8,1,Click on the images containing bicycles.,"[""Bicycle (204).jpg"", ""Bicycle (447).jpg"", ""Bicycle (290).jpg"", ""Tlight (92).jpg"", ""Palm (44).jpg"", ""Bicycle (182).jpg"", ""Tlight (59).jpg"", ""Bus (109).jpg"", ""Bicycle (540).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 2, 5, 8]","[""Bicycle (204).jpg"", ""Bicycle (447).jpg"", ""Bicycle (290).jpg"", ""Bicycle (182).jpg"", ""Bicycle (540).jpg""]",744,8,6,1000,submit,
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:50.346,2026-03-09T12:26:53.167,2.821,9,,Click on the images containing bicycles.,"[""Palm (101).jpg"", ""Stair (1183).jpg"", ""Hydrant (56).jpg"", ""Palm (122).jpg"", ""Bicycle (508).jpg"", ""Palm (66).jpg"", ""Bicycle (676).jpg"", ""Bicycle (537).jpg"", ""Cross (117).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]",[],[],741,8,6,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
24ed8089d9e646a6a28227cfc0c72273,captcha_post,1,1,female,2026-03-09T12:26:50.346,2026-03-09T12:26:53.171,2.825,9,,Click on the images containing bicycles.,[],[],[],[],741,8,6,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
