exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
1532a88e352240239d8c5550755ca4a0,captcha_pre,1,1,female,2026-03-09T12:46:21.387,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
1532a88e352240239d8c5550755ca4a0,captcha_pre,1,1,female,2026-03-09T12:46:21.421,2026-03-09T12:46:31.351,9.93,1,0,Click on the images containing bicycles.,"[""Bicycle (435).jpg"", ""Chimney (114).jpg"", ""Bicycle (453).jpg"", ""Bridge (99).jpg"", ""Bicycle (771).jpg"", ""Bicycle (580).jpg"", ""Bicycle (693).jpg"", ""Tlight (1).jpg"", ""Palm (82).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 4, 5, 6]","[""Bicycle (435).jpg"", ""Bicycle (771).jpg"", ""Bicycle (580).jpg"", ""Bicycle (693).jpg""]",775,1,0,1,submit,
1532a88e352240239d8c5550755ca4a0,captcha_pre,1,1,female,2026-03-09T12:46:32.959,2026-03-09T12:46:42.350,9.391,2,1,Click on the images containing bicycles.,"[""Bicycle (617).jpg"", ""Bicycle (327).jpg"", ""Stair (1191).jpg"", ""Cross (95).jpg"", ""Cross (49).jpg"", ""Bicycle (584).jpg"", ""Stair (641).jpg"", ""Bicycle (69).jpg"", ""Chimney (76).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 5, 7]","[""Bicycle (617).jpg"", ""Bicycle (327).jpg"", ""Bicycle (584).jpg"", ""Bicycle (69).jpg""]",771,2,1,1,submit,
1532a88e352240239d8c5550755ca4a0,captcha_pre,1,1,female,2026-03-09T12:46:32.959,2026-03-09T12:46:42.361,9.402,2,,Click on the images containing bicycles.,[],[],[],[],771,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
1532a88e352240239d8c5550755ca4a0,q_pre_captcha,1,1,female,2026-03-09T12:46:42.373,2026-03-09T12:46:44.151,1.778,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4""}"
1532a88e352240239d8c5550755ca4a0,q_pre_idaq,1,1,female,2026-03-09T12:46:44.165,2026-03-09T12:46:46.014,1.849,,,,,,,,,,,,submit,"{""idaq_19"": ""5"", ""idaq_17"": ""5"", ""idaq_6"": ""5"", ""idaq_23"": ""5"", ""idaq_14"": ""5"", ""idaq_10"": ""5"", ""idaq_5"": ""5"", ""idaq_28"": ""5"", ""idaq_1"": ""5"", ""idaq_29"": ""5"", ""idaq_22"": ""5"", ""idaq_25"": ""5"", ""idaq_13"": ""5"", ""idaq_30"": ""5"", ""idaq_18"": ""5"", ""idaq_7"": ""5"", ""idaq_15"": ""5"", ""idaq_21"": ""5"", ""idaq_4"": ""5"", ""idaq_12"": ""5"", ""idaq_3"": ""5"", ""idaq_2"": ""5"", ""idaq_16"": ""5"", ""idaq_20"": ""5"", ""idaq_8"": ""5"", ""idaq_27"": ""5"", ""idaq_24"": ""5"", ""idaq_11"": ""5"", ""idaq_26"": ""5"", ""idaq_9"": ""5""}"
1532a88e352240239d8c5550755ca4a0,q_pre_2050,1,1,female,2026-03-09T12:46:46.038,2026-03-09T12:46:47.970,1.932,,,,,,,,,,,,submit,"{""2050_flight_attendants"": ""5"", ""2050_rights"": ""5"", ""2050_nursing_home"": ""5"", ""2050_other_worlds"": ""5"", ""2050_sports"": ""5"", ""2050_hiking"": ""5"", ""2050_crime"": ""5"", ""2050_school"": ""5"", ""2050_experiments"": ""5"", ""2050_shelters"": ""5"", ""2050_mannequins"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_art"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_police"": ""5""}"
1532a88e352240239d8c5550755ca4a0,q_post_gators,1,1,female,2026-03-09T12:46:47.987,2026-03-09T12:46:49.218,1.231,,,,,,,,,,,,submit,"{""gators_15"": ""4"", ""gators_12"": ""4"", ""gators_4"": ""4"", ""gators_7"": ""4"", ""gators_10"": ""4"", ""gators_1"": ""4"", ""gators_13"": ""4"", ""gators_16"": ""4"", ""gators_8"": ""4"", ""gators_11"": ""4"", ""gators_9"": ""4"", ""gators_6"": ""4"", ""gators_18"": ""4"", ""gators_5"": ""4"", ""gators_2"": ""4"", ""gators_19"": ""4"", ""gators_3"": ""4"", ""gators_20"": ""4"", ""gators_14"": ""4"", ""gators_17"": ""4""}"
1532a88e352240239d8c5550755ca4a0,q_post_specific,1,1,female,2026-03-09T12:46:49.232,2026-03-09T12:46:50.567,1.335,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""4"", ""robot_likeability"": ""4"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4""}"
1532a88e352240239d8c5550755ca4a0,captcha_post,1,1,female,2026-03-09T12:46:51.889,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
