exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:03:26.931,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:03:26.970,2026-03-09T13:03:49.340,22.37,1,1,Click on the images containing bicycles.,"[""Bridge (103).jpg"", ""Palm (111).jpg"", ""Palm (43).jpg"", ""Bicycle (637).jpg"", ""Bridge (23).jpg"", ""Bridge (91).jpg"", ""Cross (37).jpg"", ""Bicycle (553).jpg"", ""Bicycle (589).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (637).jpg"", ""Bicycle (553).jpg"", ""Bicycle (589).jpg""]",777,1,1,10,submit,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:03:49.347,2026-03-09T13:04:02.580,13.233,2,0,Click on the images containing bicycles.,"[""Tlight (88).jpg"", ""Car (101).jpg"", ""Car (50).jpg"", ""Cross (110).jpg"", ""Bicycle (582).jpg"", ""Chimney (28).jpg"", ""Bicycle (180).jpg"", ""Bicycle (377).jpg"", ""Bicycle (66).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[4, 7, 8]","[""Bicycle (582).jpg"", ""Bicycle (377).jpg"", ""Bicycle (66).jpg""]",773,2,1,10,submit,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:04:04.589,2026-03-09T13:04:14.477,9.888,3,1,Click on the images containing bicycles.,"[""Hydrant (98).jpg"", ""Tlight (86).jpg"", ""Car (57).jpg"", ""Bicycle (116).jpg"", ""Palm (15).jpg"", ""Bicycle (48).jpg"", ""Bicycle (33).jpg"", ""Bus (88).jpg"", ""Chimney (24).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[3, 5, 6]","[""Bicycle (116).jpg"", ""Bicycle (48).jpg"", ""Bicycle (33).jpg""]",770,3,2,10,submit,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:04:14.483,2026-03-09T13:04:28.780,14.297,4,1,Click on the images containing bicycles.,"[""Palm (123).jpg"", ""Bicycle (45).jpg"", ""Car (33).jpg"", ""Bicycle (270).jpg"", ""Bicycle (141).jpg"", ""Bridge (130).jpg"", ""Hydrant (96).jpg"", ""Bicycle (220).jpg"", ""Car (109).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 4, 7]","[""Bicycle (45).jpg"", ""Bicycle (270).jpg"", ""Bicycle (141).jpg"", ""Bicycle (220).jpg""]",766,4,3,10,submit,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:04:28.786,2026-03-09T13:04:54.812,26.026,5,1,Click on the images containing bicycles.,"[""Bridge (121).jpg"", ""Palm (9).jpg"", ""Bus (129).jpg"", ""Car (132).jpg"", ""Bridge (98).jpg"", ""Bicycle (465).jpg"", ""Bicycle (461).jpg"", ""Bicycle (776).jpg"", ""Hydrant (92).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D""]","[5, 6, 7]","[""Bicycle (465).jpg"", ""Bicycle (461).jpg"", ""Bicycle (776).jpg""]",763,5,4,10,submit,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:04:54.818,2026-03-09T13:05:19.372,24.554,6,1,Click on the images containing bicycles.,"[""Bicycle (334).jpg"", ""Stair (1138).jpg"", ""Cross (78).jpg"", ""Bridge (56).jpg"", ""Chimney (128).jpg"", ""Bicycle (423).jpg"", ""Bridge (79).jpg"", ""Car (54).jpg"", ""Bicycle (513).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 5, 8]","[""Bicycle (334).jpg"", ""Bicycle (423).jpg"", ""Bicycle (513).jpg""]",760,6,5,10,submit,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:05:19.379,2026-03-09T13:05:29.771,10.392,7,1,Click on the images containing bicycles.,"[""Tlight (65).jpg"", ""Bridge (134).jpg"", ""Bicycle (319).jpg"", ""Bicycle (742).jpg"", ""Bridge (33).jpg"", ""Bridge (37).jpg"", ""Palm (114).jpg"", ""Bicycle (265).jpg"", ""Bicycle (323).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 3, 7, 8]","[""Bicycle (319).jpg"", ""Bicycle (742).jpg"", ""Bicycle (265).jpg"", ""Bicycle (323).jpg""]",756,7,6,10,submit,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:05:29.779,2026-03-09T13:05:49.276,19.497,8,1,Click on the images containing bicycles.,"[""Stair (165).jpg"", ""Bicycle (632).jpg"", ""Bicycle (565).jpg"", ""Chimney (76).jpg"", ""Bicycle (502).jpg"", ""Stair (973).jpg"", ""Tlight (83).jpg"", ""Bicycle (657).jpg"", ""Bicycle (562).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T""]","[1, 2, 4, 7, 8]","[""Bicycle (632).jpg"", ""Bicycle (565).jpg"", ""Bicycle (502).jpg"", ""Bicycle (657).jpg"", ""Bicycle (562).jpg""]",751,8,7,10,submit,
48907f1254774ca3a03832c74cbe78e7,captcha_pre,1,1,female,2026-03-09T13:05:49.282,2026-03-09T13:06:05.779,16.497,9,1,Click on the images containing bicycles.,"[""Stair (1134).jpg"", ""Bicycle (447).jpg"", ""Bus (69).jpg"", ""Bicycle (44).jpg"", ""Stair (567).jpg"", ""Bicycle (561).jpg"", ""Stair (216).jpg"", ""Stair (253).jpg"", ""Car (133).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 5]","[""Bicycle (447).jpg"", ""Bicycle (44).jpg"", ""Bicycle (561).jpg""]",748,9,8,10,submit,
