exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T13:59:13.799,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T13:59:13.829,2026-03-09T13:59:23.545,9.716,1,1,Click on the images containing bicycles.,"[""Bicycle (577).jpg"", ""Bicycle (614).jpg"", ""Cross (67).jpg"", ""Bicycle (373).jpg"", ""Bicycle (33).jpg"", ""Bicycle (535).jpg"", ""Bus (133).jpg"", ""Bus (81).jpg"", ""Hydrant (105).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 3, 4, 5]","[""Bicycle (577).jpg"", ""Bicycle (614).jpg"", ""Bicycle (373).jpg"", ""Bicycle (33).jpg"", ""Bicycle (535).jpg""]",775,1,1,10,submit,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T13:59:23.552,2026-03-09T13:59:30.089,6.537,2,0,Click on the images containing bicycles.,"[""Bicycle (268).jpg"", ""Bicycle (274).jpg"", ""Bicycle (563).jpg"", ""Bicycle (160).jpg"", ""Chimney (84).jpg"", ""Bicycle (108).jpg"", ""Cross (120).jpg"", ""Stair (1465).jpg"", ""Tlight (76).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5]","[""Bicycle (268).jpg"", ""Bicycle (274).jpg"", ""Bicycle (108).jpg""]",770,2,1,10,submit,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T13:59:32.097,2026-03-09T14:05:32.474,360.377,3,0,Click on the images containing bicycles.,"[""Bus (84).jpg"", ""Palm (123).jpg"", ""Bicycle (201).jpg"", ""Bicycle (766).jpg"", ""Bicycle (69).jpg"", ""Car (68).jpg"", ""Stair (1052).jpg"", ""Cross (59).jpg"", ""Bicycle (111).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 4, 8]","[""Bicycle (201).jpg"", ""Bicycle (69).jpg"", ""Bicycle (111).jpg""]",766,3,1,10,submit,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T14:05:34.483,2026-03-09T14:05:43.767,9.284,4,1,Click on the images containing bicycles.,"[""Car (46).jpg"", ""Bicycle (152).jpg"", ""Cross (54).jpg"", ""Bicycle (479).jpg"", ""Car (81).jpg"", ""Bicycle (306).jpg"", ""Bicycle (342).jpg"", ""Chimney (95).jpg"", ""Tlight (55).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 5, 6]","[""Bicycle (152).jpg"", ""Bicycle (479).jpg"", ""Bicycle (306).jpg"", ""Bicycle (342).jpg""]",762,4,2,10,submit,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T14:05:43.773,2026-03-09T14:05:50.127,6.354,5,1,Click on the images containing bicycles.,"[""Bridge (54).jpg"", ""Bicycle (472).jpg"", ""Bicycle (525).jpg"", ""Bicycle (754).jpg"", ""Bridge (65).jpg"", ""Bus (62).jpg"", ""Bicycle (51).jpg"", ""Chimney (100).jpg"", ""Tlight (70).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 3, 6]","[""Bicycle (472).jpg"", ""Bicycle (525).jpg"", ""Bicycle (754).jpg"", ""Bicycle (51).jpg""]",758,5,3,10,submit,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T14:05:50.133,2026-03-09T14:05:57.895,7.762,6,1,Click on the images containing bicycles.,"[""Tlight (121).jpg"", ""Bicycle (436).jpg"", ""Bicycle (684).jpg"", ""Car (114).jpg"", ""Car (65).jpg"", ""Bicycle (134).jpg"", ""Chimney (42).jpg"", ""Bridge (112).jpg"", ""Cross (11).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 5]","[""Bicycle (436).jpg"", ""Bicycle (684).jpg"", ""Bicycle (134).jpg""]",755,6,4,10,submit,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T14:05:57.902,2026-03-09T14:06:07.799,9.897,7,1,Click on the images containing bicycles.,"[""Stair (393).jpg"", ""Tlight (100).jpg"", ""Chimney (90).jpg"", ""Bicycle (252).jpg"", ""Stair (1249).jpg"", ""Stair (1191).jpg"", ""Bicycle (263).jpg"", ""Tlight (112).jpg"", ""Bicycle (230).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[3, 6, 8]","[""Bicycle (252).jpg"", ""Bicycle (263).jpg"", ""Bicycle (230).jpg""]",752,7,5,10,submit,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T14:06:07.805,2026-03-09T14:06:14.333,6.528,8,1,Click on the images containing bicycles.,"[""Bicycle (183).jpg"", ""Bridge (110).jpg"", ""Bridge (78).jpg"", ""Stair (109).jpg"", ""Bicycle (456).jpg"", ""Stair (889).jpg"", ""Bicycle (223).jpg"", ""Palm (99).jpg"", ""Bicycle (14).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 4, 6, 8]","[""Bicycle (183).jpg"", ""Bicycle (456).jpg"", ""Bicycle (223).jpg"", ""Bicycle (14).jpg""]",748,8,6,10,submit,
b5e1d264b8cc4ca38998686924cc17a8,captcha_pre,1,1,male,2026-03-09T14:06:14.339,2026-03-09T14:06:26.671,12.332,9,1,Click on the images containing bicycles.,"[""Bicycle (390).jpg"", ""Hydrant (36).jpg"", ""Cross (76).jpg"", ""Bicycle (38).jpg"", ""Hydrant (103).jpg"", ""Bicycle (442).jpg"", ""Bicycle (109).jpg"", ""Bicycle (552).jpg"", ""Car (45).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D""]","[0, 3, 5, 6, 7]","[""Bicycle (390).jpg"", ""Bicycle (38).jpg"", ""Bicycle (442).jpg"", ""Bicycle (109).jpg"", ""Bicycle (552).jpg""]",743,9,7,10,submit,
