exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:10:55.557,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:10:55.579,2026-03-11T14:11:20.566,24.987,1,0,Click on the images containing bicycles.,"[""Bicycle (553).jpg"", ""Bicycle (483).jpg"", ""Cross (71).jpg"", ""Hydrant (36).jpg"", ""Bicycle (197).jpg"", ""Bicycle (405).jpg"", ""Bicycle (374).jpg"", ""Stair (1183).jpg"", ""Cross (114).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 4, 5, 6, 8]","[""Bicycle (553).jpg"", ""Bicycle (483).jpg"", ""Bicycle (197).jpg"", ""Bicycle (405).jpg"", ""Bicycle (374).jpg"", ""Cross (114).jpg""]",775,1,0,10,submit,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:11:22.577,2026-03-11T14:11:29.557,6.98,2,0,Click on the images containing bicycles.,"[""Bicycle (150).jpg"", ""Chimney (91).jpg"", ""Bicycle (160).jpg"", ""Bus (105).jpg"", ""Bicycle (96).jpg"", ""Palm (133).jpg"", ""Bicycle (76).jpg"", ""Bicycle (396).jpg"", ""Hydrant (65).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 4, 6, 7]","[""Bicycle (150).jpg"", ""Bicycle (96).jpg"", ""Bicycle (76).jpg"", ""Bicycle (396).jpg""]",770,2,0,10,submit,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:11:31.566,2026-03-11T14:11:39.557,7.991,3,1,Click on the images containing bicycles.,"[""Bicycle (541).jpg"", ""Bicycle (548).jpg"", ""Car (98).jpg"", ""Bicycle (569).jpg"", ""Bus (100).jpg"", ""Tlight (84).jpg"", ""Hydrant (118).jpg"", ""Car (115).jpg"", ""Palm (6).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3]","[""Bicycle (541).jpg"", ""Bicycle (548).jpg"", ""Bicycle (569).jpg""]",767,3,1,10,submit,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:11:39.564,2026-03-11T14:11:47.357,7.793,4,1,Click on the images containing bicycles.,"[""Bus (123).jpg"", ""Bicycle (468).jpg"", ""Cross (105).jpg"", ""Bicycle (311).jpg"", ""Bicycle (299).jpg"", ""Bicycle (434).jpg"", ""Bicycle (538).jpg"", ""Cross (93).jpg"", ""Car (112).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D""]","[1, 3, 4, 5, 6]","[""Bicycle (468).jpg"", ""Bicycle (311).jpg"", ""Bicycle (299).jpg"", ""Bicycle (434).jpg"", ""Bicycle (538).jpg""]",762,4,2,10,submit,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:11:47.364,2026-03-11T14:11:55.013,7.649,5,1,Click on the images containing bicycles.,"[""Bicycle (38).jpg"", ""Bicycle (261).jpg"", ""Tlight (139).jpg"", ""Palm (1).jpg"", ""Stair (917).jpg"", ""Stair (1416).jpg"", ""Cross (115).jpg"", ""Car (53).jpg"", ""Bicycle (666).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 8]","[""Bicycle (38).jpg"", ""Bicycle (261).jpg"", ""Bicycle (666).jpg""]",759,5,3,10,submit,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:11:55.020,2026-03-11T14:12:01.812,6.792,6,0,Click on the images containing bicycles.,"[""Bicycle (57).jpg"", ""Cross (85).jpg"", ""Bicycle (112).jpg"", ""Bicycle (363).jpg"", ""Bridge (34).jpg"", ""Tlight (13).jpg"", ""Car (36).jpg"", ""Bicycle (582).jpg"", ""Bicycle (550).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[2, 3, 7, 8]","[""Bicycle (112).jpg"", ""Bicycle (363).jpg"", ""Bicycle (582).jpg"", ""Bicycle (550).jpg""]",754,6,3,10,submit,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:12:03.829,2026-03-11T14:12:12.028,8.199,7,1,Click on the images containing bicycles.,"[""Bicycle (664).jpg"", ""Tlight (42).jpg"", ""Bridge (88).jpg"", ""Stair (393).jpg"", ""Bus (45).jpg"", ""Bicycle (439).jpg"", ""Bicycle (596).jpg"", ""Hydrant (68).jpg"", ""Car (131).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 5, 6]","[""Bicycle (664).jpg"", ""Bicycle (439).jpg"", ""Bicycle (596).jpg""]",751,7,4,10,submit,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:12:12.034,2026-03-11T14:12:21.925,9.891,8,1,Click on the images containing bicycles.,"[""Bicycle (620).jpg"", ""Tlight (49).jpg"", ""Cross (104).jpg"", ""Bus (118).jpg"", ""Stair (253).jpg"", ""Bicycle (417).jpg"", ""Bicycle (723).jpg"", ""Cross (59).jpg"", ""Car (42).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 5, 6]","[""Bicycle (620).jpg"", ""Bicycle (417).jpg"", ""Bicycle (723).jpg""]",748,8,5,10,submit,
797066c5af4e4af696e4f1a3cc224545,captcha_pre,1,1,female,2026-03-11T14:12:21.931,2026-03-11T14:12:34.460,12.529,9,1,Click on the images containing bicycles.,"[""Bicycle (467).jpg"", ""Bicycle (521).jpg"", ""Bicycle (679).jpg"", ""Palm (83).jpg"", ""Bus (97).jpg"", ""Bicycle (36).jpg"", ""Cross (74).jpg"", ""Bicycle (111).jpg"", ""Hydrant (109).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 2, 5, 7]","[""Bicycle (467).jpg"", ""Bicycle (521).jpg"", ""Bicycle (679).jpg"", ""Bicycle (36).jpg"", ""Bicycle (111).jpg""]",743,9,6,10,submit,
