exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:04.267,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:04.300,2026-03-11T14:26:13.214,8.914,1,1,Click on the images containing bicycles.,"[""Bicycle (340).jpg"", ""Bridge (118).jpg"", ""Tlight (116).jpg"", ""Bicycle (388).jpg"", ""Bicycle (138).jpg"", ""Stair (246).jpg"", ""Bicycle (430).jpg"", ""Bicycle (701).jpg"", ""Bridge (106).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 4, 6, 7]","[""Bicycle (340).jpg"", ""Bicycle (388).jpg"", ""Bicycle (138).jpg"", ""Bicycle (430).jpg"", ""Bicycle (701).jpg""]",775,1,1,10,submit,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:13.220,2026-03-11T14:26:21.662,8.442,2,1,Click on the images containing bicycles.,"[""Bicycle (277).jpg"", ""Bridge (38).jpg"", ""Bridge (50).jpg"", ""Palm (42).jpg"", ""Hydrant (103).jpg"", ""Bicycle (571).jpg"", ""Hydrant (88).jpg"", ""Bicycle (274).jpg"", ""Bus (84).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 5, 7]","[""Bicycle (277).jpg"", ""Bicycle (571).jpg"", ""Bicycle (274).jpg""]",772,2,2,10,submit,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:21.668,2026-03-11T14:26:28.782,7.114,3,1,Click on the images containing bicycles.,"[""Bicycle (190).jpg"", ""Bridge (74).jpg"", ""Bicycle (238).jpg"", ""Cross (24).jpg"", ""Bicycle (303).jpg"", ""Tlight (59).jpg"", ""Bicycle (187).jpg"", ""Hydrant (139).jpg"", ""Car (99).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 4, 6]","[""Bicycle (190).jpg"", ""Bicycle (238).jpg"", ""Bicycle (303).jpg"", ""Bicycle (187).jpg""]",768,3,3,10,submit,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:28.787,2026-03-11T14:26:35.181,6.394,4,1,Click on the images containing bicycles.,"[""Chimney (109).jpg"", ""Bicycle (153).jpg"", ""Bicycle (120).jpg"", ""Bicycle (514).jpg"", ""Stair (672).jpg"", ""Bicycle (216).jpg"", ""Hydrant (129).jpg"", ""Bicycle (320).jpg"", ""Cross (22).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 3, 5, 7]","[""Bicycle (153).jpg"", ""Bicycle (120).jpg"", ""Bicycle (514).jpg"", ""Bicycle (216).jpg"", ""Bicycle (320).jpg""]",763,4,4,10,submit,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:35.186,2026-03-11T14:26:40.181,4.995,5,1,Click on the images containing bicycles.,"[""Cross (70).jpg"", ""Bicycle (614).jpg"", ""Chimney (107).jpg"", ""Tlight (62).jpg"", ""Bicycle (90).jpg"", ""Bicycle (768).jpg"", ""Palm (68).jpg"", ""Cross (50).jpg"", ""Tlight (97).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 4, 5]","[""Bicycle (614).jpg"", ""Bicycle (90).jpg"", ""Bicycle (768).jpg""]",760,5,5,10,submit,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:40.188,2026-03-11T14:26:50.438,10.25,6,1,Click on the images containing bicycles.,"[""Bicycle (193).jpg"", ""Bicycle (279).jpg"", ""Car (40).jpg"", ""Chimney (62).jpg"", ""Chimney (98).jpg"", ""Bicycle (335).jpg"", ""Cross (15).jpg"", ""Cross (28).jpg"", ""Bicycle (287).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 5, 8]","[""Bicycle (193).jpg"", ""Bicycle (279).jpg"", ""Bicycle (335).jpg"", ""Bicycle (287).jpg""]",756,6,6,10,submit,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:50.443,2026-03-11T14:26:55.318,4.875,7,1,Click on the images containing bicycles.,"[""Bicycle (650).jpg"", ""Bicycle (435).jpg"", ""Hydrant (134).jpg"", ""Palm (114).jpg"", ""Bridge (65).jpg"", ""Cross (113).jpg"", ""Bicycle (166).jpg"", ""Bridge (134).jpg"", ""Palm (49).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (650).jpg"", ""Bicycle (435).jpg"", ""Bicycle (166).jpg""]",753,7,7,10,submit,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:26:55.324,2026-03-11T14:27:00.942,5.618,8,1,Click on the images containing bicycles.,"[""Bridge (35).jpg"", ""Bridge (86).jpg"", ""Palm (104).jpg"", ""Bicycle (605).jpg"", ""Tlight (137).jpg"", ""Bicycle (328).jpg"", ""Car (32).jpg"", ""Bicycle (147).jpg"", ""Palm (96).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[3, 5, 7]","[""Bicycle (605).jpg"", ""Bicycle (328).jpg"", ""Bicycle (147).jpg""]",750,8,8,10,submit,
987a7bd9acc844fd907b6e6627174931,captcha_pre,1,1,male,2026-03-11T14:27:00.949,2026-03-11T14:27:08.197,7.248,9,1,Click on the images containing bicycles.,"[""Palm (141).jpg"", ""Hydrant (55).jpg"", ""Bicycle (330).jpg"", ""Tlight (12).jpg"", ""Bridge (123).jpg"", ""Bicycle (749).jpg"", ""Car (59).jpg"", ""Bus (108).jpg"", ""Bicycle (375).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[2, 5, 8]","[""Bicycle (330).jpg"", ""Bicycle (749).jpg"", ""Bicycle (375).jpg""]",747,9,9,10,submit,
