exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
5ceb3f07d6bd41c5bd699870a2380e51,captcha_pre,1,1,other,2026-03-11T14:40:35.006,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
5ceb3f07d6bd41c5bd699870a2380e51,captcha_pre,1,1,other,2026-03-11T14:40:35.039,2026-03-11T14:40:40.962,5.923,1,1,Click on the images containing bicycles.,"[""Bicycle (404).jpg"", ""Cross (39).jpg"", ""Bicycle (749).jpg"", ""Cross (120).jpg"", ""Bicycle (174).jpg"", ""Car (107).jpg"", ""Hydrant (103).jpg"", ""Bicycle (664).jpg"", ""Bus (22).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 4, 7]","[""Bicycle (404).jpg"", ""Bicycle (749).jpg"", ""Bicycle (174).jpg"", ""Bicycle (664).jpg""]",776,1,1,1,submit,
5ceb3f07d6bd41c5bd699870a2380e51,captcha_pre,1,1,other,2026-03-11T14:40:35.039,2026-03-11T14:40:40.973,5.934,1,,Click on the images containing bicycles.,[],[],[],[],776,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
5ceb3f07d6bd41c5bd699870a2380e51,q_pre_captcha,1,1,other,2026-03-11T14:40:40.984,2026-03-11T14:40:42.514,1.53,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_fun"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_difficulty"": ""4""}"
5ceb3f07d6bd41c5bd699870a2380e51,q_pre_idaq,1,1,other,2026-03-11T14:40:42.528,2026-03-11T14:40:44.973,2.445,,,,,,,,,,,,submit,"{""idaq_7"": ""5"", ""idaq_24"": ""5"", ""idaq_4"": ""5"", ""idaq_19"": ""5"", ""idaq_13"": ""5"", ""idaq_5"": ""5"", ""idaq_21"": ""5"", ""idaq_15"": ""5"", ""idaq_27"": ""5"", ""idaq_3"": ""5"", ""idaq_1"": ""5"", ""idaq_22"": ""5"", ""idaq_29"": ""5"", ""idaq_14"": ""5"", ""idaq_20"": ""5"", ""idaq_17"": ""5"", ""idaq_16"": ""5"", ""idaq_28"": ""5"", ""idaq_11"": ""5"", ""idaq_26"": ""5"", ""idaq_18"": ""5"", ""idaq_8"": ""5"", ""idaq_9"": ""5"", ""idaq_12"": ""5"", ""idaq_10"": ""5"", ""idaq_6"": ""5"", ""idaq_25"": ""5"", ""idaq_30"": ""5"", ""idaq_2"": ""5"", ""idaq_23"": ""5""}"
5ceb3f07d6bd41c5bd699870a2380e51,q_pre_2050,1,1,other,2026-03-11T14:40:44.989,2026-03-11T14:40:46.669,1.68,,,,,,,,,,,,submit,"{""2050_rights"": ""5"", ""2050_crime"": ""5"", ""2050_hiking"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_police"": ""5"", ""2050_nursing_home"": ""5"", ""2050_other_worlds"": ""5"", ""2050_art"": ""5"", ""2050_experiments"": ""5"", ""2050_shelters"": ""5"", ""2050_mannequins"": ""5"", ""2050_sports"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_school"": ""5""}"
5ceb3f07d6bd41c5bd699870a2380e51,q_post_gators,1,1,other,2026-03-11T14:40:49.271,2026-03-11T14:40:51.425,2.154,,,,,,,,,,,,submit,"{""gators_15"": ""4"", ""gators_20"": ""4"", ""gators_4"": ""4"", ""gators_17"": ""4"", ""gators_9"": ""4"", ""gators_13"": ""4"", ""gators_12"": ""4"", ""gators_5"": ""4"", ""gators_19"": ""4"", ""gators_14"": ""4"", ""gators_2"": ""4"", ""gators_10"": ""4"", ""gators_7"": ""4"", ""gators_18"": ""4"", ""gators_1"": ""4"", ""gators_8"": ""4"", ""gators_16"": ""4"", ""gators_3"": ""4"", ""gators_6"": ""4"", ""gators_11"": ""4""}"
5ceb3f07d6bd41c5bd699870a2380e51,q_post_specific,1,1,other,2026-03-11T14:40:51.441,2026-03-11T14:40:53.138,1.697,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""robot_friendliness"": ""4"", ""conversation_interestingness"": ""4""}"
5ceb3f07d6bd41c5bd699870a2380e51,captcha_post,1,1,other,2026-03-11T14:40:53.181,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
5ceb3f07d6bd41c5bd699870a2380e51,captcha_post,1,1,other,2026-03-11T14:40:53.209,2026-03-11T14:41:32.819,39.61,1,,Click on the images containing bicycles.,"[""Tlight (52).jpg"", ""Car (66).jpg"", ""Bicycle (595).jpg"", ""Tlight (115).jpg"", ""Palm (111).jpg"", ""Bicycle (372).jpg"", ""Palm (118).jpg"", ""Bicycle (429).jpg"", ""Hydrant (97).jpg""]","[""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]",[],[],777,0,0,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
5ceb3f07d6bd41c5bd699870a2380e51,captcha_post,1,1,other,2026-03-11T14:40:53.209,2026-03-11T14:41:32.824,39.615,1,,Click on the images containing bicycles.,[],[],[],[],777,0,0,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
