exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
c15774f386904e6dbb338ff0420cc0f0,captcha_pre,1,1,other,2026-03-11T14:55:27.779,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
c15774f386904e6dbb338ff0420cc0f0,captcha_pre,1,1,other,2026-03-11T14:55:27.816,2026-03-11T14:55:38.367,10.551,1,1,Click on the images containing bicycles.,"[""Tlight (69).jpg"", ""Bicycle (756).jpg"", ""Bicycle (111).jpg"", ""Bus (26).jpg"", ""Bicycle (632).jpg"", ""Palm (13).jpg"", ""Bicycle (612).jpg"", ""Bicycle (46).jpg"", ""Palm (5).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[1, 2, 4, 6, 7]","[""Bicycle (756).jpg"", ""Bicycle (111).jpg"", ""Bicycle (632).jpg"", ""Bicycle (612).jpg"", ""Bicycle (46).jpg""]",775,1,1,1,submit,
c15774f386904e6dbb338ff0420cc0f0,captcha_pre,1,1,other,2026-03-11T14:55:27.816,2026-03-11T14:55:38.378,10.562,1,,Click on the images containing bicycles.,[],[],[],[],775,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
c15774f386904e6dbb338ff0420cc0f0,q_pre_captcha,1,1,other,2026-03-11T14:55:38.390,2026-03-11T14:55:39.934,1.544,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4""}"
c15774f386904e6dbb338ff0420cc0f0,q_pre_idaq,1,1,other,2026-03-11T14:55:39.950,2026-03-11T14:55:41.750,1.8,,,,,,,,,,,,submit,"{""idaq_4"": ""5"", ""idaq_28"": ""5"", ""idaq_10"": ""5"", ""idaq_18"": ""5"", ""idaq_27"": ""5"", ""idaq_3"": ""5"", ""idaq_12"": ""5"", ""idaq_9"": ""5"", ""idaq_22"": ""5"", ""idaq_29"": ""5"", ""idaq_11"": ""5"", ""idaq_16"": ""5"", ""idaq_23"": ""5"", ""idaq_19"": ""5"", ""idaq_21"": ""5"", ""idaq_14"": ""5"", ""idaq_25"": ""5"", ""idaq_15"": ""5"", ""idaq_7"": ""5"", ""idaq_6"": ""5"", ""idaq_2"": ""5"", ""idaq_30"": ""5"", ""idaq_26"": ""5"", ""idaq_5"": ""5"", ""idaq_24"": ""5"", ""idaq_13"": ""5"", ""idaq_20"": ""5"", ""idaq_17"": ""5"", ""idaq_8"": ""5"", ""idaq_1"": ""5""}"
c15774f386904e6dbb338ff0420cc0f0,q_pre_2050,1,1,other,2026-03-11T14:55:41.769,2026-03-11T14:55:43.123,1.354,,,,,,,,,,,,submit,"{""2050_experiments"": ""5"", ""2050_police"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_school"": ""5"", ""2050_crime"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_mannequins"": ""5"", ""2050_nursing_home"": ""5"", ""2050_rights"": ""5"", ""2050_hiking"": ""5"", ""2050_sports"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_art"": ""5"", ""2050_other_worlds"": ""5"", ""2050_shelters"": ""5""}"
c15774f386904e6dbb338ff0420cc0f0,q_post_gators,1,1,other,2026-03-11T14:55:43.132,2026-03-11T14:55:44.688,1.556,,,,,,,,,,,,submit,"{""gators_7"": ""4"", ""gators_2"": ""4"", ""gators_10"": ""4"", ""gators_6"": ""4"", ""gators_20"": ""4"", ""gators_13"": ""4"", ""gators_14"": ""4"", ""gators_5"": ""4"", ""gators_12"": ""4"", ""gators_19"": ""4"", ""gators_15"": ""4"", ""gators_16"": ""4"", ""gators_9"": ""4"", ""gators_8"": ""4"", ""gators_18"": ""4"", ""gators_11"": ""4"", ""gators_17"": ""4"", ""gators_4"": ""4"", ""gators_1"": ""4"", ""gators_3"": ""4""}"
c15774f386904e6dbb338ff0420cc0f0,q_post_specific,1,1,other,2026-03-11T14:55:44.703,2026-03-11T14:55:45.768,1.065,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""4"", ""robot_likeability"": ""4""}"
c15774f386904e6dbb338ff0420cc0f0,captcha_post,1,1,other,2026-03-11T14:55:45.812,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
c15774f386904e6dbb338ff0420cc0f0,captcha_post,1,1,other,2026-03-11T14:55:45.843,2026-03-11T14:56:30.717,44.874,1,1,Click on the images containing bicycles.,"[""Bicycle (105).jpg"", ""Car (105).jpg"", ""Car (76).jpg"", ""Bicycle (553).jpg"", ""Stair (973).jpg"", ""Stair (672).jpg"", ""Bicycle (40).jpg"", ""Bicycle (361).jpg"", ""Tlight (42).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 6, 7]","[""Bicycle (105).jpg"", ""Bicycle (553).jpg"", ""Bicycle (40).jpg"", ""Bicycle (361).jpg""]",776,1,1,1000,submit,
