exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6db74fb84d9b4075bb1119ed20f1accb,captcha_pre,1,1,male,2026-03-11T14:58:05.783,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
6db74fb84d9b4075bb1119ed20f1accb,captcha_pre,1,1,male,2026-03-11T14:58:05.825,2026-03-11T14:58:17.432,11.607,1,1,Click on the images containing bicycles.,"[""Bicycle (605).jpg"", ""Tlight (47).jpg"", ""Bicycle (590).jpg"", ""Car (52).jpg"", ""Bicycle (225).jpg"", ""Tlight (97).jpg"", ""Bicycle (748).jpg"", ""Palm (78).jpg"", ""Bicycle (697).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 4, 6, 8]","[""Bicycle (605).jpg"", ""Bicycle (590).jpg"", ""Bicycle (225).jpg"", ""Bicycle (748).jpg"", ""Bicycle (697).jpg""]",775,1,1,1,submit,
6db74fb84d9b4075bb1119ed20f1accb,captcha_pre,1,1,male,2026-03-11T14:58:05.825,2026-03-11T14:58:17.442,11.617,1,,Click on the images containing bicycles.,[],[],[],[],775,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
6db74fb84d9b4075bb1119ed20f1accb,q_pre_captcha,1,1,male,2026-03-11T14:58:17.455,2026-03-11T14:58:19.110,1.655,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_fun"": ""4""}"
6db74fb84d9b4075bb1119ed20f1accb,q_pre_idaq,1,1,male,2026-03-11T14:58:19.125,2026-03-11T14:58:21.741,2.616,,,,,,,,,,,,submit,"{""idaq_9"": ""5"", ""idaq_2"": ""5"", ""idaq_24"": ""5"", ""idaq_16"": ""5"", ""idaq_15"": ""5"", ""idaq_22"": ""5"", ""idaq_18"": ""5"", ""idaq_3"": ""5"", ""idaq_30"": ""5"", ""idaq_4"": ""5"", ""idaq_21"": ""5"", ""idaq_8"": ""5"", ""idaq_29"": ""5"", ""idaq_19"": ""5"", ""idaq_17"": ""5"", ""idaq_27"": ""5"", ""idaq_5"": ""5"", ""idaq_12"": ""5"", ""idaq_14"": ""5"", ""idaq_11"": ""5"", ""idaq_6"": ""5"", ""idaq_13"": ""5"", ""idaq_1"": ""5"", ""idaq_7"": ""5"", ""idaq_28"": ""5"", ""idaq_20"": ""5"", ""idaq_25"": ""5"", ""idaq_23"": ""5"", ""idaq_10"": ""5"", ""idaq_26"": ""5""}"
6db74fb84d9b4075bb1119ed20f1accb,q_pre_2050,1,1,male,2026-03-11T14:58:21.757,2026-03-11T14:59:06.864,45.107,,,,,,,,,,,,submit,"{""2050_rubbish_collectors"": ""5"", ""2050_school"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_police"": ""5"", ""2050_mannequins"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_nursing_home"": ""5"", ""2050_other_worlds"": ""5"", ""2050_hiking"": ""5"", ""2050_art"": ""5"", ""2050_shelters"": ""5"", ""2050_sports"": ""5"", ""2050_experiments"": ""5"", ""2050_crime"": ""5"", ""2050_rights"": ""5""}"
6db74fb84d9b4075bb1119ed20f1accb,q_post_gators,1,1,male,2026-03-11T14:59:06.880,2026-03-11T14:59:09.752,2.872,,,,,,,,,,,,submit,"{""gators_18"": ""4"", ""gators_6"": ""4"", ""gators_9"": ""4"", ""gators_5"": ""4"", ""gators_1"": ""4"", ""gators_12"": ""4"", ""gators_4"": ""4"", ""gators_14"": ""4"", ""gators_7"": ""4"", ""gators_15"": ""4"", ""gators_16"": ""4"", ""gators_17"": ""4"", ""gators_2"": ""4"", ""gators_8"": ""4"", ""gators_19"": ""4"", ""gators_13"": ""4"", ""gators_10"": ""4"", ""gators_11"": ""4"", ""gators_3"": ""4"", ""gators_20"": ""4""}"
6db74fb84d9b4075bb1119ed20f1accb,q_post_specific,1,1,male,2026-03-11T14:59:09.768,2026-03-11T14:59:12.125,2.357,,,,,,,,,,,,submit,"{""robot_likeability"": ""4"", ""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4""}"
6db74fb84d9b4075bb1119ed20f1accb,captcha_post,1,1,male,2026-03-11T14:59:12.168,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
6db74fb84d9b4075bb1119ed20f1accb,captcha_post,1,1,male,2026-03-11T14:59:12.198,2026-03-11T15:00:23.401,71.203,1,1,Click on the images containing bicycles.,"[""Tlight (73).jpg"", ""Stair (874).jpg"", ""Chimney (18).jpg"", ""Hydrant (58).jpg"", ""Palm (62).jpg"", ""Bicycle (407).jpg"", ""Bridge (47).jpg"", ""Bicycle (615).jpg"", ""Bicycle (126).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T""]","[5, 7, 8]","[""Bicycle (407).jpg"", ""Bicycle (615).jpg"", ""Bicycle (126).jpg""]",777,1,1,1000,submit,
