exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
5b2023c388c549059f34bd8412ac406b,captcha_pre,1,1,female,2026-03-11T15:10:57.862,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
5b2023c388c549059f34bd8412ac406b,captcha_pre,1,1,female,2026-03-11T15:10:57.890,2026-03-11T15:11:07.230,9.34,1,0,Click on the images containing bicycles.,"[""Bridge (94).jpg"", ""Chimney (42).jpg"", ""Bridge (107).jpg"", ""Bridge (129).jpg"", ""Bicycle (316).jpg"", ""Bicycle (599).jpg"", ""Bicycle (549).jpg"", ""Bicycle (107).jpg"", ""Bicycle (708).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""T""]","[4, 5, 6, 8]","[""Bicycle (316).jpg"", ""Bicycle (599).jpg"", ""Bicycle (549).jpg"", ""Bicycle (708).jpg""]",775,1,0,1,submit,
5b2023c388c549059f34bd8412ac406b,captcha_pre,1,1,female,2026-03-11T15:11:09.241,2026-03-11T15:11:17.480,8.239,2,1,Click on the images containing bicycles.,"[""Palm (117).jpg"", ""Tlight (56).jpg"", ""Tlight (93).jpg"", ""Tlight (59).jpg"", ""Bicycle (305).jpg"", ""Bicycle (403).jpg"", ""Stair (1349).jpg"", ""Car (115).jpg"", ""Bicycle (571).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[4, 5, 8]","[""Bicycle (305).jpg"", ""Bicycle (403).jpg"", ""Bicycle (571).jpg""]",772,2,1,1,submit,
5b2023c388c549059f34bd8412ac406b,captcha_pre,1,1,female,2026-03-11T15:11:09.241,2026-03-11T15:11:17.493,8.252,2,,Click on the images containing bicycles.,[],[],[],[],772,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
5b2023c388c549059f34bd8412ac406b,q_pre_captcha,1,1,female,2026-03-11T15:11:17.509,2026-03-11T15:11:19.948,2.439,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""4""}"
5b2023c388c549059f34bd8412ac406b,q_pre_idaq,1,1,female,2026-03-11T15:11:19.966,2026-03-11T15:11:21.630,1.664,,,,,,,,,,,,submit,"{""idaq_24"": ""5"", ""idaq_1"": ""5"", ""idaq_14"": ""5"", ""idaq_17"": ""5"", ""idaq_11"": ""5"", ""idaq_9"": ""5"", ""idaq_4"": ""5"", ""idaq_10"": ""5"", ""idaq_13"": ""5"", ""idaq_23"": ""5"", ""idaq_16"": ""5"", ""idaq_7"": ""5"", ""idaq_6"": ""5"", ""idaq_2"": ""5"", ""idaq_21"": ""5"", ""idaq_19"": ""5"", ""idaq_25"": ""5"", ""idaq_30"": ""5"", ""idaq_20"": ""5"", ""idaq_3"": ""5"", ""idaq_5"": ""5"", ""idaq_28"": ""5"", ""idaq_27"": ""5"", ""idaq_29"": ""5"", ""idaq_18"": ""5"", ""idaq_12"": ""5"", ""idaq_15"": ""5"", ""idaq_22"": ""5"", ""idaq_8"": ""5"", ""idaq_26"": ""5""}"
5b2023c388c549059f34bd8412ac406b,q_pre_2050,1,1,female,2026-03-11T15:11:21.638,2026-03-11T15:11:22.995,1.357,,,,,,,,,,,,submit,"{""2050_flight_attendants"": ""5"", ""2050_art"": ""5"", ""2050_crime"": ""5"", ""2050_sports"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_mannequins"": ""5"", ""2050_hiking"": ""5"", ""2050_rights"": ""5"", ""2050_other_worlds"": ""5"", ""2050_school"": ""5"", ""2050_shelters"": ""5"", ""2050_experiments"": ""5"", ""2050_police"": ""5"", ""2050_nursing_home"": ""5"", ""2050_rubbish_collectors"": ""5""}"
5b2023c388c549059f34bd8412ac406b,q_post_gators,1,1,female,2026-03-11T15:11:23.017,2026-03-11T15:11:24.333,1.316,,,,,,,,,,,,submit,"{""gators_3"": ""4"", ""gators_11"": ""4"", ""gators_6"": ""4"", ""gators_7"": ""4"", ""gators_18"": ""4"", ""gators_12"": ""4"", ""gators_5"": ""4"", ""gators_17"": ""4"", ""gators_20"": ""4"", ""gators_4"": ""4"", ""gators_1"": ""4"", ""gators_10"": ""4"", ""gators_19"": ""4"", ""gators_13"": ""4"", ""gators_16"": ""4"", ""gators_2"": ""4"", ""gators_9"": ""4"", ""gators_15"": ""4"", ""gators_8"": ""4"", ""gators_14"": ""4""}"
5b2023c388c549059f34bd8412ac406b,q_post_specific,1,1,female,2026-03-11T15:11:24.351,2026-03-11T15:11:25.681,1.33,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4"", ""robot_empathy"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_likeability"": ""4""}"
5b2023c388c549059f34bd8412ac406b,captcha_post,1,1,female,2026-03-11T15:11:25.734,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
