exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
05c6edae944447e0914566d2d0b93746,captcha_pre,1,1,female,2026-03-11T15:15:16.381,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
05c6edae944447e0914566d2d0b93746,captcha_pre,1,1,female,2026-03-11T15:15:16.419,2026-03-11T15:15:23.512,7.093,1,1,Click on the images containing bicycles.,"[""Bicycle (255).jpg"", ""Cross (84).jpg"", ""Tlight (97).jpg"", ""Bicycle (421).jpg"", ""Bicycle (208).jpg"", ""Bicycle (162).jpg"", ""Bridge (116).jpg"", ""Bus (78).jpg"", ""Bicycle (761).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 4, 5, 8]","[""Bicycle (255).jpg"", ""Bicycle (421).jpg"", ""Bicycle (208).jpg"", ""Bicycle (162).jpg"", ""Bicycle (761).jpg""]",775,1,1,1,submit,
05c6edae944447e0914566d2d0b93746,captcha_pre,1,1,female,2026-03-11T15:15:16.419,2026-03-11T15:15:23.522,7.103,1,,Click on the images containing bicycles.,[],[],[],[],775,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
05c6edae944447e0914566d2d0b93746,q_pre_captcha,1,1,female,2026-03-11T15:15:23.536,2026-03-11T15:15:25.417,1.881,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_fun"": ""4""}"
05c6edae944447e0914566d2d0b93746,q_pre_idaq,1,1,female,2026-03-11T15:15:25.433,2026-03-11T15:15:27.744,2.311,,,,,,,,,,,,submit,"{""idaq_3"": ""5"", ""idaq_16"": ""5"", ""idaq_5"": ""5"", ""idaq_11"": ""5"", ""idaq_30"": ""5"", ""idaq_19"": ""5"", ""idaq_17"": ""5"", ""idaq_7"": ""5"", ""idaq_18"": ""5"", ""idaq_24"": ""5"", ""idaq_22"": ""5"", ""idaq_25"": ""5"", ""idaq_15"": ""5"", ""idaq_4"": ""5"", ""idaq_8"": ""5"", ""idaq_10"": ""5"", ""idaq_13"": ""5"", ""idaq_20"": ""5"", ""idaq_23"": ""5"", ""idaq_14"": ""5"", ""idaq_12"": ""5"", ""idaq_1"": ""5"", ""idaq_26"": ""5"", ""idaq_29"": ""5"", ""idaq_6"": ""5"", ""idaq_27"": ""5"", ""idaq_21"": ""5"", ""idaq_9"": ""5"", ""idaq_2"": ""5"", ""idaq_28"": ""5""}"
05c6edae944447e0914566d2d0b93746,q_pre_2050,1,1,female,2026-03-11T15:15:27.757,2026-03-11T15:15:28.916,1.159,,,,,,,,,,,,submit,"{""2050_crime"": ""5"", ""2050_mannequins"": ""5"", ""2050_nursing_home"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_shelters"": ""5"", ""2050_police"": ""5"", ""2050_other_worlds"": ""5"", ""2050_art"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_hiking"": ""5"", ""2050_experiments"": ""5"", ""2050_sports"": ""5"", ""2050_rights"": ""5"", ""2050_school"": ""5""}"
05c6edae944447e0914566d2d0b93746,q_post_gators,1,1,female,2026-03-11T15:15:28.932,2026-03-11T15:15:30.378,1.446,,,,,,,,,,,,submit,"{""gators_11"": ""4"", ""gators_4"": ""4"", ""gators_5"": ""4"", ""gators_20"": ""4"", ""gators_14"": ""4"", ""gators_17"": ""4"", ""gators_13"": ""4"", ""gators_1"": ""4"", ""gators_12"": ""4"", ""gators_2"": ""4"", ""gators_19"": ""4"", ""gators_18"": ""4"", ""gators_7"": ""4"", ""gators_9"": ""4"", ""gators_16"": ""4"", ""gators_3"": ""4"", ""gators_8"": ""4"", ""gators_6"": ""4"", ""gators_10"": ""4"", ""gators_15"": ""4""}"
05c6edae944447e0914566d2d0b93746,q_post_specific,1,1,female,2026-03-11T15:15:30.397,2026-03-11T15:15:31.590,1.193,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""robot_friendliness"": ""4""}"
05c6edae944447e0914566d2d0b93746,captcha_post,1,1,female,2026-03-11T15:15:31.644,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
05c6edae944447e0914566d2d0b93746,captcha_post,1,1,female,2026-03-11T15:15:31.674,2026-03-11T15:16:01.759,30.085,1,1,Click on the images containing bicycles.,"[""Bicycle (240).jpg"", ""Bicycle (543).jpg"", ""Stair (68).jpg"", ""Chimney (101).jpg"", ""Bicycle (15).jpg"", ""Cross (11).jpg"", ""Tlight (136).jpg"", ""Bicycle (441).jpg"", ""Hydrant (113).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 4, 7]","[""Bicycle (240).jpg"", ""Bicycle (543).jpg"", ""Bicycle (15).jpg"", ""Bicycle (441).jpg""]",776,1,1,1000,submit,
