exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
e2c17d1b70ef433b84d7ef5c7e46f540,captcha_pre,1,1,female,2026-03-11T15:31:06.528,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
e2c17d1b70ef433b84d7ef5c7e46f540,captcha_pre,1,1,female,2026-03-11T15:31:06.556,2026-03-11T15:31:18.663,12.107,1,1,Click on the images containing bicycles.,"[""Hydrant (110).jpg"", ""Cross (45).jpg"", ""Palm (14).jpg"", ""Bicycle (51).jpg"", ""Chimney (2).jpg"", ""Bicycle (638).jpg"", ""Bicycle (772).jpg"", ""Bicycle (517).jpg"", ""Bicycle (443).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""T""]","[3, 5, 6, 7, 8]","[""Bicycle (51).jpg"", ""Bicycle (638).jpg"", ""Bicycle (772).jpg"", ""Bicycle (517).jpg"", ""Bicycle (443).jpg""]",775,1,1,1,submit,
e2c17d1b70ef433b84d7ef5c7e46f540,captcha_pre,1,1,female,2026-03-11T15:31:06.556,2026-03-11T15:31:18.673,12.117,1,,Click on the images containing bicycles.,[],[],[],[],775,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
e2c17d1b70ef433b84d7ef5c7e46f540,q_pre_captcha,1,1,female,2026-03-11T15:31:18.686,2026-03-11T15:31:20.059,1.373,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""4""}"
e2c17d1b70ef433b84d7ef5c7e46f540,q_pre_idaq,1,1,female,2026-03-11T15:31:20.076,2026-03-11T15:31:21.943,1.867,,,,,,,,,,,,submit,"{""idaq_1"": ""5"", ""idaq_27"": ""5"", ""idaq_9"": ""5"", ""idaq_8"": ""5"", ""idaq_25"": ""5"", ""idaq_16"": ""5"", ""idaq_18"": ""5"", ""idaq_19"": ""5"", ""idaq_12"": ""5"", ""idaq_24"": ""5"", ""idaq_23"": ""5"", ""idaq_6"": ""5"", ""idaq_5"": ""5"", ""idaq_2"": ""5"", ""idaq_3"": ""5"", ""idaq_22"": ""5"", ""idaq_29"": ""5"", ""idaq_20"": ""5"", ""idaq_15"": ""5"", ""idaq_13"": ""5"", ""idaq_30"": ""5"", ""idaq_7"": ""5"", ""idaq_17"": ""5"", ""idaq_21"": ""5"", ""idaq_11"": ""5"", ""idaq_10"": ""5"", ""idaq_14"": ""5"", ""idaq_4"": ""5"", ""idaq_28"": ""5"", ""idaq_26"": ""5""}"
e2c17d1b70ef433b84d7ef5c7e46f540,q_pre_2050,1,1,female,2026-03-11T15:31:21.958,2026-03-11T15:31:23.642,1.684,,,,,,,,,,,,submit,"{""2050_rights"": ""5"", ""2050_mannequins"": ""5"", ""2050_school"": ""5"", ""2050_police"": ""5"", ""2050_hiking"": ""5"", ""2050_art"": ""5"", ""2050_experiments"": ""5"", ""2050_crime"": ""5"", ""2050_nursing_home"": ""5"", ""2050_sports"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_other_worlds"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_shelters"": ""5""}"
e2c17d1b70ef433b84d7ef5c7e46f540,q_post_gators,1,1,female,2026-03-11T15:31:23.658,2026-03-11T15:31:25.153,1.495,,,,,,,,,,,,submit,"{""gators_13"": ""4"", ""gators_20"": ""4"", ""gators_11"": ""4"", ""gators_5"": ""4"", ""gators_19"": ""4"", ""gators_4"": ""4"", ""gators_16"": ""4"", ""gators_2"": ""4"", ""gators_18"": ""4"", ""gators_9"": ""4"", ""gators_12"": ""4"", ""gators_8"": ""4"", ""gators_15"": ""4"", ""gators_1"": ""4"", ""gators_6"": ""4"", ""gators_14"": ""4"", ""gators_10"": ""4"", ""gators_17"": ""4"", ""gators_3"": ""4"", ""gators_7"": ""4""}"
e2c17d1b70ef433b84d7ef5c7e46f540,q_post_specific,1,1,female,2026-03-11T15:31:25.165,2026-03-11T15:31:26.534,1.369,,,,,,,,,,,,submit,"{""robot_likeability"": ""4"", ""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_friendliness"": ""4""}"
e2c17d1b70ef433b84d7ef5c7e46f540,captcha_post,1,1,female,2026-03-11T15:31:26.580,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
e2c17d1b70ef433b84d7ef5c7e46f540,captcha_post,1,1,female,2026-03-11T15:31:26.604,2026-03-11T15:31:42.885,16.281,1,,Click on the images containing bicycles.,"[""Bicycle (488).jpg"", ""Bicycle (144).jpg"", ""Cross (118).jpg"", ""Bridge (140).jpg"", ""Bicycle (190).jpg"", ""Chimney (98).jpg"", ""Bridge (103).jpg"", ""Bicycle (226).jpg"", ""Car (39).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D""]",[],[],776,0,0,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
