exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
9a84103a18fa4b7fb649f54211ad3ee2,captcha_pre,1,1,female,2026-03-12T15:09:04.099,,,0,,Click on the images containing bicycles.,,,,,10,0,0,1,enter,
9a84103a18fa4b7fb649f54211ad3ee2,captcha_pre,1,1,female,2026-03-12T15:09:04.139,2026-03-12T15:09:14.510,10.371,1,1,Click on the images containing bicycles.,"[""Bicycle (10).jpg"", ""Chimney (128).jpg"", ""Hydrant (140).jpg"", ""Bicycle (6).jpg"", ""Bicycle (9).jpg"", ""Car (23).jpg"", ""Tlight (2).jpg"", ""Car (21).jpg"", ""Hydrant (139).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 3, 4]","[""Bicycle (10).jpg"", ""Bicycle (6).jpg"", ""Bicycle (9).jpg""]",7,1,1,1,submit,
9a84103a18fa4b7fb649f54211ad3ee2,captcha_pre,1,1,female,2026-03-12T15:09:04.139,2026-03-12T15:09:14.520,10.381,1,,Click on the images containing bicycles.,[],[],[],[],7,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
9a84103a18fa4b7fb649f54211ad3ee2,q_pre_captcha,1,1,female,2026-03-12T15:09:14.532,2026-03-12T15:09:16.559,2.027,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""4"", ""captcha_task_fun"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_difficulty"": ""4"", ""captcha_task_meaningfulness"": ""4""}"
9a84103a18fa4b7fb649f54211ad3ee2,q_pre_idaq,1,1,female,2026-03-12T15:09:16.574,2026-03-12T15:09:19.214,2.64,,,,,,,,,,,,submit,"{""idaq_28"": ""5"", ""idaq_16"": ""5"", ""idaq_6"": ""5"", ""idaq_7"": ""5"", ""idaq_29"": ""5"", ""idaq_1"": ""5"", ""idaq_30"": ""5"", ""idaq_10"": ""5"", ""idaq_4"": ""5"", ""idaq_19"": ""5"", ""idaq_14"": ""5"", ""idaq_25"": ""5"", ""idaq_18"": ""5"", ""idaq_11"": ""5"", ""idaq_8"": ""5"", ""idaq_26"": ""5"", ""idaq_23"": ""5"", ""idaq_17"": ""5"", ""idaq_24"": ""5"", ""idaq_12"": ""5"", ""idaq_20"": ""5"", ""idaq_22"": ""5"", ""idaq_3"": ""5"", ""idaq_21"": ""5"", ""idaq_15"": ""5"", ""idaq_9"": ""5"", ""idaq_2"": ""5"", ""idaq_5"": ""5"", ""idaq_13"": ""5"", ""idaq_27"": ""5""}"
9a84103a18fa4b7fb649f54211ad3ee2,q_pre_2050,1,1,female,2026-03-12T15:09:19.231,2026-03-12T15:09:20.392,1.161,,,,,,,,,,,,submit,"{""2050_other_worlds"": ""5"", ""2050_experiments"": ""5"", ""2050_shelters"": ""5"", ""2050_police"": ""5"", ""2050_art"": ""5"", ""2050_crime"": ""5"", ""2050_nursing_home"": ""5"", ""2050_sports"": ""5"", ""2050_mannequins"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_hiking"": ""5"", ""2050_school"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_rights"": ""5""}"
9a84103a18fa4b7fb649f54211ad3ee2,q_post_gators,1,1,female,2026-03-12T15:09:20.408,2026-03-12T15:09:21.947,1.539,,,,,,,,,,,,submit,"{""gators_10"": ""4"", ""gators_2"": ""4"", ""gators_16"": ""4"", ""gators_3"": ""4"", ""gators_15"": ""4"", ""gators_18"": ""4"", ""gators_14"": ""4"", ""gators_5"": ""4"", ""gators_20"": ""4"", ""gators_4"": ""4"", ""gators_1"": ""4"", ""gators_9"": ""4"", ""gators_11"": ""4"", ""gators_12"": ""4"", ""gators_8"": ""4"", ""gators_17"": ""4"", ""gators_7"": ""4"", ""gators_6"": ""4"", ""gators_13"": ""4"", ""gators_19"": ""4""}"
9a84103a18fa4b7fb649f54211ad3ee2,q_post_specific,1,1,female,2026-03-12T15:09:21.962,2026-03-12T15:09:23.197,1.235,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""4"", ""robot_likeability"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4""}"
9a84103a18fa4b7fb649f54211ad3ee2,captcha_post,1,1,female,2026-03-12T15:09:23.218,,,0,,Click on the images containing bicycles.,,,,,10,0,0,1000,enter,
9a84103a18fa4b7fb649f54211ad3ee2,captcha_post,1,1,female,2026-03-12T15:09:23.241,2026-03-12T15:10:28.524,65.283,1,1,Click on the images containing bicycles.,"[""Bicycle (7).jpg"", ""Bicycle (5).jpg"", ""Car (21).jpg"", ""Tlight (3).jpg"", ""Bicycle (4).jpg"", ""Bridge (21).jpg"", ""Palm (2).jpg"", ""Bus (138).jpg"", ""Bicycle (6).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 4, 8]","[""Bicycle (7).jpg"", ""Bicycle (5).jpg"", ""Bicycle (4).jpg"", ""Bicycle (6).jpg""]",6,1,1,1000,submit,
