exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
dc84502b05d641ab93a1386e5efe509f,captcha_pre,1,1,female,2026-03-12T17:21:05.894,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
dc84502b05d641ab93a1386e5efe509f,captcha_pre,1,1,female,2026-03-12T17:21:05.918,2026-03-12T17:21:25.379,19.461,1,1,Click on the images containing bicycles.,"[""Hydrant (106).jpg"", ""Bicycle (686).jpg"", ""Hydrant (108).jpg"", ""Bicycle (176).jpg"", ""Bus (86).jpg"", ""Bicycle (729).jpg"", ""Palm (96).jpg"", ""Chimney (96).jpg"", ""Hydrant (136).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 5]","[""Bicycle (686).jpg"", ""Bicycle (176).jpg"", ""Bicycle (729).jpg""]",777,1,1,1,submit,
dc84502b05d641ab93a1386e5efe509f,captcha_pre,1,1,female,2026-03-12T17:21:05.918,2026-03-12T17:21:25.392,19.474,1,,Click on the images containing bicycles.,[],[],[],[],777,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
dc84502b05d641ab93a1386e5efe509f,q_pre_captcha,1,1,female,2026-03-12T17:21:25.405,2026-03-12T17:21:26.814,1.409,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4""}"
dc84502b05d641ab93a1386e5efe509f,q_pre_idaq,1,1,female,2026-03-12T17:21:26.829,2026-03-12T17:21:28.489,1.66,,,,,,,,,,,,submit,"{""idaq_14"": ""5"", ""idaq_22"": ""5"", ""idaq_28"": ""5"", ""idaq_15"": ""5"", ""idaq_16"": ""5"", ""idaq_6"": ""5"", ""idaq_7"": ""5"", ""idaq_17"": ""5"", ""idaq_5"": ""5"", ""idaq_27"": ""5"", ""idaq_4"": ""5"", ""idaq_2"": ""5"", ""idaq_21"": ""5"", ""idaq_12"": ""5"", ""idaq_23"": ""5"", ""idaq_20"": ""5"", ""idaq_24"": ""5"", ""idaq_30"": ""5"", ""idaq_11"": ""5"", ""idaq_3"": ""5"", ""idaq_29"": ""5"", ""idaq_10"": ""5"", ""idaq_25"": ""5"", ""idaq_8"": ""5"", ""idaq_26"": ""5"", ""idaq_13"": ""5"", ""idaq_18"": ""5"", ""idaq_19"": ""5"", ""idaq_1"": ""5"", ""idaq_9"": ""5""}"
dc84502b05d641ab93a1386e5efe509f,q_pre_2050,1,1,female,2026-03-12T17:21:28.515,2026-03-12T17:21:30.260,1.745,,,,,,,,,,,,submit,"{""2050_rubbish_collectors"": ""5"", ""2050_sports"": ""5"", ""2050_police"": ""5"", ""2050_rights"": ""5"", ""2050_art"": ""5"", ""2050_other_worlds"": ""5"", ""2050_crime"": ""5"", ""2050_experiments"": ""5"", ""2050_hiking"": ""5"", ""2050_nursing_home"": ""5"", ""2050_school"": ""5"", ""2050_shelters"": ""5"", ""2050_mannequins"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_neurosurgery"": ""5""}"
dc84502b05d641ab93a1386e5efe509f,q_post_gators,1,1,female,2026-03-12T17:21:42.192,2026-03-12T17:22:01.059,18.867,,,,,,,,,,,,submit,"{""gators_5"": ""4"", ""gators_20"": ""4"", ""gators_15"": ""4"", ""gators_6"": ""4"", ""gators_12"": ""4"", ""gators_4"": ""4"", ""gators_13"": ""4"", ""gators_14"": ""4"", ""gators_2"": ""4"", ""gators_11"": ""4"", ""gators_17"": ""4"", ""gators_9"": ""4"", ""gators_18"": ""4"", ""gators_10"": ""4"", ""gators_3"": ""4"", ""gators_7"": ""4"", ""gators_1"": ""4"", ""gators_16"": ""4"", ""gators_8"": ""4"", ""gators_19"": ""4""}"
dc84502b05d641ab93a1386e5efe509f,q_post_specific,1,1,female,2026-03-12T17:22:01.070,2026-03-12T17:22:02.512,1.442,,,,,,,,,,,,submit,"{""robot_likeability"": ""4"", ""robot_friendliness"": ""4"", ""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4""}"
dc84502b05d641ab93a1386e5efe509f,captcha_post,1,1,female,2026-03-12T17:22:02.559,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
dc84502b05d641ab93a1386e5efe509f,captcha_post,1,1,female,2026-03-12T17:22:02.578,2026-03-12T17:22:23.649,21.071,1,1,Click on the images containing bicycles.,"[""Palm (73).jpg"", ""Car (97).jpg"", ""Bicycle (241).jpg"", ""Bicycle (669).jpg"", ""Bicycle (413).jpg"", ""Palm (94).jpg"", ""Hydrant (66).jpg"", ""Bridge (140).jpg"", ""Stair (1460).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D""]","[2, 3, 4]","[""Bicycle (241).jpg"", ""Bicycle (669).jpg"", ""Bicycle (413).jpg""]",777,1,1,1000,submit,
