exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
d28e939d919d41e0920395c9ae935754,captcha_pre,1,1,female,2026-03-12T17:38:18.114,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
d28e939d919d41e0920395c9ae935754,captcha_pre,1,1,female,2026-03-12T17:38:18.148,2026-03-12T17:38:24.956,6.808,1,1,Click on the images containing bicycles.,"[""Car (39).jpg"", ""Bicycle (173).jpg"", ""Palm (59).jpg"", ""Bicycle (751).jpg"", ""Hydrant (129).jpg"", ""Hydrant (90).jpg"", ""Bridge (137).jpg"", ""Bicycle (140).jpg"", ""Stair (1000).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 3, 7]","[""Bicycle (173).jpg"", ""Bicycle (751).jpg"", ""Bicycle (140).jpg""]",777,1,1,1,submit,
d28e939d919d41e0920395c9ae935754,captcha_pre,1,1,female,2026-03-12T17:38:18.148,2026-03-12T17:38:24.965,6.817,1,,Click on the images containing bicycles.,[],[],[],[],777,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
d28e939d919d41e0920395c9ae935754,q_pre_captcha,1,1,female,2026-03-12T17:38:24.981,2026-03-12T17:38:26.877,1.896,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_difficulty"": ""4""}"
d28e939d919d41e0920395c9ae935754,q_pre_idaq,1,1,female,2026-03-12T17:38:26.888,2026-03-12T17:38:28.780,1.892,,,,,,,,,,,,submit,"{""idaq_17"": ""5"", ""idaq_13"": ""5"", ""idaq_1"": ""5"", ""idaq_11"": ""5"", ""idaq_7"": ""5"", ""idaq_28"": ""5"", ""idaq_2"": ""5"", ""idaq_26"": ""5"", ""idaq_24"": ""5"", ""idaq_23"": ""5"", ""idaq_19"": ""5"", ""idaq_22"": ""5"", ""idaq_5"": ""5"", ""idaq_21"": ""5"", ""idaq_14"": ""5"", ""idaq_18"": ""5"", ""idaq_15"": ""5"", ""idaq_12"": ""5"", ""idaq_25"": ""5"", ""idaq_3"": ""5"", ""idaq_6"": ""5"", ""idaq_4"": ""5"", ""idaq_8"": ""5"", ""idaq_16"": ""5"", ""idaq_9"": ""5"", ""idaq_30"": ""5"", ""idaq_10"": ""5"", ""idaq_20"": ""5"", ""idaq_27"": ""5"", ""idaq_29"": ""5""}"
d28e939d919d41e0920395c9ae935754,q_pre_2050,1,1,female,2026-03-12T17:38:28.800,2026-03-12T17:38:29.999,1.199,,,,,,,,,,,,submit,"{""2050_mannequins"": ""5"", ""2050_rights"": ""5"", ""2050_sports"": ""5"", ""2050_crime"": ""5"", ""2050_art"": ""5"", ""2050_hiking"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_school"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_police"": ""5"", ""2050_nursing_home"": ""5"", ""2050_shelters"": ""5"", ""2050_experiments"": ""5"", ""2050_other_worlds"": ""5"", ""2050_rubbish_collectors"": ""5""}"
d28e939d919d41e0920395c9ae935754,q_post_gators,1,1,female,2026-03-12T17:38:30.018,2026-03-12T17:38:31.560,1.542,,,,,,,,,,,,submit,"{""gators_5"": ""4"", ""gators_12"": ""4"", ""gators_4"": ""4"", ""gators_2"": ""4"", ""gators_14"": ""4"", ""gators_9"": ""4"", ""gators_6"": ""4"", ""gators_19"": ""4"", ""gators_8"": ""4"", ""gators_13"": ""4"", ""gators_3"": ""4"", ""gators_15"": ""4"", ""gators_1"": ""4"", ""gators_11"": ""4"", ""gators_17"": ""4"", ""gators_18"": ""4"", ""gators_10"": ""4"", ""gators_20"": ""4"", ""gators_16"": ""4"", ""gators_7"": ""4""}"
d28e939d919d41e0920395c9ae935754,q_post_specific,1,1,female,2026-03-12T17:38:31.571,2026-03-12T17:38:32.823,1.252,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""conversation_interestingness"": ""4"", ""robot_likeability"": ""4"", ""robot_friendliness"": ""4"", ""robot_empathy"": ""4""}"
d28e939d919d41e0920395c9ae935754,captcha_post,1,1,female,2026-03-12T17:38:32.871,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
d28e939d919d41e0920395c9ae935754,captcha_post,1,1,female,2026-03-12T17:38:32.895,2026-03-12T17:39:00.467,27.572,1,1,Click on the images containing bicycles.,"[""Bicycle (9).jpg"", ""Stair (840).jpg"", ""Bus (54).jpg"", ""Bicycle (330).jpg"", ""Bicycle (366).jpg"", ""Tlight (78).jpg"", ""Bus (87).jpg"", ""Bicycle (268).jpg"", ""Bicycle (370).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 4, 7, 8]","[""Bicycle (9).jpg"", ""Bicycle (330).jpg"", ""Bicycle (366).jpg"", ""Bicycle (268).jpg"", ""Bicycle (370).jpg""]",775,1,1,1000,submit,
