exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:48:47.204,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:49:57.071,2026-03-16T13:50:11.535,14.464,2,1,Click on the images containing bicycles.,"[""Stair (1237).jpg"", ""Cross (60).jpg"", ""Stair (748).jpg"", ""Tlight (115).jpg"", ""Bicycle (565).jpg"", ""Bicycle (270).jpg"", ""Hydrant (33).jpg"", ""Bicycle (365).jpg"", ""Bridge (95).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (565).jpg"", ""Bicycle (270).jpg"", ""Bicycle (365).jpg""]",774,1,1,10,submit,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:50:11.539,2026-03-16T13:50:22.287,10.748,3,1,Click on the images containing bicycles.,"[""Bus (113).jpg"", ""Bicycle (358).jpg"", ""Bicycle (342).jpg"", ""Bicycle (712).jpg"", ""Stair (989).jpg"", ""Stair (1138).jpg"", ""Cross (85).jpg"", ""Cross (75).jpg"", ""Bicycle (602).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 3, 8]","[""Bicycle (358).jpg"", ""Bicycle (342).jpg"", ""Bicycle (712).jpg"", ""Bicycle (602).jpg""]",770,2,2,10,submit,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:50:22.293,2026-03-16T13:50:34.454,12.161,4,0,Click on the images containing bicycles.,"[""Bicycle (382).jpg"", ""Cross (23).jpg"", ""Bicycle (346).jpg"", ""Bicycle (31).jpg"", ""Bridge (117).jpg"", ""Bus (48).jpg"", ""Bicycle (90).jpg"", ""Bridge (66).jpg"", ""Hydrant (50).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 2, 6]","[""Bicycle (382).jpg"", ""Bicycle (346).jpg"", ""Bicycle (90).jpg""]",766,3,2,10,submit,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:50:36.461,2026-03-16T13:50:48.504,12.043,5,1,Click on the images containing bicycles.,"[""Bicycle (543).jpg"", ""Hydrant (120).jpg"", ""Bicycle (261).jpg"", ""Cross (21).jpg"", ""Tlight (18).jpg"", ""Stair (1240).jpg"", ""Bicycle (762).jpg"", ""Bridge (68).jpg"", ""Bicycle (737).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 6, 8]","[""Bicycle (543).jpg"", ""Bicycle (261).jpg"", ""Bicycle (762).jpg"", ""Bicycle (737).jpg""]",762,4,3,10,submit,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:50:48.511,2026-03-16T13:50:55.566,7.055,6,1,Click on the images containing bicycles.,"[""Bicycle (19).jpg"", ""Bridge (125).jpg"", ""Palm (107).jpg"", ""Stair (1349).jpg"", ""Bicycle (96).jpg"", ""Bridge (102).jpg"", ""Bicycle (669).jpg"", ""Bicycle (573).jpg"", ""Cross (52).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 4, 6, 7]","[""Bicycle (19).jpg"", ""Bicycle (96).jpg"", ""Bicycle (669).jpg"", ""Bicycle (573).jpg""]",758,5,4,10,submit,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:50:55.572,2026-03-16T13:51:04.534,8.962,7,1,Click on the images containing bicycles.,"[""Bicycle (775).jpg"", ""Tlight (83).jpg"", ""Bicycle (240).jpg"", ""Bicycle (510).jpg"", ""Palm (97).jpg"", ""Palm (46).jpg"", ""Chimney (117).jpg"", ""Bicycle (332).jpg"", ""Tlight (101).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 2, 3, 7]","[""Bicycle (775).jpg"", ""Bicycle (240).jpg"", ""Bicycle (510).jpg"", ""Bicycle (332).jpg""]",754,6,5,10,submit,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:51:04.540,2026-03-16T13:51:11.404,6.864,8,1,Click on the images containing bicycles.,"[""Bridge (57).jpg"", ""Bicycle (308).jpg"", ""Cross (16).jpg"", ""Bicycle (201).jpg"", ""Bicycle (481).jpg"", ""Bicycle (630).jpg"", ""Bridge (81).jpg"", ""Bridge (100).jpg"", ""Bridge (105).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""D""]","[1, 3, 4, 5]","[""Bicycle (308).jpg"", ""Bicycle (201).jpg"", ""Bicycle (481).jpg"", ""Bicycle (630).jpg""]",750,7,6,10,submit,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:51:11.411,2026-03-16T13:51:18.774,7.363,9,1,Click on the images containing bicycles.,"[""Bicycle (149).jpg"", ""Car (79).jpg"", ""Chimney (65).jpg"", ""Bicycle (223).jpg"", ""Bus (74).jpg"", ""Hydrant (97).jpg"", ""Bus (136).jpg"", ""Bicycle (267).jpg"", ""Bicycle (513).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 3, 7, 8]","[""Bicycle (149).jpg"", ""Bicycle (223).jpg"", ""Bicycle (267).jpg"", ""Bicycle (513).jpg""]",746,8,7,10,submit,
cf920b19d7484879ab38e7dcfd8d82fe,captcha_pre,1,1,female,2026-03-16T13:51:18.779,2026-03-16T13:51:25.629,6.85,10,1,Click on the images containing bicycles.,"[""Bicycle (23).jpg"", ""Bicycle (351).jpg"", ""Chimney (82).jpg"", ""Cross (12).jpg"", ""Bicycle (468).jpg"", ""Car (37).jpg"", ""Bicycle (61).jpg"", ""Car (22).jpg"", ""Bridge (25).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 4, 6]","[""Bicycle (23).jpg"", ""Bicycle (351).jpg"", ""Bicycle (468).jpg"", ""Bicycle (61).jpg""]",742,9,8,10,submit,
