exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
79d4cecc58af4a46b2ca41c5f8ab45d1,captcha_pre,1,1,female,2026-03-16T16:19:11.840,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
79d4cecc58af4a46b2ca41c5f8ab45d1,captcha_pre,1,1,female,2026-03-16T16:19:11.892,2026-03-16T16:19:18.322,6.43,1,1,Click on the images containing bicycles.,"[""Bicycle (106).jpg"", ""Bicycle (92).jpg"", ""Stair (544).jpg"", ""Stair (1286).jpg"", ""Cross (63).jpg"", ""Chimney (59).jpg"", ""Bicycle (592).jpg"", ""Bicycle (294).jpg"", ""Chimney (128).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 1, 6, 7]","[""Bicycle (106).jpg"", ""Bicycle (92).jpg"", ""Bicycle (592).jpg"", ""Bicycle (294).jpg""]",776,1,1,1,submit,
79d4cecc58af4a46b2ca41c5f8ab45d1,captcha_pre,1,1,female,2026-03-16T16:19:11.892,2026-03-16T16:19:21.865,9.973,1,,Click on the images containing bicycles.,[],[],[],[],776,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
79d4cecc58af4a46b2ca41c5f8ab45d1,q_pre_captcha,1,1,female,2026-03-16T16:19:21.881,2026-03-16T16:19:23.897,2.016,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_difficulty"": ""4""}"
79d4cecc58af4a46b2ca41c5f8ab45d1,q_pre_idaq,1,1,female,2026-03-16T16:19:23.913,2026-03-16T16:19:25.859,1.946,,,,,,,,,,,,submit,"{""idaq_27"": ""5"", ""idaq_12"": ""5"", ""idaq_28"": ""5"", ""idaq_18"": ""5"", ""idaq_4"": ""5"", ""idaq_7"": ""5"", ""idaq_5"": ""5"", ""idaq_21"": ""5"", ""idaq_8"": ""5"", ""idaq_9"": ""5"", ""idaq_14"": ""5"", ""idaq_29"": ""5"", ""idaq_10"": ""5"", ""idaq_19"": ""5"", ""idaq_20"": ""5"", ""idaq_26"": ""5"", ""idaq_11"": ""5"", ""idaq_25"": ""5"", ""idaq_23"": ""5"", ""idaq_1"": ""5"", ""idaq_16"": ""5"", ""idaq_30"": ""5"", ""idaq_13"": ""5"", ""idaq_3"": ""5"", ""idaq_6"": ""5"", ""idaq_15"": ""5"", ""idaq_17"": ""5"", ""idaq_24"": ""5"", ""idaq_22"": ""5"", ""idaq_2"": ""5""}"
79d4cecc58af4a46b2ca41c5f8ab45d1,q_pre_2050,1,1,female,2026-03-16T16:19:25.880,2026-03-16T16:19:27.733,1.853,,,,,,,,,,,,submit,"{""2050_sports"": ""5"", ""2050_shelters"": ""5"", ""2050_nursing_home"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_experiments"": ""5"", ""2050_art"": ""5"", ""2050_crime"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_other_worlds"": ""5"", ""2050_mannequins"": ""5"", ""2050_police"": ""5"", ""2050_hiking"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_rights"": ""5"", ""2050_school"": ""5""}"
79d4cecc58af4a46b2ca41c5f8ab45d1,q_post_gators,1,1,female,2026-03-16T16:19:27.749,2026-03-16T16:19:29.606,1.857,,,,,,,,,,,,submit,"{""gators_12"": ""4"", ""gators_19"": ""4"", ""gators_14"": ""4"", ""gators_7"": ""4"", ""gators_11"": ""4"", ""gators_18"": ""4"", ""gators_17"": ""4"", ""gators_15"": ""4"", ""gators_5"": ""4"", ""gators_9"": ""4"", ""gators_2"": ""4"", ""gators_16"": ""4"", ""gators_10"": ""4"", ""gators_3"": ""4"", ""gators_1"": ""4"", ""gators_20"": ""4"", ""gators_13"": ""4"", ""gators_8"": ""4"", ""gators_4"": ""4"", ""gators_6"": ""4""}"
79d4cecc58af4a46b2ca41c5f8ab45d1,q_post_specific,1,1,female,2026-03-16T16:19:29.622,2026-03-16T16:19:32.290,2.668,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_friendliness"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""conversation_interestingness"": ""4""}"
79d4cecc58af4a46b2ca41c5f8ab45d1,captcha_post,1,1,female,2026-03-16T16:19:32.334,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
79d4cecc58af4a46b2ca41c5f8ab45d1,captcha_post,1,1,female,2026-03-16T16:19:32.362,2026-03-16T16:19:34.179,1.817,1,,Click on the images containing bicycles.,"[""Cross (33).jpg"", ""Stair (435).jpg"", ""Palm (119).jpg"", ""Bicycle (464).jpg"", ""Bicycle (740).jpg"", ""Hydrant (29).jpg"", ""Bus (45).jpg"", ""Bicycle (328).jpg"", ""Bicycle (675).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]",[],[],776,0,0,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
79d4cecc58af4a46b2ca41c5f8ab45d1,captcha_post,1,1,female,2026-03-16T16:19:32.362,2026-03-16T16:19:34.183,1.821,1,,Click on the images containing bicycles.,[],[],[],[],776,0,0,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
