exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
db3e098dc0274c1db21cebd3745e0191,captcha_pre,1,1,female,2026-03-16T16:21:49.391,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
db3e098dc0274c1db21cebd3745e0191,captcha_pre,1,1,female,2026-03-16T16:21:49.413,2026-03-16T16:21:54.610,5.197,1,0,Click on the images containing bicycles.,"[""Cross (65).jpg"", ""Bicycle (217).jpg"", ""Chimney (83).jpg"", ""Bicycle (763).jpg"", ""Bicycle (339).jpg"", ""Bicycle (696).jpg"", ""Stair (439).jpg"", ""Bicycle (329).jpg"", ""Chimney (49).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]",[],[],775,1,0,1,submit,
db3e098dc0274c1db21cebd3745e0191,captcha_pre,1,1,female,2026-03-16T16:21:56.617,2026-03-16T16:22:00.645,4.028,2,1,Click on the images containing bicycles.,"[""Bridge (110).jpg"", ""Tlight (61).jpg"", ""Hydrant (48).jpg"", ""Car (89).jpg"", ""Bicycle (491).jpg"", ""Bicycle (455).jpg"", ""Bus (127).jpg"", ""Bicycle (161).jpg"", ""Bridge (42).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[4, 5, 7]","[""Bicycle (491).jpg"", ""Bicycle (455).jpg"", ""Bicycle (161).jpg""]",772,2,1,1,submit,
db3e098dc0274c1db21cebd3745e0191,captcha_pre,1,1,female,2026-03-16T16:21:56.617,2026-03-16T16:22:03.113,6.496,2,,Click on the images containing bicycles.,[],[],[],[],772,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
db3e098dc0274c1db21cebd3745e0191,q_pre_captcha,1,1,female,2026-03-16T16:22:03.128,2026-03-16T16:22:05.082,1.954,,,,,,,,,,,,submit,"{""captcha_task_enjoyment"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_difficulty"": ""4""}"
db3e098dc0274c1db21cebd3745e0191,q_pre_idaq,1,1,female,2026-03-16T16:22:05.098,2026-03-16T16:22:06.874,1.776,,,,,,,,,,,,submit,"{""idaq_27"": ""5"", ""idaq_12"": ""5"", ""idaq_28"": ""5"", ""idaq_18"": ""5"", ""idaq_4"": ""5"", ""idaq_7"": ""5"", ""idaq_5"": ""5"", ""idaq_21"": ""5"", ""idaq_8"": ""5"", ""idaq_9"": ""5"", ""idaq_14"": ""5"", ""idaq_29"": ""5"", ""idaq_10"": ""5"", ""idaq_19"": ""5"", ""idaq_20"": ""5"", ""idaq_26"": ""5"", ""idaq_11"": ""5"", ""idaq_25"": ""5"", ""idaq_23"": ""5"", ""idaq_1"": ""5"", ""idaq_16"": ""5"", ""idaq_30"": ""5"", ""idaq_13"": ""5"", ""idaq_3"": ""5"", ""idaq_6"": ""5"", ""idaq_15"": ""5"", ""idaq_17"": ""5"", ""idaq_24"": ""5"", ""idaq_22"": ""5"", ""idaq_2"": ""5""}"
db3e098dc0274c1db21cebd3745e0191,q_pre_2050,1,1,female,2026-03-16T16:22:06.897,2026-03-16T16:22:08.317,1.42,,,,,,,,,,,,submit,"{""2050_sports"": ""5"", ""2050_shelters"": ""5"", ""2050_nursing_home"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_experiments"": ""5"", ""2050_art"": ""5"", ""2050_crime"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_other_worlds"": ""5"", ""2050_mannequins"": ""5"", ""2050_police"": ""5"", ""2050_hiking"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_rights"": ""5"", ""2050_school"": ""5""}"
db3e098dc0274c1db21cebd3745e0191,q_post_gators,1,1,female,2026-03-16T16:22:08.334,2026-03-16T16:22:10.133,1.799,,,,,,,,,,,,submit,"{""gators_12"": ""4"", ""gators_19"": ""4"", ""gators_14"": ""4"", ""gators_7"": ""4"", ""gators_11"": ""4"", ""gators_18"": ""4"", ""gators_17"": ""4"", ""gators_15"": ""4"", ""gators_5"": ""4"", ""gators_9"": ""4"", ""gators_2"": ""4"", ""gators_16"": ""4"", ""gators_10"": ""4"", ""gators_3"": ""4"", ""gators_1"": ""4"", ""gators_20"": ""4"", ""gators_13"": ""4"", ""gators_8"": ""4"", ""gators_4"": ""4"", ""gators_6"": ""4""}"
db3e098dc0274c1db21cebd3745e0191,q_post_specific,1,1,female,2026-03-16T16:22:10.165,2026-03-16T16:22:11.506,1.341,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_friendliness"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""conversation_interestingness"": ""4""}"
db3e098dc0274c1db21cebd3745e0191,captcha_post,1,1,female,2026-03-16T16:22:11.560,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
db3e098dc0274c1db21cebd3745e0191,captcha_post,1,1,female,2026-03-16T16:22:11.586,2026-03-16T16:22:16.161,4.575,1,,Click on the images containing bicycles.,"[""Car (57).jpg"", ""Tlight (8).jpg"", ""Bicycle (643).jpg"", ""Bridge (39).jpg"", ""Bicycle (485).jpg"", ""Bridge (115).jpg"", ""Bicycle (70).jpg"", ""Chimney (119).jpg"", ""Bridge (72).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D""]",[],[],777,0,0,1000,escape,"{""status"": ""incomplete"", ""reason"": ""escape_key"", ""had_active_captcha"": true}"
db3e098dc0274c1db21cebd3745e0191,captcha_post,1,1,female,2026-03-16T16:22:11.586,2026-03-16T16:22:16.166,4.58,1,,Click on the images containing bicycles.,[],[],[],[],777,0,0,1000,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
