exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
eeec70e47f0d4e5993b2b23eefd66765,captcha_pre,1,1,female,2026-03-16T16:29:40.277,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
eeec70e47f0d4e5993b2b23eefd66765,captcha_pre,1,1,female,2026-03-16T16:29:40.305,2026-03-16T16:29:48.326,8.021,1,1,Click on the images containing bicycles.,"[""Bicycle (757).jpg"", ""Bicycle (767).jpg"", ""Palm (62).jpg"", ""Tlight (48).jpg"", ""Bridge (64).jpg"", ""Bicycle (418).jpg"", ""Chimney (23).jpg"", ""Stair (594).jpg"", ""Bicycle (351).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 5, 8]","[""Bicycle (757).jpg"", ""Bicycle (767).jpg"", ""Bicycle (418).jpg"", ""Bicycle (351).jpg""]",776,1,1,1,submit,
eeec70e47f0d4e5993b2b23eefd66765,captcha_pre,1,1,female,2026-03-16T16:29:40.305,2026-03-16T16:29:50.967,10.662,1,,Click on the images containing bicycles.,[],[],[],[],776,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
eeec70e47f0d4e5993b2b23eefd66765,q_pre_captcha,1,1,female,2026-03-16T16:29:50.982,2026-03-16T16:29:52.817,1.835,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4""}"
eeec70e47f0d4e5993b2b23eefd66765,q_pre_idaq,1,1,female,2026-03-16T16:29:52.832,2026-03-16T16:29:55.210,2.378,,,,,,,,,,,,submit,"{""idaq_4"": ""5"", ""idaq_9"": ""5"", ""idaq_26"": ""5"", ""idaq_8"": ""5"", ""idaq_23"": ""5"", ""idaq_18"": ""5"", ""idaq_17"": ""5"", ""idaq_28"": ""5"", ""idaq_6"": ""5"", ""idaq_15"": ""5"", ""idaq_10"": ""5"", ""idaq_5"": ""5"", ""idaq_2"": ""5"", ""idaq_12"": ""5"", ""idaq_21"": ""5"", ""idaq_14"": ""5"", ""idaq_1"": ""5"", ""idaq_16"": ""5"", ""idaq_11"": ""5"", ""idaq_25"": ""5"", ""idaq_24"": ""5"", ""idaq_20"": ""5"", ""idaq_19"": ""5"", ""idaq_13"": ""5"", ""idaq_29"": ""5"", ""idaq_22"": ""5"", ""idaq_3"": ""5"", ""idaq_27"": ""5"", ""idaq_30"": ""5"", ""idaq_7"": ""5""}"
eeec70e47f0d4e5993b2b23eefd66765,q_pre_2050,1,1,female,2026-03-16T16:29:55.230,2026-03-16T16:29:56.731,1.501,,,,,,,,,,,,submit,"{""2050_police"": ""5"", ""2050_experiments"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_sports"": ""5"", ""2050_art"": ""5"", ""2050_mannequins"": ""5"", ""2050_other_worlds"": ""5"", ""2050_crime"": ""5"", ""2050_school"": ""5"", ""2050_rights"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_shelters"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_hiking"": ""5"", ""2050_nursing_home"": ""5""}"
eeec70e47f0d4e5993b2b23eefd66765,q_post_gators,1,1,female,2026-03-16T16:30:08.581,2026-03-16T16:30:11.043,2.462,,,,,,,,,,,,submit,"{""gators_1"": ""4"", ""gators_12"": ""4"", ""gators_4"": ""4"", ""gators_9"": ""4"", ""gators_15"": ""4"", ""gators_17"": ""4"", ""gators_8"": ""4"", ""gators_11"": ""4"", ""gators_14"": ""4"", ""gators_16"": ""4"", ""gators_18"": ""4"", ""gators_20"": ""4"", ""gators_6"": ""4"", ""gators_2"": ""4"", ""gators_10"": ""4"", ""gators_7"": ""4"", ""gators_5"": ""4"", ""gators_3"": ""4"", ""gators_19"": ""4"", ""gators_13"": ""4""}"
eeec70e47f0d4e5993b2b23eefd66765,q_post_specific,1,1,female,2026-03-16T16:30:11.059,2026-03-16T16:30:12.320,1.261,,,,,,,,,,,,submit,"{""robot_empathy"": ""4"", ""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_likeability"": ""4""}"
eeec70e47f0d4e5993b2b23eefd66765,captcha_post,1,1,female,2026-03-16T16:30:12.373,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
eeec70e47f0d4e5993b2b23eefd66765,captcha_post,1,1,female,2026-03-16T16:30:12.391,2026-03-16T16:30:30.040,17.649,1,0,Click on the images containing bicycles.,"[""Car (48).jpg"", ""Tlight (61).jpg"", ""Bicycle (451).jpg"", ""Bicycle (412).jpg"", ""Bicycle (173).jpg"", ""Hydrant (88).jpg"", ""Bridge (109).jpg"", ""Bicycle (251).jpg"", ""Bicycle (772).jpg""]","[""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T""]","[2, 3, 4, 8]","[""Bicycle (451).jpg"", ""Bicycle (412).jpg"", ""Bicycle (173).jpg"", ""Bicycle (772).jpg""]",775,1,0,1000,submit,
