exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
91c1fe6244404b14860b56484493d8af,captcha_pre,1,1,female,2026-03-19T10:24:24.036,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
91c1fe6244404b14860b56484493d8af,captcha_pre,1,1,female,2026-03-19T10:24:24.081,2026-03-19T10:24:32.555,8.474,1,1,Click on the images containing bicycles.,"[""Tlight (50).jpg"", ""Bicycle (50).jpg"", ""Hydrant (71).jpg"", ""Bus (125).jpg"", ""Chimney (39).jpg"", ""Bicycle (97).jpg"", ""Cross (88).jpg"", ""Bicycle (295).jpg"", ""Palm (64).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[1, 5, 7]","[""Bicycle (50).jpg"", ""Bicycle (97).jpg"", ""Bicycle (295).jpg""]",777,1,1,1,submit,
91c1fe6244404b14860b56484493d8af,captcha_pre,1,1,female,2026-03-19T10:24:24.081,2026-03-19T10:24:41.012,16.931,1,,Click on the images containing bicycles.,[],[],[],[],777,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
91c1fe6244404b14860b56484493d8af,q_pre_captcha,1,1,female,2026-03-19T10:24:41.028,2026-03-19T10:28:16.886,215.858,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4""}"
91c1fe6244404b14860b56484493d8af,q_pre_idaq,1,1,female,2026-03-19T10:28:16.898,2026-03-19T10:28:19.038,2.14,,,,,,,,,,,,submit,"{""idaq_24"": ""5"", ""idaq_11"": ""5"", ""idaq_14"": ""5"", ""idaq_22"": ""5"", ""idaq_26"": ""5"", ""idaq_6"": ""5"", ""idaq_8"": ""5"", ""idaq_20"": ""5"", ""idaq_10"": ""5"", ""idaq_16"": ""5"", ""idaq_18"": ""5"", ""idaq_28"": ""5"", ""idaq_4"": ""5"", ""idaq_9"": ""5"", ""idaq_23"": ""5"", ""idaq_29"": ""5"", ""idaq_27"": ""5"", ""idaq_19"": ""5"", ""idaq_3"": ""5"", ""idaq_2"": ""5"", ""idaq_30"": ""5"", ""idaq_25"": ""5"", ""idaq_17"": ""5"", ""idaq_7"": ""5"", ""idaq_21"": ""5"", ""idaq_15"": ""5"", ""idaq_1"": ""5"", ""idaq_13"": ""5"", ""idaq_5"": ""5"", ""idaq_12"": ""5""}"
91c1fe6244404b14860b56484493d8af,q_pre_2050,1,1,female,2026-03-19T10:28:19.053,2026-03-19T10:28:20.451,1.398,,,,,,,,,,,,submit,"{""2050_rights"": ""5"", ""2050_hiking"": ""5"", ""2050_experiments"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_sports"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_nursing_home"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_shelters"": ""5"", ""2050_police"": ""5"", ""2050_school"": ""5"", ""2050_other_worlds"": ""5"", ""2050_crime"": ""5"", ""2050_art"": ""5"", ""2050_mannequins"": ""5""}"
91c1fe6244404b14860b56484493d8af,q_post_gators,1,1,female,2026-03-19T10:28:20.470,2026-03-19T10:28:21.892,1.422,,,,,,,,,,,,submit,"{""gators_13"": ""4"", ""gators_8"": ""4"", ""gators_16"": ""4"", ""gators_19"": ""4"", ""gators_20"": ""4"", ""gators_12"": ""4"", ""gators_11"": ""4"", ""gators_4"": ""4"", ""gators_3"": ""4"", ""gators_9"": ""4"", ""gators_1"": ""4"", ""gators_6"": ""4"", ""gators_14"": ""4"", ""gators_18"": ""4"", ""gators_5"": ""4"", ""gators_10"": ""4"", ""gators_15"": ""4"", ""gators_17"": ""4"", ""gators_7"": ""4"", ""gators_2"": ""4""}"
91c1fe6244404b14860b56484493d8af,q_post_specific,1,1,female,2026-03-19T10:28:21.906,2026-03-19T10:28:23.003,1.097,,,,,,,,,,,,submit,"{""robot_friendliness"": ""4"", ""conversation_interestingness"": ""4"", ""robot_likeability"": ""4"", ""robot_empathy"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4""}"
91c1fe6244404b14860b56484493d8af,captcha_post,1,1,female,2026-03-19T10:28:23.049,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
91c1fe6244404b14860b56484493d8af,captcha_post,1,1,female,2026-03-19T10:28:23.085,2026-03-19T10:30:38.171,135.086,1,0,Click on the images containing bicycles.,"[""Hydrant (23).jpg"", ""Bicycle (555).jpg"", ""Bicycle (341).jpg"", ""Cross (29).jpg"", ""Car (74).jpg"", ""Palm (51).jpg"", ""Bridge (83).jpg"", ""Bicycle (36).jpg"", ""Stair (1463).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 7]","[""Bicycle (555).jpg"", ""Bicycle (36).jpg""]",777,1,0,1000,submit,
91c1fe6244404b14860b56484493d8af,captcha_post,1,1,female,2026-03-19T10:30:40.180,2026-03-19T10:30:50.650,10.47,2,1,Click on the images containing bicycles.,"[""Bicycle (538).jpg"", ""Chimney (114).jpg"", ""Cross (31).jpg"", ""Stair (1224).jpg"", ""Hydrant (107).jpg"", ""Palm (118).jpg"", ""Chimney (25).jpg"", ""Bicycle (277).jpg"", ""Bicycle (624).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 7, 8]","[""Bicycle (538).jpg"", ""Bicycle (277).jpg"", ""Bicycle (624).jpg""]",774,2,1,1000,submit,
