exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:48:36.902,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:48:36.922,2026-03-19T11:48:59.002,22.08,1,1,Click on the images containing bicycles.,"[""Bicycle (155).jpg"", ""Bicycle (260).jpg"", ""Bicycle (171).jpg"", ""Car (55).jpg"", ""Stair (1454).jpg"", ""Bus (75).jpg"", ""Cross (36).jpg"", ""Car (79).jpg"", ""Bus (52).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 2]","[""Bicycle (155).jpg"", ""Bicycle (260).jpg"", ""Bicycle (171).jpg""]",777,1,1,10,submit,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:48:59.009,2026-03-19T11:49:05.058,6.049,2,1,Click on the images containing bicycles.,"[""Cross (52).jpg"", ""Hydrant (122).jpg"", ""Stair (1467).jpg"", ""Hydrant (108).jpg"", ""Bicycle (49).jpg"", ""Bicycle (212).jpg"", ""Bicycle (389).jpg"", ""Bicycle (598).jpg"", ""Chimney (63).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T"", ""T"", ""D""]","[4, 5, 6, 7]","[""Bicycle (49).jpg"", ""Bicycle (212).jpg"", ""Bicycle (389).jpg"", ""Bicycle (598).jpg""]",773,2,2,10,submit,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:49:05.063,2026-03-19T11:49:10.946,5.883,3,1,Click on the images containing bicycles.,"[""Tlight (70).jpg"", ""Bicycle (304).jpg"", ""Bus (136).jpg"", ""Palm (139).jpg"", ""Bicycle (232).jpg"", ""Chimney (43).jpg"", ""Bicycle (204).jpg"", ""Bicycle (174).jpg"", ""Bicycle (682).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[1, 4, 6, 7, 8]","[""Bicycle (304).jpg"", ""Bicycle (232).jpg"", ""Bicycle (204).jpg"", ""Bicycle (174).jpg"", ""Bicycle (682).jpg""]",768,3,3,10,submit,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:49:10.951,2026-03-19T11:49:18.337,7.386,4,1,Click on the images containing bicycles.,"[""Bicycle (559).jpg"", ""Hydrant (81).jpg"", ""Palm (87).jpg"", ""Bridge (52).jpg"", ""Bicycle (350).jpg"", ""Hydrant (90).jpg"", ""Bicycle (768).jpg"", ""Bicycle (345).jpg"", ""Bicycle (692).jpg""]","[""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]","[0, 4, 6, 7, 8]","[""Bicycle (559).jpg"", ""Bicycle (350).jpg"", ""Bicycle (768).jpg"", ""Bicycle (345).jpg"", ""Bicycle (692).jpg""]",763,4,4,10,submit,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:49:18.342,2026-03-19T11:49:23.570,5.228,5,1,Click on the images containing bicycles.,"[""Stair (1012).jpg"", ""Chimney (81).jpg"", ""Car (85).jpg"", ""Bicycle (349).jpg"", ""Chimney (96).jpg"", ""Bicycle (530).jpg"", ""Bus (132).jpg"", ""Bicycle (154).jpg"", ""Car (121).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[3, 5, 7]","[""Bicycle (349).jpg"", ""Bicycle (530).jpg"", ""Bicycle (154).jpg""]",760,5,5,10,submit,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:49:23.576,2026-03-19T11:49:31.329,7.753,6,0,Click on the images containing bicycles.,"[""Bicycle (331).jpg"", ""Bicycle (277).jpg"", ""Bicycle (693).jpg"", ""Bicycle (546).jpg"", ""Car (77).jpg"", ""Car (98).jpg"", ""Bicycle (446).jpg"", ""Palm (118).jpg"", ""Bus (64).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 6]","[""Bicycle (331).jpg"", ""Bicycle (277).jpg"", ""Bicycle (693).jpg"", ""Bicycle (446).jpg""]",755,6,5,10,submit,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:49:33.337,2026-03-19T11:49:41.769,8.432,7,1,Click on the images containing bicycles.,"[""Bicycle (116).jpg"", ""Bridge (55).jpg"", ""Bicycle (266).jpg"", ""Bicycle (313).jpg"", ""Cross (119).jpg"", ""Palm (135).jpg"", ""Bicycle (339).jpg"", ""Bicycle (189).jpg"", ""Bus (91).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 2, 3, 6, 7]","[""Bicycle (116).jpg"", ""Bicycle (266).jpg"", ""Bicycle (313).jpg"", ""Bicycle (339).jpg"", ""Bicycle (189).jpg""]",750,7,6,10,submit,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:49:41.774,2026-03-19T11:49:50.162,8.388,8,1,Click on the images containing bicycles.,"[""Bicycle (604).jpg"", ""Bicycle (774).jpg"", ""Bicycle (284).jpg"", ""Stair (482).jpg"", ""Bicycle (754).jpg"", ""Hydrant (67).jpg"", ""Bus (50).jpg"", ""Tlight (139).jpg"", ""Bicycle (187).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 2, 4, 8]","[""Bicycle (604).jpg"", ""Bicycle (774).jpg"", ""Bicycle (284).jpg"", ""Bicycle (754).jpg"", ""Bicycle (187).jpg""]",745,8,7,10,submit,
61e8c6cc722b46689732239aa7b828e9,captcha_pre,1,1,female,2026-03-19T11:49:50.168,2026-03-19T11:49:55.946,5.778,9,1,Click on the images containing bicycles.,"[""Stair (889).jpg"", ""Bicycle (384).jpg"", ""Bicycle (615).jpg"", ""Bicycle (677).jpg"", ""Hydrant (113).jpg"", ""Bicycle (93).jpg"", ""Bridge (89).jpg"", ""Hydrant (123).jpg"", ""Palm (6).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 3, 5]","[""Bicycle (384).jpg"", ""Bicycle (615).jpg"", ""Bicycle (677).jpg"", ""Bicycle (93).jpg""]",741,9,8,10,submit,
