exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:54:34.619,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:54:34.643,2026-03-19T11:54:43.632,8.989,1,1,Click on the images containing bicycles.,"[""Bicycle (239).jpg"", ""Bicycle (78).jpg"", ""Palm (113).jpg"", ""Cross (57).jpg"", ""Bus (38).jpg"", ""Bicycle (131).jpg"", ""Car (47).jpg"", ""Bicycle (673).jpg"", ""Tlight (67).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[0, 1, 5, 7]","[""Bicycle (239).jpg"", ""Bicycle (78).jpg"", ""Bicycle (131).jpg"", ""Bicycle (673).jpg""]",776,1,1,10,submit,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:54:43.637,2026-03-19T11:54:47.391,3.754,2,1,Click on the images containing bicycles.,"[""Palm (14).jpg"", ""Bicycle (321).jpg"", ""Bus (108).jpg"", ""Hydrant (49).jpg"", ""Hydrant (60).jpg"", ""Bicycle (593).jpg"", ""Hydrant (46).jpg"", ""Tlight (136).jpg"", ""Bicycle (520).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (321).jpg"", ""Bicycle (593).jpg"", ""Bicycle (520).jpg""]",773,2,2,10,submit,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:54:47.397,2026-03-19T11:54:52.848,5.451,3,1,Click on the images containing bicycles.,"[""Bicycle (663).jpg"", ""Cross (20).jpg"", ""Bridge (43).jpg"", ""Cross (30).jpg"", ""Bus (25).jpg"", ""Hydrant (64).jpg"", ""Bicycle (142).jpg"", ""Bicycle (679).jpg"", ""Palm (52).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 6, 7]","[""Bicycle (663).jpg"", ""Bicycle (142).jpg"", ""Bicycle (679).jpg""]",770,3,3,10,submit,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:54:52.854,2026-03-19T11:55:02.463,9.609,4,1,Click on the images containing bicycles.,"[""Palm (121).jpg"", ""Bicycle (733).jpg"", ""Bicycle (198).jpg"", ""Chimney (52).jpg"", ""Chimney (59).jpg"", ""Bicycle (709).jpg"", ""Bicycle (440).jpg"", ""Hydrant (90).jpg"", ""Car (71).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[1, 2, 5, 6]","[""Bicycle (733).jpg"", ""Bicycle (198).jpg"", ""Bicycle (709).jpg"", ""Bicycle (440).jpg""]",766,4,4,10,submit,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:55:02.469,2026-03-19T11:55:10.335,7.866,5,0,Click on the images containing bicycles.,"[""Car (57).jpg"", ""Tlight (121).jpg"", ""Stair (208).jpg"", ""Bicycle (403).jpg"", ""Bicycle (672).jpg"", ""Bus (122).jpg"", ""Bicycle (61).jpg"", ""Car (130).jpg"", ""Cross (100).jpg""]","[""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[3, 4, 6, 7]","[""Bicycle (403).jpg"", ""Bicycle (672).jpg"", ""Bicycle (61).jpg"", ""Car (130).jpg""]",763,5,4,10,submit,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:55:12.344,2026-03-19T11:55:19.428,7.084,6,1,Click on the images containing bicycles.,"[""Bicycle (244).jpg"", ""Bridge (63).jpg"", ""Bicycle (276).jpg"", ""Bicycle (717).jpg"", ""Hydrant (82).jpg"", ""Bicycle (389).jpg"", ""Bicycle (173).jpg"", ""Palm (48).jpg"", ""Palm (78).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 3, 5, 6]","[""Bicycle (244).jpg"", ""Bicycle (276).jpg"", ""Bicycle (717).jpg"", ""Bicycle (389).jpg"", ""Bicycle (173).jpg""]",758,6,5,10,submit,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:55:19.435,2026-03-19T11:55:23.977,4.542,7,1,Click on the images containing bicycles.,"[""Stair (219).jpg"", ""Cross (37).jpg"", ""Stair (339).jpg"", ""Bicycle (197).jpg"", ""Cross (9).jpg"", ""Car (36).jpg"", ""Bridge (99).jpg"", ""Bicycle (82).jpg"", ""Bicycle (193).jpg""]","[""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[3, 7, 8]","[""Bicycle (197).jpg"", ""Bicycle (82).jpg"", ""Bicycle (193).jpg""]",755,7,6,10,submit,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:55:23.983,2026-03-19T11:55:30.160,6.177,8,1,Click on the images containing bicycles.,"[""Bicycle (648).jpg"", ""Cross (118).jpg"", ""Bicycle (554).jpg"", ""Cross (95).jpg"", ""Stair (749).jpg"", ""Cross (120).jpg"", ""Bicycle (386).jpg"", ""Bicycle (174).jpg"", ""Bicycle (490).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 2, 6, 7, 8]","[""Bicycle (648).jpg"", ""Bicycle (554).jpg"", ""Bicycle (386).jpg"", ""Bicycle (174).jpg"", ""Bicycle (490).jpg""]",750,8,7,10,submit,
fcc0b0825f234b1d9bf79c48918f6ea7,captcha_pre,1,1,female,2026-03-19T11:55:30.173,2026-03-19T11:55:36.815,6.642,9,1,Click on the images containing bicycles.,"[""Hydrant (92).jpg"", ""Bicycle (374).jpg"", ""Bicycle (604).jpg"", ""Bicycle (326).jpg"", ""Stair (1286).jpg"", ""Cross (62).jpg"", ""Bicycle (390).jpg"", ""Stair (243).jpg"", ""Bicycle (492).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[1, 2, 3, 6, 8]","[""Bicycle (374).jpg"", ""Bicycle (604).jpg"", ""Bicycle (326).jpg"", ""Bicycle (390).jpg"", ""Bicycle (492).jpg""]",745,9,8,10,submit,
