exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
5d744a580a8e4639aca00f3c402e7c71,captcha_pre,2,2,other,2026-02-19T11:59:38.279,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
5d744a580a8e4639aca00f3c402e7c71,captcha_pre,2,2,other,2026-02-19T11:59:38.303,2026-02-19T11:59:50.185,11.882,1,1,Click on the images containing bicycles.,"[""Bicycle (268).jpg"", ""Palm (69).jpg"", ""Bicycle (97).jpg"", ""Bridge (73).jpg"", ""Bridge (40).jpg"", ""Palm (60).jpg"", ""Bicycle (266).jpg"", ""Chimney (21).jpg"", ""Bicycle (381).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 2, 6, 8]","[""Bicycle (268).jpg"", ""Bicycle (97).jpg"", ""Bicycle (266).jpg"", ""Bicycle (381).jpg""]",776,1,1,1,submit,
5d744a580a8e4639aca00f3c402e7c71,captcha_pre,2,2,other,2026-02-19T11:59:38.303,2026-02-19T11:59:50.899,12.596,1,,Click on the images containing bicycles.,[],[],[],[],776,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
5d744a580a8e4639aca00f3c402e7c71,q_pre_captcha,2,2,other,2026-02-19T11:59:50.911,2026-02-19T11:59:52.626,1.715,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_difficulty"": ""4"", ""captcha_task_enjoyment"": ""4""}"
5d744a580a8e4639aca00f3c402e7c71,q_pre_idaq,2,2,other,2026-02-19T11:59:52.638,2026-02-19T11:59:54.881,2.243,,,,,,,,,,,,submit,"{""idaq_17"": ""5"", ""idaq_19"": ""5"", ""idaq_25"": ""5"", ""idaq_15"": ""5"", ""idaq_12"": ""5"", ""idaq_10"": ""5"", ""idaq_11"": ""5"", ""idaq_28"": ""5"", ""idaq_16"": ""5"", ""idaq_13"": ""5"", ""idaq_9"": ""5"", ""idaq_18"": ""5"", ""idaq_20"": ""5"", ""idaq_21"": ""5"", ""idaq_4"": ""5"", ""idaq_1"": ""5"", ""idaq_26"": ""5"", ""idaq_23"": ""5"", ""idaq_6"": ""5"", ""idaq_30"": ""5"", ""idaq_29"": ""5"", ""idaq_7"": ""5"", ""idaq_8"": ""5"", ""idaq_5"": ""5"", ""idaq_2"": ""5"", ""idaq_24"": ""5"", ""idaq_14"": ""5"", ""idaq_22"": ""5"", ""idaq_27"": ""5"", ""idaq_3"": ""5""}"
5d744a580a8e4639aca00f3c402e7c71,q_pre_2050,2,2,other,2026-02-19T11:59:54.893,2026-02-19T11:59:56.469,1.576,,,,,,,,,,,,submit,"{""2050_nursing_home"": ""5"", ""2050_experiments"": ""5"", ""2050_shelters"": ""5"", ""2050_crime"": ""5"", ""2050_other_worlds"": ""5"", ""2050_hiking"": ""5"", ""2050_art"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_rights"": ""5"", ""2050_police"": ""5"", ""2050_mannequins"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_school"": ""5"", ""2050_sports"": ""5"", ""2050_neurosurgery"": ""5""}"
5d744a580a8e4639aca00f3c402e7c71,q_post_gators,2,2,other,2026-02-19T11:59:59.374,2026-02-19T12:00:01.684,2.31,,,,,,,,,,,,submit,"{""gators_1"": ""4"", ""gators_7"": ""4"", ""gators_11"": ""4"", ""gators_13"": ""4"", ""gators_14"": ""4"", ""gators_5"": ""4"", ""gators_20"": ""4"", ""gators_8"": ""4"", ""gators_10"": ""4"", ""gators_6"": ""4"", ""gators_12"": ""4"", ""gators_2"": ""4"", ""gators_9"": ""4"", ""gators_17"": ""4"", ""gators_3"": ""4"", ""gators_4"": ""4"", ""gators_15"": ""4"", ""gators_19"": ""4"", ""gators_18"": ""4"", ""gators_16"": ""4""}"
5d744a580a8e4639aca00f3c402e7c71,q_post_specific,2,2,other,2026-02-19T12:00:01.702,2026-02-19T12:00:02.970,1.268,,,,,,,,,,,,submit,"{""robot_empathy"": ""4"", ""robot_friendliness"": ""4"", ""robot_likeability"": ""4"", ""conversation_interestingness"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4""}"
5d744a580a8e4639aca00f3c402e7c71,captcha_post,2,2,other,2026-02-19T12:00:03.952,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
5d744a580a8e4639aca00f3c402e7c71,captcha_post,2,2,other,2026-02-19T12:00:03.967,2026-02-19T12:00:14.810,10.843,1,0,Click on the images containing bicycles.,"[""Bicycle (168).jpg"", ""Hydrant (52).jpg"", ""Bus (29).jpg"", ""Bicycle (467).jpg"", ""Cross (10).jpg"", ""Chimney (57).jpg"", ""Bicycle (275).jpg"", ""Palm (17).jpg"", ""Bicycle (10).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[3, 6, 8]","[""Bicycle (467).jpg"", ""Bicycle (275).jpg"", ""Bicycle (10).jpg""]",776,1,0,1000,submit,
