exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
2eb24cebbbbf460582267c5df30b2775,captcha_pre,2,2,female,2026-02-24T13:47:26.307,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
2eb24cebbbbf460582267c5df30b2775,captcha_pre,2,2,female,2026-02-24T13:47:26.335,2026-02-24T13:47:30.598,4.263,1,1,Click on the images containing bicycles.,"[""Bicycle (122).jpg"", ""Bicycle (622).jpg"", ""Cross (43).jpg"", ""Cross (20).jpg"", ""Tlight (63).jpg"", ""Tlight (76).jpg"", ""Tlight (123).jpg"", ""Stair (681).jpg"", ""Bicycle (152).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 1, 8]","[""Bicycle (122).jpg"", ""Bicycle (622).jpg"", ""Bicycle (152).jpg""]",777,1,1,1,submit,
2eb24cebbbbf460582267c5df30b2775,captcha_pre,2,2,female,2026-02-24T13:47:26.335,2026-02-24T13:47:31.611,5.276,1,,Click on the images containing bicycles.,[],[],[],[],777,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
2eb24cebbbbf460582267c5df30b2775,q_pre_captcha,2,2,female,2026-02-24T13:47:31.628,2026-02-24T13:47:36.376,4.748,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4""}"
2eb24cebbbbf460582267c5df30b2775,q_pre_idaq,2,2,female,2026-02-24T13:47:36.390,2026-02-24T13:47:39.094,2.704,,,,,,,,,,,,submit,"{""idaq_30"": ""5"", ""idaq_16"": ""5"", ""idaq_6"": ""5"", ""idaq_2"": ""5"", ""idaq_21"": ""5"", ""idaq_13"": ""5"", ""idaq_12"": ""5"", ""idaq_9"": ""5"", ""idaq_23"": ""5"", ""idaq_7"": ""5"", ""idaq_11"": ""5"", ""idaq_1"": ""5"", ""idaq_5"": ""5"", ""idaq_3"": ""5"", ""idaq_10"": ""5"", ""idaq_29"": ""5"", ""idaq_26"": ""5"", ""idaq_20"": ""5"", ""idaq_19"": ""5"", ""idaq_27"": ""5"", ""idaq_14"": ""5"", ""idaq_8"": ""5"", ""idaq_4"": ""5"", ""idaq_22"": ""5"", ""idaq_17"": ""5"", ""idaq_24"": ""5"", ""idaq_15"": ""5"", ""idaq_18"": ""5"", ""idaq_28"": ""5"", ""idaq_25"": ""5""}"
2eb24cebbbbf460582267c5df30b2775,q_pre_2050,2,2,female,2026-02-24T13:47:39.112,2026-02-24T13:47:40.500,1.388,,,,,,,,,,,,submit,"{""2050_rights"": ""5"", ""2050_crime"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_shelters"": ""5"", ""2050_sports"": ""5"", ""2050_school"": ""5"", ""2050_other_worlds"": ""5"", ""2050_experiments"": ""5"", ""2050_mannequins"": ""5"", ""2050_police"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_art"": ""5"", ""2050_hiking"": ""5"", ""2050_nursing_home"": ""5""}"
2eb24cebbbbf460582267c5df30b2775,q_post_gators,2,2,female,2026-02-24T13:47:40.517,2026-02-24T13:47:42.090,1.573,,,,,,,,,,,,submit,"{""gators_10"": ""4"", ""gators_13"": ""4"", ""gators_19"": ""4"", ""gators_5"": ""4"", ""gators_1"": ""4"", ""gators_9"": ""4"", ""gators_7"": ""4"", ""gators_3"": ""4"", ""gators_17"": ""4"", ""gators_12"": ""4"", ""gators_15"": ""4"", ""gators_6"": ""4"", ""gators_2"": ""4"", ""gators_14"": ""4"", ""gators_11"": ""4"", ""gators_20"": ""4"", ""gators_16"": ""4"", ""gators_18"": ""4"", ""gators_8"": ""4"", ""gators_4"": ""4""}"
2eb24cebbbbf460582267c5df30b2775,q_post_specific,2,2,female,2026-02-24T13:47:42.104,2026-02-24T13:47:43.063,0.959,,,,,,,,,,,,submit,"{""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_likeability"": ""4""}"
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:47:44.054,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:47:44.077,2026-02-24T13:47:49.287,5.21,1,1,Click on the images containing bicycles.,"[""Tlight (112).jpg"", ""Bicycle (640).jpg"", ""Tlight (99).jpg"", ""Bus (72).jpg"", ""Cross (8).jpg"", ""Tlight (65).jpg"", ""Bicycle (90).jpg"", ""Bicycle (144).jpg"", ""Bicycle (494).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 6, 7, 8]","[""Bicycle (640).jpg"", ""Bicycle (90).jpg"", ""Bicycle (144).jpg"", ""Bicycle (494).jpg""]",776,1,1,1000,submit,
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:47:50.297,2026-02-24T13:48:28.822,38.525,2,0,Click on the images containing bicycles.,"[""Hydrant (72).jpg"", ""Bicycle (135).jpg"", ""Bicycle (440).jpg"", ""Bus (111).jpg"", ""Bicycle (654).jpg"", ""Bicycle (236).jpg"", ""Car (83).jpg"", ""Tlight (96).jpg"", ""Cross (30).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 4, 5]","[""Hydrant (72).jpg"", ""Bicycle (135).jpg"", ""Bicycle (440).jpg"", ""Bicycle (654).jpg"", ""Bicycle (236).jpg""]",772,2,1,1000,submit,
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:48:29.830,2026-02-24T13:48:35.558,5.728,3,1,Click on the images containing bicycles.,"[""Bicycle (367).jpg"", ""Bicycle (401).jpg"", ""Bicycle (761).jpg"", ""Tlight (79).jpg"", ""Stair (1464).jpg"", ""Cross (2).jpg"", ""Bicycle (92).jpg"", ""Palm (140).jpg"", ""Car (86).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 6]","[""Bicycle (367).jpg"", ""Bicycle (401).jpg"", ""Bicycle (761).jpg"", ""Bicycle (92).jpg""]",768,3,2,1000,submit,
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:48:36.568,2026-02-24T13:48:41.222,4.654,4,0,Click on the images containing bicycles.,"[""Bicycle (549).jpg"", ""Bicycle (195).jpg"", ""Bus (130).jpg"", ""Car (38).jpg"", ""Tlight (92).jpg"", ""Bicycle (73).jpg"", ""Cross (83).jpg"", ""Cross (10).jpg"", ""Hydrant (92).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 5, 6]","[""Bicycle (549).jpg"", ""Bicycle (195).jpg"", ""Bicycle (73).jpg"", ""Cross (83).jpg""]",765,4,2,1000,submit,
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:48:42.230,2026-02-24T13:48:47.142,4.912,5,1,Click on the images containing bicycles.,"[""Bridge (64).jpg"", ""Bicycle (278).jpg"", ""Bicycle (389).jpg"", ""Bicycle (326).jpg"", ""Bridge (40).jpg"", ""Bicycle (87).jpg"", ""Chimney (22).jpg"", ""Stair (1240).jpg"", ""Bicycle (520).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 2, 3, 5, 8]","[""Bicycle (278).jpg"", ""Bicycle (389).jpg"", ""Bicycle (326).jpg"", ""Bicycle (87).jpg"", ""Bicycle (520).jpg""]",760,5,3,1000,submit,
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:48:48.151,2026-02-24T13:48:57.773,9.622,6,1,Click on the images containing bicycles.,"[""Bicycle (317).jpg"", ""Bicycle (305).jpg"", ""Cross (60).jpg"", ""Hydrant (120).jpg"", ""Chimney (118).jpg"", ""Tlight (122).jpg"", ""Bicycle (298).jpg"", ""Palm (61).jpg"", ""Palm (123).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 6]","[""Bicycle (317).jpg"", ""Bicycle (305).jpg"", ""Bicycle (298).jpg""]",757,6,4,1000,submit,
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:48:58.781,2026-02-24T13:50:02.636,63.855,7,1,Click on the images containing bicycles.,"[""Hydrant (35).jpg"", ""Bridge (39).jpg"", ""Bicycle (37).jpg"", ""Bicycle (603).jpg"", ""Bridge (118).jpg"", ""Bicycle (411).jpg"", ""Bus (132).jpg"", ""Car (111).jpg"", ""Bicycle (370).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[2, 3, 5, 8]","[""Bicycle (37).jpg"", ""Bicycle (603).jpg"", ""Bicycle (411).jpg"", ""Bicycle (370).jpg""]",753,7,5,1000,submit,
2eb24cebbbbf460582267c5df30b2775,captcha_post,2,2,female,2026-02-24T13:50:03.647,2026-02-24T13:50:07.227,3.58,8,0,Click on the images containing bicycles.,"[""Cross (97).jpg"", ""Chimney (115).jpg"", ""Palm (85).jpg"", ""Bridge (108).jpg"", ""Bicycle (619).jpg"", ""Palm (113).jpg"", ""Bicycle (630).jpg"", ""Bicycle (204).jpg"", ""Bicycle (428).jpg""]","[""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""T""]",[5],"[""Palm (113).jpg""]",749,8,5,1000,submit,
