exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
2692d5c62e3f4c61b30c3afffd4ba409,captcha_pre,2,2,other,2026-02-24T13:58:46.680,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
2692d5c62e3f4c61b30c3afffd4ba409,captcha_pre,2,2,other,2026-02-24T13:58:46.721,2026-02-24T13:58:49.801,3.08,1,0,Click on the images containing bicycles.,"[""Bicycle (257).jpg"", ""Bicycle (572).jpg"", ""Bridge (126).jpg"", ""Bicycle (508).jpg"", ""Bicycle (152).jpg"", ""Stair (1012).jpg"", ""Bridge (116).jpg"", ""Bicycle (79).jpg"", ""Stair (253).jpg""]","[""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 3]","[""Bicycle (257).jpg"", ""Bicycle (572).jpg"", ""Bicycle (508).jpg""]",775,1,0,1,submit,
2692d5c62e3f4c61b30c3afffd4ba409,captcha_pre,2,2,other,2026-02-24T13:58:51.408,2026-02-24T13:58:56.304,4.896,2,1,Click on the images containing bicycles.,"[""Bicycle (556).jpg"", ""Bicycle (261).jpg"", ""Chimney (18).jpg"", ""Hydrant (83).jpg"", ""Chimney (106).jpg"", ""Bicycle (555).jpg"", ""Car (70).jpg"", ""Bridge (49).jpg"", ""Bicycle (432).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[0, 1, 5, 8]","[""Bicycle (556).jpg"", ""Bicycle (261).jpg"", ""Bicycle (555).jpg"", ""Bicycle (432).jpg""]",771,2,1,1,submit,
2692d5c62e3f4c61b30c3afffd4ba409,captcha_pre,2,2,other,2026-02-24T13:58:51.408,2026-02-24T13:58:57.319,5.911,2,,Click on the images containing bicycles.,[],[],[],[],771,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
2692d5c62e3f4c61b30c3afffd4ba409,q_pre_captcha,2,2,other,2026-02-24T13:58:57.337,2026-02-24T13:59:00.306,2.969,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_enjoyment"": ""4""}"
2692d5c62e3f4c61b30c3afffd4ba409,q_pre_idaq,2,2,other,2026-02-24T13:59:00.323,2026-02-24T13:59:02.194,1.871,,,,,,,,,,,,submit,"{""idaq_11"": ""5"", ""idaq_25"": ""5"", ""idaq_16"": ""5"", ""idaq_8"": ""5"", ""idaq_5"": ""5"", ""idaq_20"": ""5"", ""idaq_18"": ""5"", ""idaq_21"": ""5"", ""idaq_19"": ""5"", ""idaq_14"": ""5"", ""idaq_27"": ""5"", ""idaq_2"": ""5"", ""idaq_9"": ""5"", ""idaq_13"": ""5"", ""idaq_12"": ""5"", ""idaq_29"": ""5"", ""idaq_10"": ""5"", ""idaq_3"": ""5"", ""idaq_4"": ""5"", ""idaq_17"": ""5"", ""idaq_6"": ""5"", ""idaq_28"": ""5"", ""idaq_15"": ""5"", ""idaq_24"": ""5"", ""idaq_7"": ""5"", ""idaq_26"": ""5"", ""idaq_30"": ""5"", ""idaq_1"": ""5"", ""idaq_22"": ""5"", ""idaq_23"": ""5""}"
2692d5c62e3f4c61b30c3afffd4ba409,q_pre_2050,2,2,other,2026-02-24T13:59:02.214,2026-02-24T13:59:03.694,1.48,,,,,,,,,,,,submit,"{""2050_school"": ""5"", ""2050_mannequins"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_art"": ""5"", ""2050_shelters"": ""5"", ""2050_hiking"": ""5"", ""2050_experiments"": ""5"", ""2050_nursing_home"": ""5"", ""2050_other_worlds"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_crime"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_sports"": ""5"", ""2050_police"": ""5"", ""2050_rights"": ""5""}"
2692d5c62e3f4c61b30c3afffd4ba409,q_post_gators,2,2,other,2026-02-24T13:59:03.707,2026-02-24T13:59:05.293,1.586,,,,,,,,,,,,submit,"{""gators_3"": ""4"", ""gators_8"": ""4"", ""gators_1"": ""4"", ""gators_4"": ""4"", ""gators_13"": ""4"", ""gators_9"": ""4"", ""gators_19"": ""4"", ""gators_18"": ""4"", ""gators_20"": ""4"", ""gators_14"": ""4"", ""gators_17"": ""4"", ""gators_6"": ""4"", ""gators_2"": ""4"", ""gators_16"": ""4"", ""gators_10"": ""4"", ""gators_7"": ""4"", ""gators_15"": ""4"", ""gators_5"": ""4"", ""gators_12"": ""4"", ""gators_11"": ""4""}"
2692d5c62e3f4c61b30c3afffd4ba409,q_post_specific,2,2,other,2026-02-24T13:59:05.309,2026-02-24T13:59:06.554,1.245,,,,,,,,,,,,submit,"{""robot_likeability"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""4""}"
2692d5c62e3f4c61b30c3afffd4ba409,captcha_post,2,2,other,2026-02-24T13:59:07.770,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
2692d5c62e3f4c61b30c3afffd4ba409,captcha_post,2,2,other,2026-02-24T13:59:07.808,2026-02-24T13:59:15.866,8.058,1,0,Click on the images containing bicycles.,"[""Bicycle (111).jpg"", ""Bicycle (655).jpg"", ""Bicycle (538).jpg"", ""Car (51).jpg"", ""Bicycle (233).jpg"", ""Bicycle (12).jpg"", ""Palm (61).jpg"", ""Bridge (90).jpg"", ""Bridge (137).jpg""]","[""T"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D""]","[0, 1, 2, 4]","[""Bicycle (111).jpg"", ""Bicycle (655).jpg"", ""Bicycle (538).jpg"", ""Bicycle (233).jpg""]",775,1,0,1000,submit,
2692d5c62e3f4c61b30c3afffd4ba409,captcha_post,2,2,other,2026-02-24T13:59:17.475,2026-02-24T13:59:21.297,3.822,2,1,Click on the images containing bicycles.,"[""Tlight (56).jpg"", ""Bicycle (604).jpg"", ""Palm (139).jpg"", ""Car (107).jpg"", ""Bus (118).jpg"", ""Bicycle (609).jpg"", ""Palm (141).jpg"", ""Bridge (62).jpg"", ""Bicycle (744).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 5, 8]","[""Bicycle (604).jpg"", ""Bicycle (609).jpg"", ""Bicycle (744).jpg""]",772,2,1,1000,submit,
