exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
7ced6fff601d40c4b8be118586efe25d,captcha_pre,2,2,female,2026-02-26T14:36:45.020,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
7ced6fff601d40c4b8be118586efe25d,captcha_pre,2,2,female,2026-02-26T14:36:45.053,2026-02-26T14:36:51.667,6.614,1,0,Click on the images containing bicycles.,"[""Car (71).jpg"", ""Bicycle (391).jpg"", ""Bicycle (181).jpg"", ""Bridge (101).jpg"", ""Palm (47).jpg"", ""Hydrant (79).jpg"", ""Bicycle (659).jpg"", ""Hydrant (119).jpg"", ""Palm (113).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""D"", ""D""]","[1, 2, 6, 7, 8]","[""Bicycle (391).jpg"", ""Bicycle (181).jpg"", ""Bicycle (659).jpg"", ""Hydrant (119).jpg"", ""Palm (113).jpg""]",777,1,0,1,submit,
7ced6fff601d40c4b8be118586efe25d,captcha_pre,2,2,female,2026-02-26T14:36:53.276,2026-02-26T14:36:58.058,4.782,2,0,Click on the images containing bicycles.,"[""Stair (1455).jpg"", ""Bicycle (6).jpg"", ""Bicycle (131).jpg"", ""Bicycle (153).jpg"", ""Bus (33).jpg"", ""Hydrant (22).jpg"", ""Bicycle (637).jpg"", ""Bicycle (296).jpg"", ""Tlight (105).jpg""]","[""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[1, 2, 6, 7]","[""Bicycle (6).jpg"", ""Bicycle (131).jpg"", ""Bicycle (637).jpg"", ""Bicycle (296).jpg""]",772,2,0,1,submit,
7ced6fff601d40c4b8be118586efe25d,captcha_pre,2,2,female,2026-02-26T14:36:59.666,2026-02-26T14:37:03.619,3.953,3,1,Click on the images containing bicycles.,"[""Bicycle (464).jpg"", ""Chimney (99).jpg"", ""Palm (110).jpg"", ""Bridge (94).jpg"", ""Car (58).jpg"", ""Chimney (64).jpg"", ""Bicycle (622).jpg"", ""Bicycle (225).jpg"", ""Bicycle (59).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[0, 6, 7, 8]","[""Bicycle (464).jpg"", ""Bicycle (622).jpg"", ""Bicycle (225).jpg"", ""Bicycle (59).jpg""]",768,3,1,1,submit,
7ced6fff601d40c4b8be118586efe25d,captcha_pre,2,2,female,2026-02-26T14:36:59.666,2026-02-26T14:37:04.632,4.966,3,,Click on the images containing bicycles.,[],[],[],[],768,3,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
7ced6fff601d40c4b8be118586efe25d,q_pre_captcha,2,2,female,2026-02-26T14:37:04.645,2026-02-26T14:37:06.595,1.95,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_fun"": ""4"", ""general_captcha_liking"": ""4""}"
7ced6fff601d40c4b8be118586efe25d,q_pre_idaq,2,2,female,2026-02-26T14:37:06.611,2026-02-26T14:37:09.010,2.399,,,,,,,,,,,,submit,"{""idaq_11"": ""5"", ""idaq_1"": ""5"", ""idaq_15"": ""5"", ""idaq_14"": ""5"", ""idaq_16"": ""5"", ""idaq_7"": ""5"", ""idaq_3"": ""5"", ""idaq_19"": ""5"", ""idaq_26"": ""5"", ""idaq_23"": ""5"", ""idaq_13"": ""5"", ""idaq_27"": ""5"", ""idaq_28"": ""5"", ""idaq_4"": ""5"", ""idaq_5"": ""5"", ""idaq_22"": ""5"", ""idaq_12"": ""5"", ""idaq_6"": ""5"", ""idaq_8"": ""5"", ""idaq_10"": ""5"", ""idaq_20"": ""5"", ""idaq_9"": ""5"", ""idaq_18"": ""5"", ""idaq_30"": ""5"", ""idaq_2"": ""5"", ""idaq_24"": ""5"", ""idaq_17"": ""5"", ""idaq_21"": ""5"", ""idaq_29"": ""5"", ""idaq_25"": ""5""}"
7ced6fff601d40c4b8be118586efe25d,q_pre_2050,2,2,female,2026-02-26T14:37:09.025,2026-02-26T14:37:45.647,36.622,,,,,,,,,,,,submit,"{""2050_rights"": ""5"", ""2050_sports"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_experiments"": ""5"", ""2050_other_worlds"": ""5"", ""2050_school"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_art"": ""5"", ""2050_police"": ""5"", ""2050_nursing_home"": ""5"", ""2050_hiking"": ""5"", ""2050_shelters"": ""5"", ""2050_crime"": ""5"", ""2050_mannequins"": ""5""}"
7ced6fff601d40c4b8be118586efe25d,q_post_gators,2,2,female,2026-02-26T14:44:38.216,2026-02-26T14:48:43.037,244.821,,,,,,,,,,,,submit,"{""gators_1"": ""2"", ""gators_20"": ""6"", ""gators_6"": ""2"", ""gators_3"": ""4"", ""gators_16"": ""6"", ""gators_17"": ""6"", ""gators_2"": ""2"", ""gators_9"": ""2"", ""gators_10"": ""4"", ""gators_19"": ""6"", ""gators_8"": ""3"", ""gators_11"": ""5"", ""gators_12"": ""5"", ""gators_4"": ""5"", ""gators_13"": ""5"", ""gators_14"": ""6"", ""gators_18"": ""5"", ""gators_7"": ""3"", ""gators_15"": ""4"", ""gators_5"": ""4""}"
7ced6fff601d40c4b8be118586efe25d,q_post_specific,2,2,female,2026-02-26T14:48:43.054,2026-02-26T14:49:33.976,50.922,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""7"", ""robot_empathy"": ""1"", ""conversation_interestingness"": ""1"", ""robot_friendliness"": ""4"", ""robot_likeability"": ""4""}"
7ced6fff601d40c4b8be118586efe25d,captcha_post,2,2,female,2026-02-26T14:50:35.016,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
7ced6fff601d40c4b8be118586efe25d,captcha_post,2,2,female,2026-02-26T14:50:35.043,2026-02-26T14:50:58.206,23.163,1,0,Click on the images containing bicycles.,"[""Bicycle (526).jpg"", ""Palm (74).jpg"", ""Car (105).jpg"", ""Bicycle (186).jpg"", ""Bicycle (523).jpg"", ""Bicycle (5).jpg"", ""Tlight (99).jpg"", ""Bicycle (688).jpg"", ""Car (124).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[0, 3, 5, 7]","[""Bicycle (526).jpg"", ""Bicycle (186).jpg"", ""Bicycle (5).jpg"", ""Bicycle (688).jpg""]",775,1,0,1000,submit,
7ced6fff601d40c4b8be118586efe25d,captcha_post,2,2,female,2026-02-26T14:50:59.814,2026-02-26T14:51:08.614,8.8,2,0,Click on the images containing bicycles.,"[""Bicycle (60).jpg"", ""Car (103).jpg"", ""Chimney (57).jpg"", ""Bicycle (240).jpg"", ""Bicycle (37).jpg"", ""Bicycle (167).jpg"", ""Car (67).jpg"", ""Hydrant (36).jpg"", ""Bicycle (381).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 3, 4, 8]","[""Bicycle (60).jpg"", ""Bicycle (240).jpg"", ""Bicycle (37).jpg"", ""Bicycle (381).jpg""]",770,2,0,1000,submit,
7ced6fff601d40c4b8be118586efe25d,captcha_post,2,2,female,2026-02-26T14:51:10.222,2026-02-26T14:51:18.517,8.295,3,0,Click on the images containing bicycles.,"[""Tlight (103).jpg"", ""Bicycle (236).jpg"", ""Bicycle (584).jpg"", ""Bicycle (244).jpg"", ""Bicycle (295).jpg"", ""Cross (46).jpg"", ""Bicycle (492).jpg"", ""Bridge (136).jpg"", ""Tlight (132).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D"", ""D""]","[1, 3, 6]","[""Bicycle (236).jpg"", ""Bicycle (244).jpg"", ""Bicycle (492).jpg""]",765,3,0,1000,submit,
7ced6fff601d40c4b8be118586efe25d,captcha_post,2,2,female,2026-02-26T14:51:20.126,2026-02-26T14:51:28.638,8.512,4,0,Click on the images containing bicycles.,"[""Bicycle (427).jpg"", ""Stair (408).jpg"", ""Bicycle (678).jpg"", ""Bicycle (738).jpg"", ""Hydrant (47).jpg"", ""Stair (884).jpg"", ""Bicycle (654).jpg"", ""Bicycle (670).jpg"", ""Bridge (103).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D""]","[0, 3, 6, 7]","[""Bicycle (427).jpg"", ""Bicycle (738).jpg"", ""Bicycle (654).jpg"", ""Bicycle (670).jpg""]",760,4,0,1000,submit,
7ced6fff601d40c4b8be118586efe25d,captcha_post,2,2,female,2026-02-26T14:51:30.247,2026-02-26T14:51:42.949,12.702,5,1,Click on the images containing bicycles.,"[""Bicycle (430).jpg"", ""Bicycle (761).jpg"", ""Palm (125).jpg"", ""Cross (84).jpg"", ""Tlight (55).jpg"", ""Bridge (72).jpg"", ""Stair (1134).jpg"", ""Bicycle (148).jpg"", ""Stair (243).jpg""]","[""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[0, 1, 7]","[""Bicycle (430).jpg"", ""Bicycle (761).jpg"", ""Bicycle (148).jpg""]",757,5,1,1000,submit,
