exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
d38ff879676340118ded4729a10467f4,captcha_pre,2,22,female,2026-03-05T14:24:12.666,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
d38ff879676340118ded4729a10467f4,captcha_pre,2,22,female,2026-03-05T14:24:12.699,2026-03-05T14:24:17.491,4.792,1,1,Click on the images containing bicycles.,"[""Stair (1456).jpg"", ""Palm (68).jpg"", ""Bicycle (233).jpg"", ""Bicycle (738).jpg"", ""Chimney (40).jpg"", ""Hydrant (135).jpg"", ""Car (134).jpg"", ""Bridge (122).jpg"", ""Bicycle (671).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[2, 3, 8]","[""Bicycle (233).jpg"", ""Bicycle (738).jpg"", ""Bicycle (671).jpg""]",777,1,1,1,submit,
d38ff879676340118ded4729a10467f4,captcha_pre,2,22,female,2026-03-05T14:24:12.699,2026-03-05T14:24:18.504,5.805,1,,Click on the images containing bicycles.,[],[],[],[],777,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
d38ff879676340118ded4729a10467f4,q_pre_captcha,2,22,female,2026-03-05T14:24:18.519,2026-03-05T14:24:20.484,1.965,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_difficulty"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4""}"
d38ff879676340118ded4729a10467f4,q_pre_idaq,2,22,female,2026-03-05T14:24:20.499,2026-03-05T14:24:22.548,2.049,,,,,,,,,,,,submit,"{""idaq_3"": ""5"", ""idaq_23"": ""5"", ""idaq_18"": ""5"", ""idaq_2"": ""5"", ""idaq_17"": ""5"", ""idaq_21"": ""5"", ""idaq_22"": ""5"", ""idaq_20"": ""5"", ""idaq_16"": ""5"", ""idaq_26"": ""5"", ""idaq_19"": ""5"", ""idaq_15"": ""5"", ""idaq_11"": ""5"", ""idaq_28"": ""5"", ""idaq_13"": ""5"", ""idaq_24"": ""5"", ""idaq_5"": ""5"", ""idaq_27"": ""5"", ""idaq_4"": ""5"", ""idaq_25"": ""5"", ""idaq_8"": ""5"", ""idaq_9"": ""5"", ""idaq_29"": ""5"", ""idaq_30"": ""5"", ""idaq_7"": ""5"", ""idaq_10"": ""5"", ""idaq_12"": ""5"", ""idaq_1"": ""5"", ""idaq_6"": ""5"", ""idaq_14"": ""5""}"
d38ff879676340118ded4729a10467f4,q_pre_2050,2,22,female,2026-03-05T14:24:22.564,2026-03-05T14:24:24.189,1.625,,,,,,,,,,,,submit,"{""2050_police"": ""5"", ""2050_sports"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_art"": ""5"", ""2050_hiking"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_mannequins"": ""5"", ""2050_school"": ""5"", ""2050_experiments"": ""5"", ""2050_other_worlds"": ""5"", ""2050_shelters"": ""5"", ""2050_crime"": ""5"", ""2050_rights"": ""5"", ""2050_nursing_home"": ""5"", ""2050_rubbish_collectors"": ""5""}"
d38ff879676340118ded4729a10467f4,q_post_gators,2,22,female,2026-03-05T14:24:24.205,2026-03-05T14:24:25.884,1.679,,,,,,,,,,,,submit,"{""gators_12"": ""4"", ""gators_19"": ""4"", ""gators_5"": ""4"", ""gators_17"": ""4"", ""gators_13"": ""4"", ""gators_16"": ""4"", ""gators_1"": ""4"", ""gators_18"": ""4"", ""gators_10"": ""4"", ""gators_11"": ""4"", ""gators_6"": ""4"", ""gators_20"": ""4"", ""gators_3"": ""4"", ""gators_7"": ""4"", ""gators_15"": ""4"", ""gators_9"": ""4"", ""gators_4"": ""4"", ""gators_14"": ""4"", ""gators_8"": ""4"", ""gators_2"": ""4""}"
d38ff879676340118ded4729a10467f4,q_post_specific,2,22,female,2026-03-05T14:24:25.901,2026-03-05T14:24:27.203,1.302,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""robot_friendliness"": ""4"", ""conversation_interestingness"": ""4""}"
d38ff879676340118ded4729a10467f4,captcha_post,2,22,female,2026-03-05T14:24:28.320,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
d38ff879676340118ded4729a10467f4,captcha_post,2,22,female,2026-03-05T14:24:28.357,2026-03-05T14:24:36.834,8.477,1,1,Click on the images containing bicycles.,"[""Cross (88).jpg"", ""Hydrant (113).jpg"", ""Cross (60).jpg"", ""Stair (973).jpg"", ""Bus (94).jpg"", ""Bicycle (375).jpg"", ""Bicycle (138).jpg"", ""Bridge (88).jpg"", ""Bicycle (483).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 6, 8]","[""Bicycle (375).jpg"", ""Bicycle (138).jpg"", ""Bicycle (483).jpg""]",777,1,1,1000,submit,
