exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
b8283adc42ea4987bca18c206633c302,captcha_pre,3,3,female,2026-02-18T09:14:58.255,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
b8283adc42ea4987bca18c206633c302,captcha_pre,3,3,female,2026-02-18T09:14:58.278,2026-02-18T09:15:11.511,13.233,1,0,Click on the images containing bicycles.,"[""Bicycle (38).jpg"", ""Cross (98).jpg"", ""Tlight (52).jpg"", ""Bicycle (617).jpg"", ""Palm (96).jpg"", ""Bus (119).jpg"", ""Bicycle (735).jpg"", ""Palm (13).jpg"", ""Bicycle (116).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 3, 8]","[""Bicycle (38).jpg"", ""Bicycle (617).jpg"", ""Bicycle (116).jpg""]",776,1,0,1,submit,
b8283adc42ea4987bca18c206633c302,captcha_pre,3,3,female,2026-02-18T09:24:38.414,2026-02-18T09:26:22.693,104.279,3,1,Click on the images containing bicycles.,"[""Bicycle (479).jpg"", ""Bicycle (729).jpg"", ""Cross (68).jpg"", ""Palm (95).jpg"", ""Bicycle (366).jpg"", ""Car (131).jpg"", ""Bus (101).jpg"", ""Palm (113).jpg"", ""Stair (243).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 4]","[""Bicycle (479).jpg"", ""Bicycle (729).jpg"", ""Bicycle (366).jpg""]",768,2,1,1,submit,
b8283adc42ea4987bca18c206633c302,captcha_pre,3,3,female,2026-02-18T09:24:38.414,2026-02-18T09:26:23.407,104.993,3,,Click on the images containing bicycles.,[],[],[],[],768,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
b8283adc42ea4987bca18c206633c302,q_pre_captcha,3,3,female,2026-02-18T09:26:23.420,2026-02-18T09:26:27.481,4.061,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""captcha_task_enjoyment"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_fun"": ""4""}"
b8283adc42ea4987bca18c206633c302,q_pre_idaq,3,3,female,2026-02-18T09:26:27.492,2026-02-18T09:26:29.910,2.418,,,,,,,,,,,,submit,"{""idaq_23"": ""5"", ""idaq_1"": ""5"", ""idaq_5"": ""5"", ""idaq_20"": ""5"", ""idaq_7"": ""5"", ""idaq_24"": ""5"", ""idaq_22"": ""5"", ""idaq_15"": ""5"", ""idaq_2"": ""5"", ""idaq_21"": ""5"", ""idaq_12"": ""5"", ""idaq_13"": ""5"", ""idaq_25"": ""5"", ""idaq_14"": ""5"", ""idaq_3"": ""5"", ""idaq_30"": ""5"", ""idaq_18"": ""5"", ""idaq_17"": ""5"", ""idaq_29"": ""5"", ""idaq_6"": ""5"", ""idaq_4"": ""5"", ""idaq_19"": ""5"", ""idaq_16"": ""5"", ""idaq_26"": ""5"", ""idaq_27"": ""5"", ""idaq_11"": ""5"", ""idaq_10"": ""5"", ""idaq_28"": ""5"", ""idaq_9"": ""5"", ""idaq_8"": ""5""}"
b8283adc42ea4987bca18c206633c302,q_pre_2050,3,3,female,2026-02-18T09:26:29.923,2026-02-18T09:26:32.080,2.157,,,,,,,,,,,,submit,"{""2050_other_worlds"": ""5"", ""2050_shelters"": ""5"", ""2050_mannequins"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_nursing_home"": ""5"", ""2050_rights"": ""5"", ""2050_art"": ""5"", ""2050_police"": ""5"", ""2050_school"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_sports"": ""5"", ""2050_experiments"": ""5"", ""2050_hiking"": ""5"", ""2050_crime"": ""5""}"
b8283adc42ea4987bca18c206633c302,q_post_gators,3,3,female,2026-02-18T09:26:33.990,2026-02-18T09:26:36.380,2.39,,,,,,,,,,,,submit,"{""gators_20"": ""4"", ""gators_14"": ""4"", ""gators_8"": ""4"", ""gators_16"": ""4"", ""gators_4"": ""4"", ""gators_9"": ""4"", ""gators_5"": ""4"", ""gators_6"": ""4"", ""gators_18"": ""4"", ""gators_15"": ""4"", ""gators_1"": ""4"", ""gators_12"": ""4"", ""gators_7"": ""4"", ""gators_2"": ""4"", ""gators_19"": ""4"", ""gators_13"": ""4"", ""gators_11"": ""4"", ""gators_17"": ""4"", ""gators_10"": ""4"", ""gators_3"": ""4""}"
b8283adc42ea4987bca18c206633c302,q_post_specific,3,3,female,2026-02-18T09:26:36.391,2026-02-18T09:26:38.510,2.119,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4""}"
b8283adc42ea4987bca18c206633c302,captcha_post,3,3,female,2026-02-18T09:26:39.771,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
b8283adc42ea4987bca18c206633c302,captcha_post,3,3,female,2026-02-18T09:26:39.791,2026-02-18T09:27:03.345,23.554,1,1,Click on the images containing bicycles.,"[""Bicycle (532).jpg"", ""Chimney (18).jpg"", ""Bicycle (483).jpg"", ""Tlight (12).jpg"", ""Bicycle (139).jpg"", ""Bridge (23).jpg"", ""Chimney (17).jpg"", ""Cross (115).jpg"", ""Tlight (53).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D""]","[0, 2, 4]","[""Bicycle (532).jpg"", ""Bicycle (483).jpg"", ""Bicycle (139).jpg""]",777,1,1,1000,submit,
b8283adc42ea4987bca18c206633c302,captcha_post,3,3,female,2026-02-18T09:27:04.055,2026-02-18T09:27:14.835,10.78,2,0,Click on the images containing bicycles.,"[""Tlight (88).jpg"", ""Car (98).jpg"", ""Bicycle (632).jpg"", ""Bridge (94).jpg"", ""Bicycle (553).jpg"", ""Bicycle (555).jpg"", ""Hydrant (139).jpg"", ""Bus (50).jpg"", ""Bicycle (456).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[0, 2, 4, 8]","[""Tlight (88).jpg"", ""Bicycle (632).jpg"", ""Bicycle (553).jpg"", ""Bicycle (456).jpg""]",773,2,1,1000,submit,
