exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
c56e0d9902bf4252b17dc2115479bfd0,captcha_pre,3,3,female,2026-02-24T13:44:47.463,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
c56e0d9902bf4252b17dc2115479bfd0,captcha_pre,3,3,female,2026-02-24T13:44:47.494,2026-02-24T13:44:58.505,11.011,1,0,Click on the images containing bicycles.,"[""Bicycle (50).jpg"", ""Hydrant (115).jpg"", ""Bicycle (772).jpg"", ""Palm (126).jpg"", ""Tlight (125).jpg"", ""Stair (363).jpg"", ""Hydrant (48).jpg"", ""Bicycle (187).jpg"", ""Bicycle (528).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 2, 7]","[""Bicycle (50).jpg"", ""Bicycle (772).jpg"", ""Bicycle (187).jpg""]",776,1,0,1,submit,
c56e0d9902bf4252b17dc2115479bfd0,captcha_pre,3,3,female,2026-02-24T13:45:00.012,2026-02-24T13:45:04.582,4.57,2,0,Click on the images containing bicycles.,"[""Palm (91).jpg"", ""Bicycle (359).jpg"", ""Car (75).jpg"", ""Bicycle (330).jpg"", ""Bicycle (371).jpg"", ""Bicycle (484).jpg"", ""Cross (103).jpg"", ""Palm (87).jpg"", ""Bicycle (249).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 4, 8]","[""Bicycle (359).jpg"", ""Bicycle (330).jpg"", ""Bicycle (371).jpg"", ""Bicycle (249).jpg""]",771,2,0,1,submit,
c56e0d9902bf4252b17dc2115479bfd0,captcha_pre,3,3,female,2026-02-24T13:45:06.091,2026-02-24T13:45:11.463,5.372,3,1,Click on the images containing bicycles.,"[""Bicycle (734).jpg"", ""Bus (129).jpg"", ""Bicycle (8).jpg"", ""Bridge (60).jpg"", ""Bridge (117).jpg"", ""Cross (1).jpg"", ""Tlight (62).jpg"", ""Bridge (125).jpg"", ""Bicycle (446).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 8]","[""Bicycle (734).jpg"", ""Bicycle (8).jpg"", ""Bicycle (446).jpg""]",768,3,1,1,submit,
c56e0d9902bf4252b17dc2115479bfd0,captcha_pre,3,3,female,2026-02-24T13:45:06.091,2026-02-24T13:45:12.975,6.884,3,,Click on the images containing bicycles.,[],[],[],[],768,3,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
c56e0d9902bf4252b17dc2115479bfd0,q_pre_captcha,3,3,female,2026-02-24T13:45:12.992,2026-02-24T13:45:19.713,6.721,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_difficulty"": ""4""}"
c56e0d9902bf4252b17dc2115479bfd0,q_pre_idaq,3,3,female,2026-02-24T13:45:19.728,2026-02-24T13:45:22.560,2.832,,,,,,,,,,,,submit,"{""idaq_2"": ""5"", ""idaq_6"": ""5"", ""idaq_19"": ""5"", ""idaq_25"": ""5"", ""idaq_7"": ""5"", ""idaq_30"": ""5"", ""idaq_17"": ""5"", ""idaq_4"": ""5"", ""idaq_27"": ""5"", ""idaq_22"": ""5"", ""idaq_24"": ""5"", ""idaq_26"": ""5"", ""idaq_12"": ""5"", ""idaq_5"": ""5"", ""idaq_29"": ""5"", ""idaq_23"": ""5"", ""idaq_18"": ""5"", ""idaq_21"": ""5"", ""idaq_15"": ""5"", ""idaq_3"": ""5"", ""idaq_14"": ""5"", ""idaq_16"": ""5"", ""idaq_1"": ""5"", ""idaq_8"": ""5"", ""idaq_11"": ""5"", ""idaq_28"": ""5"", ""idaq_13"": ""5"", ""idaq_20"": ""5"", ""idaq_9"": ""5"", ""idaq_10"": ""5""}"
c56e0d9902bf4252b17dc2115479bfd0,q_pre_2050,3,3,female,2026-02-24T13:45:22.575,2026-02-24T13:45:23.939,1.364,,,,,,,,,,,,submit,"{""2050_nursing_home"": ""5"", ""2050_shelters"": ""5"", ""2050_mannequins"": ""5"", ""2050_other_worlds"": ""5"", ""2050_hiking"": ""5"", ""2050_sports"": ""5"", ""2050_school"": ""5"", ""2050_rights"": ""5"", ""2050_experiments"": ""5"", ""2050_police"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_art"": ""5"", ""2050_crime"": ""5""}"
c56e0d9902bf4252b17dc2115479bfd0,q_post_gators,3,3,female,2026-02-24T13:45:23.954,2026-02-24T13:45:25.684,1.73,,,,,,,,,,,,submit,"{""gators_2"": ""4"", ""gators_10"": ""4"", ""gators_3"": ""4"", ""gators_16"": ""4"", ""gators_6"": ""4"", ""gators_7"": ""4"", ""gators_11"": ""4"", ""gators_5"": ""4"", ""gators_14"": ""4"", ""gators_12"": ""4"", ""gators_18"": ""4"", ""gators_8"": ""4"", ""gators_1"": ""4"", ""gators_19"": ""4"", ""gators_17"": ""4"", ""gators_13"": ""4"", ""gators_4"": ""4"", ""gators_20"": ""4"", ""gators_9"": ""4"", ""gators_15"": ""4""}"
c56e0d9902bf4252b17dc2115479bfd0,q_post_specific,3,3,female,2026-02-24T13:45:25.700,2026-02-24T13:45:27.264,1.564,,,,,,,,,,,,submit,"{""robot_likeability"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""conversation_interestingness"": ""4"", ""robot_empathy"": ""4"", ""robot_friendliness"": ""4""}"
c56e0d9902bf4252b17dc2115479bfd0,captcha_post,3,3,female,2026-02-24T13:45:28.527,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
c56e0d9902bf4252b17dc2115479bfd0,captcha_post,3,3,female,2026-02-24T13:45:28.563,2026-02-24T13:45:34.782,6.219,1,1,Click on the images containing bicycles.,"[""Bicycle (361).jpg"", ""Bus (74).jpg"", ""Bicycle (477).jpg"", ""Bus (111).jpg"", ""Bicycle (445).jpg"", ""Cross (25).jpg"", ""Bicycle (349).jpg"", ""Bicycle (179).jpg"", ""Car (76).jpg""]","[""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[0, 2, 4, 6, 7]","[""Bicycle (361).jpg"", ""Bicycle (477).jpg"", ""Bicycle (445).jpg"", ""Bicycle (349).jpg"", ""Bicycle (179).jpg""]",775,1,1,1000,submit,
