exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
8a2b148d86ea40f0baa141fb36207028,captcha_pre,3,3,other,2026-02-24T13:54:51.120,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
8a2b148d86ea40f0baa141fb36207028,captcha_pre,3,3,other,2026-02-24T13:54:51.162,2026-02-24T13:54:54.102,2.94,1,0,Click on the images containing bicycles.,"[""Stair (1368).jpg"", ""Bicycle (116).jpg"", ""Hydrant (140).jpg"", ""Cross (98).jpg"", ""Bus (41).jpg"", ""Bridge (92).jpg"", ""Bicycle (34).jpg"", ""Palm (120).jpg"", ""Bicycle (624).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]","[0, 4]","[""Stair (1368).jpg"", ""Bus (41).jpg""]",777,1,0,1,submit,
8a2b148d86ea40f0baa141fb36207028,captcha_pre,3,3,other,2026-02-24T13:54:55.711,2026-02-24T13:55:00.530,4.819,2,1,Click on the images containing bicycles.,"[""Hydrant (128).jpg"", ""Bicycle (94).jpg"", ""Bicycle (455).jpg"", ""Car (34).jpg"", ""Bridge (78).jpg"", ""Tlight (1).jpg"", ""Hydrant (119).jpg"", ""Bicycle (29).jpg"", ""Chimney (74).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 7]","[""Bicycle (94).jpg"", ""Bicycle (455).jpg"", ""Bicycle (29).jpg""]",774,2,1,1,submit,
8a2b148d86ea40f0baa141fb36207028,captcha_pre,3,3,other,2026-02-24T13:54:55.711,2026-02-24T13:55:01.543,5.832,2,,Click on the images containing bicycles.,[],[],[],[],774,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
8a2b148d86ea40f0baa141fb36207028,q_pre_captcha,3,3,other,2026-02-24T13:55:01.559,2026-02-24T13:55:04.939,3.38,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_difficulty"": ""4""}"
8a2b148d86ea40f0baa141fb36207028,q_pre_idaq,3,3,other,2026-02-24T13:55:04.956,2026-02-24T13:55:06.786,1.83,,,,,,,,,,,,submit,"{""idaq_11"": ""5"", ""idaq_1"": ""5"", ""idaq_16"": ""5"", ""idaq_18"": ""5"", ""idaq_6"": ""5"", ""idaq_5"": ""5"", ""idaq_20"": ""5"", ""idaq_19"": ""5"", ""idaq_4"": ""5"", ""idaq_14"": ""5"", ""idaq_8"": ""5"", ""idaq_26"": ""5"", ""idaq_17"": ""5"", ""idaq_30"": ""5"", ""idaq_22"": ""5"", ""idaq_2"": ""5"", ""idaq_27"": ""5"", ""idaq_12"": ""5"", ""idaq_9"": ""5"", ""idaq_24"": ""5"", ""idaq_10"": ""5"", ""idaq_13"": ""5"", ""idaq_7"": ""5"", ""idaq_15"": ""5"", ""idaq_29"": ""5"", ""idaq_28"": ""5"", ""idaq_21"": ""5"", ""idaq_3"": ""5"", ""idaq_25"": ""5"", ""idaq_23"": ""5""}"
8a2b148d86ea40f0baa141fb36207028,q_pre_2050,3,3,other,2026-02-24T13:55:06.802,2026-02-24T13:55:08.055,1.253,,,,,,,,,,,,submit,"{""2050_art"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_crime"": ""5"", ""2050_other_worlds"": ""5"", ""2050_hiking"": ""5"", ""2050_rights"": ""5"", ""2050_school"": ""5"", ""2050_shelters"": ""5"", ""2050_experiments"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_police"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_sports"": ""5"", ""2050_nursing_home"": ""5"", ""2050_mannequins"": ""5""}"
8a2b148d86ea40f0baa141fb36207028,q_post_gators,3,3,other,2026-02-24T13:55:08.067,2026-02-24T13:55:10.086,2.019,,,,,,,,,,,,submit,"{""gators_16"": ""4"", ""gators_8"": ""4"", ""gators_3"": ""4"", ""gators_17"": ""4"", ""gators_11"": ""4"", ""gators_13"": ""4"", ""gators_10"": ""4"", ""gators_15"": ""4"", ""gators_12"": ""4"", ""gators_2"": ""4"", ""gators_7"": ""4"", ""gators_4"": ""4"", ""gators_9"": ""4"", ""gators_19"": ""4"", ""gators_14"": ""4"", ""gators_20"": ""4"", ""gators_5"": ""4"", ""gators_18"": ""4"", ""gators_1"": ""4"", ""gators_6"": ""4""}"
8a2b148d86ea40f0baa141fb36207028,q_post_specific,3,3,other,2026-02-24T13:55:10.098,2026-02-24T13:55:11.283,1.185,,,,,,,,,,,,submit,"{""robot_likeability"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4"", ""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4""}"
8a2b148d86ea40f0baa141fb36207028,captcha_post,3,3,other,2026-02-24T13:55:13.524,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
8a2b148d86ea40f0baa141fb36207028,captcha_post,3,3,other,2026-02-24T13:55:13.560,2026-02-24T13:55:19.746,6.186,1,1,Click on the images containing bicycles.,"[""Car (113).jpg"", ""Chimney (52).jpg"", ""Bicycle (776).jpg"", ""Hydrant (34).jpg"", ""Bicycle (286).jpg"", ""Car (21).jpg"", ""Tlight (83).jpg"", ""Car (55).jpg"", ""Bicycle (729).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T""]","[2, 4, 8]","[""Bicycle (776).jpg"", ""Bicycle (286).jpg"", ""Bicycle (729).jpg""]",777,1,1,1000,submit,
8a2b148d86ea40f0baa141fb36207028,captcha_post,3,3,other,2026-02-24T13:55:20.755,2026-02-24T13:55:27.362,6.607,2,1,Click on the images containing bicycles.,"[""Bicycle (635).jpg"", ""Chimney (118).jpg"", ""Tlight (131).jpg"", ""Bicycle (262).jpg"", ""Car (119).jpg"", ""Bicycle (278).jpg"", ""Tlight (63).jpg"", ""Tlight (84).jpg"", ""Stair (483).jpg""]","[""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D""]","[0, 3, 5]","[""Bicycle (635).jpg"", ""Bicycle (262).jpg"", ""Bicycle (278).jpg""]",774,2,2,1000,submit,
8a2b148d86ea40f0baa141fb36207028,captcha_post,3,3,other,2026-02-24T13:55:28.370,2026-02-24T13:55:32.402,4.032,3,1,Click on the images containing bicycles.,"[""Car (82).jpg"", ""Stair (1240).jpg"", ""Bicycle (682).jpg"", ""Bicycle (129).jpg"", ""Stair (1237).jpg"", ""Bicycle (499).jpg"", ""Stair (58).jpg"", ""Bicycle (127).jpg"", ""Bus (138).jpg""]","[""D"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 3, 5, 7]","[""Bicycle (682).jpg"", ""Bicycle (129).jpg"", ""Bicycle (499).jpg"", ""Bicycle (127).jpg""]",770,3,3,1000,submit,
8a2b148d86ea40f0baa141fb36207028,captcha_post,3,3,other,2026-02-24T13:55:33.411,2026-02-24T13:55:36.842,3.431,4,1,Click on the images containing bicycles.,"[""Bridge (57).jpg"", ""Bus (48).jpg"", ""Bicycle (772).jpg"", ""Stair (38).jpg"", ""Bicycle (234).jpg"", ""Bicycle (98).jpg"", ""Palm (97).jpg"", ""Bicycle (293).jpg"", ""Tlight (42).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[2, 4, 5, 7]","[""Bicycle (772).jpg"", ""Bicycle (234).jpg"", ""Bicycle (98).jpg"", ""Bicycle (293).jpg""]",766,4,4,1000,submit,
