exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
4dbac36a88384f74890f9dd545260587,captcha_pre,3,3,female,2026-02-24T14:47:15.936,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
4dbac36a88384f74890f9dd545260587,captcha_pre,3,3,female,2026-02-24T14:47:15.978,2026-02-24T14:47:22.638,6.66,1,0,Click on the images containing bicycles.,"[""Stair (1037).jpg"", ""Bicycle (407).jpg"", ""Bicycle (548).jpg"", ""Bridge (36).jpg"", ""Chimney (19).jpg"", ""Bicycle (590).jpg"", ""Cross (24).jpg"", ""Bicycle (454).jpg"", ""Palm (43).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""T"", ""D""]","[2, 5, 7]","[""Bicycle (548).jpg"", ""Bicycle (590).jpg"", ""Bicycle (454).jpg""]",776,1,0,1,submit,
4dbac36a88384f74890f9dd545260587,captcha_pre,3,3,female,2026-02-24T14:47:24.246,2026-02-24T14:47:29.277,5.031,2,1,Click on the images containing bicycles.,"[""Car (125).jpg"", ""Bicycle (25).jpg"", ""Palm (44).jpg"", ""Palm (75).jpg"", ""Palm (16).jpg"", ""Tlight (114).jpg"", ""Bus (121).jpg"", ""Bicycle (153).jpg"", ""Bicycle (649).jpg""]","[""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[1, 7, 8]","[""Bicycle (25).jpg"", ""Bicycle (153).jpg"", ""Bicycle (649).jpg""]",773,2,1,1,submit,
4dbac36a88384f74890f9dd545260587,captcha_pre,3,3,female,2026-02-24T14:47:24.246,2026-02-24T14:47:30.290,6.044,2,,Click on the images containing bicycles.,[],[],[],[],773,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
4dbac36a88384f74890f9dd545260587,q_pre_captcha,3,3,female,2026-02-24T14:47:30.305,2026-02-24T14:47:32.440,2.135,,,,,,,,,,,,submit,"{""captcha_task_difficulty"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_fun"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4""}"
4dbac36a88384f74890f9dd545260587,q_pre_idaq,3,3,female,2026-02-24T14:47:32.455,2026-02-24T14:47:34.751,2.296,,,,,,,,,,,,submit,"{""idaq_11"": ""5"", ""idaq_15"": ""5"", ""idaq_10"": ""5"", ""idaq_3"": ""5"", ""idaq_14"": ""5"", ""idaq_21"": ""5"", ""idaq_16"": ""5"", ""idaq_30"": ""5"", ""idaq_2"": ""5"", ""idaq_7"": ""5"", ""idaq_12"": ""5"", ""idaq_6"": ""5"", ""idaq_18"": ""5"", ""idaq_1"": ""5"", ""idaq_24"": ""5"", ""idaq_27"": ""5"", ""idaq_23"": ""5"", ""idaq_5"": ""5"", ""idaq_29"": ""5"", ""idaq_20"": ""5"", ""idaq_28"": ""5"", ""idaq_25"": ""5"", ""idaq_22"": ""5"", ""idaq_9"": ""5"", ""idaq_8"": ""5"", ""idaq_26"": ""5"", ""idaq_17"": ""5"", ""idaq_4"": ""5"", ""idaq_13"": ""5"", ""idaq_19"": ""5""}"
4dbac36a88384f74890f9dd545260587,q_pre_2050,3,3,female,2026-02-24T14:47:34.766,2026-02-24T14:47:36.531,1.765,,,,,,,,,,,,submit,"{""2050_rubbish_collectors"": ""5"", ""2050_mannequins"": ""5"", ""2050_sports"": ""5"", ""2050_school"": ""5"", ""2050_police"": ""5"", ""2050_hiking"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_other_worlds"": ""5"", ""2050_art"": ""5"", ""2050_crime"": ""5"", ""2050_rights"": ""5"", ""2050_experiments"": ""5"", ""2050_shelters"": ""5"", ""2050_nursing_home"": ""5"", ""2050_neurosurgery"": ""5""}"
4dbac36a88384f74890f9dd545260587,q_post_gators,3,3,female,2026-02-24T14:47:36.540,2026-02-24T14:47:37.880,1.34,,,,,,,,,,,,submit,"{""gators_1"": ""4"", ""gators_8"": ""4"", ""gators_16"": ""4"", ""gators_4"": ""4"", ""gators_3"": ""4"", ""gators_11"": ""4"", ""gators_9"": ""4"", ""gators_10"": ""4"", ""gators_12"": ""4"", ""gators_17"": ""4"", ""gators_5"": ""4"", ""gators_13"": ""4"", ""gators_2"": ""4"", ""gators_14"": ""4"", ""gators_7"": ""4"", ""gators_18"": ""4"", ""gators_6"": ""4"", ""gators_20"": ""4"", ""gators_15"": ""4"", ""gators_19"": ""4""}"
4dbac36a88384f74890f9dd545260587,q_post_specific,3,3,female,2026-02-24T14:47:37.891,2026-02-24T14:47:39.112,1.221,,,,,,,,,,,,submit,"{""robot_empathy"": ""4"", ""robot_friendliness"": ""4"", ""robot_likeability"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""conversation_interestingness"": ""4""}"
4dbac36a88384f74890f9dd545260587,captcha_post,3,3,female,2026-02-24T14:47:40.804,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
4dbac36a88384f74890f9dd545260587,captcha_post,3,3,female,2026-02-24T14:47:40.830,2026-02-24T14:47:48.164,7.334,1,0,Click on the images containing bicycles.,"[""Bicycle (434).jpg"", ""Bicycle (336).jpg"", ""Hydrant (128).jpg"", ""Bicycle (281).jpg"", ""Tlight (99).jpg"", ""Stair (282).jpg"", ""Chimney (56).jpg"", ""Palm (136).jpg"", ""Bridge (50).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D""]","[0, 1, 3, 7]","[""Bicycle (434).jpg"", ""Bicycle (336).jpg"", ""Bicycle (281).jpg"", ""Palm (136).jpg""]",777,1,0,1000,submit,
4dbac36a88384f74890f9dd545260587,captcha_post,3,3,female,2026-02-24T14:47:49.772,2026-02-24T14:47:54.333,4.561,2,0,Click on the images containing bicycles.,"[""Bicycle (678).jpg"", ""Bicycle (537).jpg"", ""Bicycle (161).jpg"", ""Hydrant (118).jpg"", ""Cross (63).jpg"", ""Palm (77).jpg"", ""Bus (86).jpg"", ""Bicycle (485).jpg"", ""Bicycle (704).jpg""]","[""T"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 7, 8]","[""Bicycle (678).jpg"", ""Bicycle (537).jpg"", ""Bicycle (485).jpg"", ""Bicycle (704).jpg""]",772,2,0,1000,submit,
