exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
e51ad08e755348eb8c566016a30a1112,captcha_pre,3,23,other,2026-03-05T14:25:30.634,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
e51ad08e755348eb8c566016a30a1112,captcha_pre,3,23,other,2026-03-05T14:25:30.668,2026-03-05T14:25:33.947,3.279,1,1,Click on the images containing bicycles.,"[""Bicycle (485).jpg"", ""Bicycle (549).jpg"", ""Stair (705).jpg"", ""Bicycle (428).jpg"", ""Bus (126).jpg"", ""Cross (17).jpg"", ""Cross (67).jpg"", ""Bicycle (590).jpg"", ""Bicycle (761).jpg""]","[""T"", ""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T""]","[0, 1, 3, 7, 8]","[""Bicycle (485).jpg"", ""Bicycle (549).jpg"", ""Bicycle (428).jpg"", ""Bicycle (590).jpg"", ""Bicycle (761).jpg""]",775,1,1,1,submit,
e51ad08e755348eb8c566016a30a1112,captcha_pre,3,23,other,2026-03-05T14:25:30.668,2026-03-05T14:25:34.962,4.294,1,,Click on the images containing bicycles.,[],[],[],[],775,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
e51ad08e755348eb8c566016a30a1112,q_pre_captcha,3,23,other,2026-03-05T14:25:34.978,2026-03-05T14:25:37.130,2.152,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_difficulty"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_meaningfulness"": ""4""}"
e51ad08e755348eb8c566016a30a1112,q_pre_idaq,3,23,other,2026-03-05T14:25:37.149,2026-03-05T14:25:39.177,2.028,,,,,,,,,,,,submit,"{""idaq_3"": ""5"", ""idaq_23"": ""5"", ""idaq_18"": ""5"", ""idaq_2"": ""5"", ""idaq_17"": ""5"", ""idaq_21"": ""5"", ""idaq_22"": ""5"", ""idaq_20"": ""5"", ""idaq_16"": ""5"", ""idaq_26"": ""5"", ""idaq_19"": ""5"", ""idaq_15"": ""5"", ""idaq_11"": ""5"", ""idaq_28"": ""5"", ""idaq_13"": ""5"", ""idaq_24"": ""5"", ""idaq_5"": ""5"", ""idaq_27"": ""5"", ""idaq_4"": ""5"", ""idaq_25"": ""5"", ""idaq_8"": ""5"", ""idaq_9"": ""5"", ""idaq_29"": ""5"", ""idaq_30"": ""5"", ""idaq_7"": ""5"", ""idaq_10"": ""5"", ""idaq_12"": ""5"", ""idaq_1"": ""5"", ""idaq_6"": ""5"", ""idaq_14"": ""5""}"
e51ad08e755348eb8c566016a30a1112,q_pre_2050,3,23,other,2026-03-05T14:25:39.191,2026-03-05T14:25:40.854,1.663,,,,,,,,,,,,submit,"{""2050_police"": ""5"", ""2050_sports"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_art"": ""5"", ""2050_hiking"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_mannequins"": ""5"", ""2050_school"": ""5"", ""2050_experiments"": ""5"", ""2050_other_worlds"": ""5"", ""2050_shelters"": ""5"", ""2050_crime"": ""5"", ""2050_rights"": ""5"", ""2050_nursing_home"": ""5"", ""2050_rubbish_collectors"": ""5""}"
e51ad08e755348eb8c566016a30a1112,q_post_gators,3,23,other,2026-03-05T14:25:40.867,2026-03-05T14:25:42.451,1.584,,,,,,,,,,,,submit,"{""gators_12"": ""4"", ""gators_19"": ""4"", ""gators_5"": ""4"", ""gators_17"": ""4"", ""gators_13"": ""4"", ""gators_16"": ""4"", ""gators_1"": ""4"", ""gators_18"": ""4"", ""gators_10"": ""4"", ""gators_11"": ""4"", ""gators_6"": ""4"", ""gators_20"": ""4"", ""gators_3"": ""4"", ""gators_7"": ""4"", ""gators_15"": ""4"", ""gators_9"": ""4"", ""gators_4"": ""4"", ""gators_14"": ""4"", ""gators_8"": ""4"", ""gators_2"": ""4""}"
e51ad08e755348eb8c566016a30a1112,q_post_specific,3,23,other,2026-03-05T14:25:42.466,2026-03-05T14:25:43.948,1.482,,,,,,,,,,,,submit,"{""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4"", ""robot_likeability"": ""4"", ""robot_friendliness"": ""4"", ""conversation_interestingness"": ""4""}"
e51ad08e755348eb8c566016a30a1112,captcha_post,3,23,other,2026-03-05T14:25:44.952,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
e51ad08e755348eb8c566016a30a1112,captcha_post,3,23,other,2026-03-05T14:25:44.980,2026-03-05T14:25:48.497,3.517,1,1,Click on the images containing bicycles.,"[""Stair (312).jpg"", ""Bicycle (214).jpg"", ""Bicycle (171).jpg"", ""Tlight (137).jpg"", ""Cross (57).jpg"", ""Bus (95).jpg"", ""Chimney (76).jpg"", ""Cross (35).jpg"", ""Bicycle (563).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[1, 2, 8]","[""Bicycle (214).jpg"", ""Bicycle (171).jpg"", ""Bicycle (563).jpg""]",777,1,1,1000,submit,
