exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:58:07.230,,,0,,Click on the images containing bicycles.,,,,,780,0,0,10,enter,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:58:07.254,2026-02-19T13:58:19.328,12.074,1,0,Click on the images containing bicycles.,"[""Bicycle (324).jpg"", ""Bus (72).jpg"", ""Bicycle (130).jpg"", ""Bus (43).jpg"", ""Cross (41).jpg"", ""Cross (114).jpg"", ""Hydrant (44).jpg"", ""Bridge (129).jpg"", ""Bicycle (522).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2]","[""Bicycle (324).jpg"", ""Bicycle (130).jpg""]",777,1,0,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:58:20.037,2026-02-19T13:58:36.587,16.55,2,1,Click on the images containing bicycles.,"[""Bicycle (366).jpg"", ""Bus (86).jpg"", ""Bicycle (459).jpg"", ""Bicycle (81).jpg"", ""Bus (29).jpg"", ""Chimney (124).jpg"", ""Car (96).jpg"", ""Hydrant (110).jpg"", ""Bicycle (322).jpg""]","[""T"", ""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""D"", ""T""]","[0, 2, 3, 8]","[""Bicycle (366).jpg"", ""Bicycle (459).jpg"", ""Bicycle (81).jpg"", ""Bicycle (322).jpg""]",773,2,1,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:58:37.296,2026-02-19T13:58:45.675,8.379,3,1,Click on the images containing bicycles.,"[""Bicycle (218).jpg"", ""Car (129).jpg"", ""Tlight (8).jpg"", ""Bicycle (326).jpg"", ""Bicycle (652).jpg"", ""Chimney (18).jpg"", ""Tlight (130).jpg"", ""Bicycle (155).jpg"", ""Bus (100).jpg""]","[""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[0, 3, 4, 7]","[""Bicycle (218).jpg"", ""Bicycle (326).jpg"", ""Bicycle (652).jpg"", ""Bicycle (155).jpg""]",769,3,2,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:58:46.384,2026-02-19T13:58:56.499,10.115,4,1,Click on the images containing bicycles.,"[""Bicycle (653).jpg"", ""Bicycle (111).jpg"", ""Tlight (20).jpg"", ""Bridge (132).jpg"", ""Bicycle (607).jpg"", ""Bicycle (447).jpg"", ""Bicycle (752).jpg"", ""Chimney (43).jpg"", ""Chimney (118).jpg""]","[""T"", ""T"", ""D"", ""D"", ""T"", ""T"", ""T"", ""D"", ""D""]","[0, 1, 4, 5, 6]","[""Bicycle (653).jpg"", ""Bicycle (111).jpg"", ""Bicycle (607).jpg"", ""Bicycle (447).jpg"", ""Bicycle (752).jpg""]",764,4,3,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:58:57.208,2026-02-19T13:59:10.363,13.155,5,1,Click on the images containing bicycles.,"[""Bicycle (549).jpg"", ""Tlight (51).jpg"", ""Bicycle (132).jpg"", ""Stair (1335).jpg"", ""Tlight (133).jpg"", ""Bicycle (190).jpg"", ""Bicycle (123).jpg"", ""Hydrant (105).jpg"", ""Hydrant (33).jpg""]","[""T"", ""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D""]","[0, 2, 5, 6]","[""Bicycle (549).jpg"", ""Bicycle (132).jpg"", ""Bicycle (190).jpg"", ""Bicycle (123).jpg""]",760,5,4,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:59:11.072,2026-02-19T13:59:24.261,13.189,6,0,Click on the images containing bicycles.,"[""Bicycle (313).jpg"", ""Bus (110).jpg"", ""Car (59).jpg"", ""Hydrant (30).jpg"", ""Stair (408).jpg"", ""Tlight (129).jpg"", ""Bicycle (670).jpg"", ""Palm (97).jpg"", ""Bicycle (642).jpg""]","[""T"", ""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""D"", ""T""]",[6],"[""Bicycle (670).jpg""]",757,6,4,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:59:24.970,2026-02-19T13:59:32.915,7.945,7,1,Click on the images containing bicycles.,"[""Bus (133).jpg"", ""Chimney (13).jpg"", ""Bicycle (202).jpg"", ""Car (71).jpg"", ""Bicycle (723).jpg"", ""Palm (96).jpg"", ""Bicycle (651).jpg"", ""Bicycle (634).jpg"", ""Bus (66).jpg""]","[""D"", ""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""T"", ""D""]","[2, 4, 6, 7]","[""Bicycle (202).jpg"", ""Bicycle (723).jpg"", ""Bicycle (651).jpg"", ""Bicycle (634).jpg""]",753,7,5,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:59:33.625,2026-02-19T13:59:41.123,7.498,8,1,Click on the images containing bicycles.,"[""Bus (77).jpg"", ""Bicycle (421).jpg"", ""Bicycle (730).jpg"", ""Stair (1349).jpg"", ""Chimney (100).jpg"", ""Bicycle (116).jpg"", ""Chimney (74).jpg"", ""Stair (1052).jpg"", ""Hydrant (98).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D"", ""D""]","[1, 2, 5]","[""Bicycle (421).jpg"", ""Bicycle (730).jpg"", ""Bicycle (116).jpg""]",750,8,6,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:59:41.831,2026-02-19T13:59:50.187,8.356,9,1,Click on the images containing bicycles.,"[""Tlight (106).jpg"", ""Bicycle (198).jpg"", ""Chimney (31).jpg"", ""Tlight (78).jpg"", ""Bicycle (41).jpg"", ""Bicycle (615).jpg"", ""Stair (917).jpg"", ""Tlight (11).jpg"", ""Bicycle (646).jpg""]","[""D"", ""T"", ""D"", ""D"", ""T"", ""T"", ""D"", ""D"", ""T""]","[1, 4, 5, 8]","[""Bicycle (198).jpg"", ""Bicycle (41).jpg"", ""Bicycle (615).jpg"", ""Bicycle (646).jpg""]",746,9,7,10,submit,
6e6857e4a11d4ac7a05c3ee52d2d20a8,captcha_pre,22,22,female,2026-02-19T13:59:50.897,2026-02-19T13:59:57.491,6.594,10,0,Click on the images containing bicycles.,"[""Stair (282).jpg"", ""Palm (75).jpg"", ""Chimney (108).jpg"", ""Palm (88).jpg"", ""Bridge (118).jpg"", ""Bicycle (482).jpg"", ""Bicycle (166).jpg"", ""Bridge (68).jpg"", ""Bicycle (78).jpg""]","[""D"", ""D"", ""D"", ""D"", ""D"", ""T"", ""T"", ""D"", ""T""]","[5, 8]","[""Bicycle (482).jpg"", ""Bicycle (78).jpg""]",743,10,7,10,submit,
