exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
6098a494a793428d8d038e1796bef23e,captcha_pre,44,44,other,2026-02-18T06:41:10.210,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
6098a494a793428d8d038e1796bef23e,captcha_pre,44,44,other,2026-02-18T06:41:10.231,2026-02-18T06:41:14.507,4.276,1,0,Click on the images containing bicycles.,"[""Hydrant (115).jpg"", ""Bicycle (219).jpg"", ""Bicycle (694).jpg"", ""Bicycle (657).jpg"", ""Bicycle (667).jpg"", ""Hydrant (52).jpg"", ""Cross (118).jpg"", ""Bicycle (728).jpg"", ""Bridge (100).jpg""]","[""D"", ""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D""]","[1, 2, 3, 7]","[""Bicycle (219).jpg"", ""Bicycle (694).jpg"", ""Bicycle (657).jpg"", ""Bicycle (728).jpg""]",775,1,0,1,submit,
6098a494a793428d8d038e1796bef23e,captcha_pre,44,44,other,2026-02-18T06:41:15.216,2026-02-18T06:41:21.319,6.103,2,1,Click on the images containing bicycles.,"[""Chimney (13).jpg"", ""Bicycle (685).jpg"", ""Bicycle (630).jpg"", ""Hydrant (83).jpg"", ""Bicycle (702).jpg"", ""Bicycle (35).jpg"", ""Bridge (137).jpg"", ""Bicycle (374).jpg"", ""Hydrant (35).jpg""]","[""D"", ""T"", ""T"", ""D"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 4, 5, 7]","[""Bicycle (685).jpg"", ""Bicycle (630).jpg"", ""Bicycle (702).jpg"", ""Bicycle (35).jpg"", ""Bicycle (374).jpg""]",770,2,1,1,submit,
6098a494a793428d8d038e1796bef23e,captcha_pre,44,44,other,2026-02-18T06:41:15.216,2026-02-18T06:41:22.032,6.816,2,,Click on the images containing bicycles.,[],[],[],[],770,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
6098a494a793428d8d038e1796bef23e,q_pre_captcha,44,44,other,2026-02-18T06:41:22.048,2026-02-18T06:41:24.348,2.3,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_enjoyment"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_difficulty"": ""4""}"
6098a494a793428d8d038e1796bef23e,q_pre_idaq,44,44,other,2026-02-18T06:41:24.365,2026-02-18T06:41:27.498,3.133,,,,,,,,,,,,submit,"{""idaq_20"": ""5"", ""idaq_9"": ""5"", ""idaq_12"": ""5"", ""idaq_15"": ""5"", ""idaq_27"": ""5"", ""idaq_3"": ""5"", ""idaq_4"": ""5"", ""idaq_30"": ""5"", ""idaq_17"": ""5"", ""idaq_29"": ""5"", ""idaq_6"": ""5"", ""idaq_8"": ""5"", ""idaq_2"": ""5"", ""idaq_18"": ""5"", ""idaq_14"": ""5"", ""idaq_23"": ""5"", ""idaq_13"": ""5"", ""idaq_1"": ""5"", ""idaq_22"": ""5"", ""idaq_19"": ""5"", ""idaq_25"": ""5"", ""idaq_26"": ""5"", ""idaq_7"": ""5"", ""idaq_5"": ""5"", ""idaq_10"": ""5"", ""idaq_21"": ""5"", ""idaq_24"": ""5"", ""idaq_16"": ""5"", ""idaq_11"": ""5"", ""idaq_28"": ""5""}"
6098a494a793428d8d038e1796bef23e,q_pre_2050,44,44,other,2026-02-18T06:41:27.515,2026-02-18T06:41:29.701,2.186,,,,,,,,,,,,submit,"{""2050_school"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_sports"": ""5"", ""2050_hiking"": ""5"", ""2050_crime"": ""5"", ""2050_art"": ""5"", ""2050_experiments"": ""5"", ""2050_rights"": ""5"", ""2050_mannequins"": ""5"", ""2050_other_worlds"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_nursing_home"": ""5"", ""2050_police"": ""5"", ""2050_rubbish_collectors"": ""5"", ""2050_shelters"": ""5""}"
6098a494a793428d8d038e1796bef23e,q_post_gators,44,44,other,2026-02-18T06:41:29.716,2026-02-18T06:41:31.868,2.152,,,,,,,,,,,,submit,"{""gators_6"": ""4"", ""gators_20"": ""4"", ""gators_4"": ""4"", ""gators_1"": ""4"", ""gators_12"": ""4"", ""gators_7"": ""4"", ""gators_19"": ""4"", ""gators_2"": ""4"", ""gators_15"": ""4"", ""gators_17"": ""4"", ""gators_8"": ""4"", ""gators_9"": ""4"", ""gators_10"": ""4"", ""gators_11"": ""4"", ""gators_5"": ""4"", ""gators_14"": ""4"", ""gators_18"": ""4"", ""gators_13"": ""4"", ""gators_16"": ""4"", ""gators_3"": ""4""}"
6098a494a793428d8d038e1796bef23e,q_post_specific,44,44,other,2026-02-18T06:41:31.880,2026-02-18T06:41:34.038,2.158,,,,,,,,,,,,submit,"{""robot_likeability"": ""4"", ""conversation_interestingness"": ""4"", ""robot_friendliness"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_empathy"": ""4""}"
6098a494a793428d8d038e1796bef23e,captcha_post,44,44,other,2026-02-18T06:41:35.367,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
