exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
ae3a6bf75e2649608c227a1840c633c9,captcha_pre,55,55,male,2026-02-18T07:23:46.652,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
ae3a6bf75e2649608c227a1840c633c9,captcha_pre,55,55,male,2026-02-18T07:23:46.673,2026-02-18T07:23:50.895,4.222,1,1,Click on the images containing bicycles.,"[""Chimney (45).jpg"", ""Bicycle (416).jpg"", ""Hydrant (68).jpg"", ""Bicycle (479).jpg"", ""Tlight (108).jpg"", ""Bicycle (282).jpg"", ""Car (48).jpg"", ""Chimney (71).jpg"", ""Bicycle (578).jpg""]","[""D"", ""T"", ""D"", ""T"", ""D"", ""T"", ""D"", ""D"", ""T""]","[1, 3, 5, 8]","[""Bicycle (416).jpg"", ""Bicycle (479).jpg"", ""Bicycle (282).jpg"", ""Bicycle (578).jpg""]",776,1,1,1,submit,
ae3a6bf75e2649608c227a1840c633c9,captcha_pre,55,55,male,2026-02-18T07:23:46.673,2026-02-18T07:23:51.607,4.934,1,,Click on the images containing bicycles.,[],[],[],[],776,1,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
ae3a6bf75e2649608c227a1840c633c9,q_pre_captcha,55,55,male,2026-02-18T07:23:51.623,2026-02-18T07:23:54.318,2.695,,,,,,,,,,,,submit,"{""captcha_task_fun"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_meaningfulness"": ""4"", ""captcha_task_enjoyment"": ""4"", ""captcha_task_difficulty"": ""4""}"
ae3a6bf75e2649608c227a1840c633c9,q_pre_idaq,55,55,male,2026-02-18T07:23:54.332,2026-02-18T07:23:57.002,2.67,,,,,,,,,,,,submit,"{""idaq_11"": ""5"", ""idaq_5"": ""5"", ""idaq_18"": ""5"", ""idaq_20"": ""5"", ""idaq_10"": ""5"", ""idaq_15"": ""5"", ""idaq_12"": ""5"", ""idaq_3"": ""5"", ""idaq_23"": ""5"", ""idaq_30"": ""5"", ""idaq_24"": ""5"", ""idaq_8"": ""5"", ""idaq_25"": ""5"", ""idaq_29"": ""5"", ""idaq_26"": ""5"", ""idaq_2"": ""5"", ""idaq_22"": ""5"", ""idaq_7"": ""5"", ""idaq_4"": ""5"", ""idaq_14"": ""5"", ""idaq_13"": ""5"", ""idaq_21"": ""5"", ""idaq_19"": ""5"", ""idaq_6"": ""5"", ""idaq_28"": ""5"", ""idaq_27"": ""5"", ""idaq_1"": ""5"", ""idaq_9"": ""5"", ""idaq_17"": ""5"", ""idaq_16"": ""5""}"
ae3a6bf75e2649608c227a1840c633c9,q_pre_2050,55,55,male,2026-02-18T07:23:57.015,2026-02-18T07:24:00.320,3.305,,,,,,,,,,,,submit,"{""2050_art"": ""5"", ""2050_sports"": ""5"", ""2050_nursing_home"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_other_worlds"": ""5"", ""2050_rights"": ""5"", ""2050_flight_attendants"": ""5"", ""2050_experiments"": ""5"", ""2050_mannequins"": ""5"", ""2050_crime"": ""5"", ""2050_school"": ""5"", ""2050_shelters"": ""5"", ""2050_police"": ""5"", ""2050_hiking"": ""5"", ""2050_rubbish_collectors"": ""5""}"
ae3a6bf75e2649608c227a1840c633c9,q_post_gators,55,55,male,2026-02-18T07:31:37.087,2026-02-18T07:31:40.705,3.618,,,,,,,,,,,,submit,"{""gators_8"": ""4"", ""gators_17"": ""4"", ""gators_19"": ""4"", ""gators_18"": ""4"", ""gators_12"": ""4"", ""gators_6"": ""4"", ""gators_3"": ""4"", ""gators_7"": ""4"", ""gators_15"": ""4"", ""gators_9"": ""4"", ""gators_2"": ""4"", ""gators_1"": ""4"", ""gators_13"": ""4"", ""gators_4"": ""4"", ""gators_5"": ""4"", ""gators_14"": ""4"", ""gators_20"": ""4"", ""gators_11"": ""4"", ""gators_10"": ""4"", ""gators_16"": ""4""}"
ae3a6bf75e2649608c227a1840c633c9,q_post_specific,55,55,male,2026-02-18T07:31:40.717,2026-02-18T07:31:42.618,1.901,,,,,,,,,,,,submit,"{""robot_likeability"": ""4"", ""robot_empathy"": ""4"", ""conversation_interestingness"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_friendliness"": ""4""}"
ae3a6bf75e2649608c227a1840c633c9,captcha_post,55,55,male,2026-02-18T07:31:43.941,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
ae3a6bf75e2649608c227a1840c633c9,captcha_post,55,55,male,2026-02-18T07:31:43.960,2026-02-18T07:31:53.118,9.158,1,1,Click on the images containing bicycles.,"[""Bicycle (612).jpg"", ""Bicycle (688).jpg"", ""Bicycle (771).jpg"", ""Bicycle (319).jpg"", ""Tlight (88).jpg"", ""Bus (96).jpg"", ""Bicycle (518).jpg"", ""Hydrant (135).jpg"", ""Tlight (70).jpg""]","[""T"", ""T"", ""T"", ""T"", ""D"", ""D"", ""T"", ""D"", ""D""]","[0, 1, 2, 3, 6]","[""Bicycle (612).jpg"", ""Bicycle (688).jpg"", ""Bicycle (771).jpg"", ""Bicycle (319).jpg"", ""Bicycle (518).jpg""]",775,1,1,1000,submit,
