exp_sid,stage_id,participant_number,age,gender,timestamp_display,timestamp_submit,rt_sec,captcha_index,correct,prompt_text,shown_filenames_json,shown_labels_json,selected_indices_json,selected_filenames_json,targets_remaining_after,total_seen_so_far,total_correct_so_far,goal_correct,event,questionnaire_json
59000f7d788f4005a2a25d7cb1655cd3,captcha_pre,55,66,other,2026-02-18T09:01:06.065,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1,enter,
59000f7d788f4005a2a25d7cb1655cd3,captcha_pre,55,66,other,2026-02-18T09:01:06.091,2026-02-18T09:01:16.757,10.666,1,0,Click on the images containing bicycles.,"[""Bridge (94).jpg"", ""Bicycle (237).jpg"", ""Stair (14).jpg"", ""Bicycle (530).jpg"", ""Bicycle (286).jpg"", ""Bicycle (673).jpg"", ""Car (102).jpg"", ""Bicycle (625).jpg"", ""Chimney (23).jpg""]","[""D"", ""T"", ""D"", ""T"", ""T"", ""T"", ""D"", ""T"", ""D""]","[1, 2, 3, 4, 7]","[""Bicycle (237).jpg"", ""Stair (14).jpg"", ""Bicycle (530).jpg"", ""Bicycle (286).jpg"", ""Bicycle (625).jpg""]",775,1,0,1,submit,
59000f7d788f4005a2a25d7cb1655cd3,captcha_pre,55,66,other,2026-02-18T09:01:17.466,2026-02-18T09:01:25.408,7.942,2,1,Click on the images containing bicycles.,"[""Hydrant (59).jpg"", ""Bicycle (16).jpg"", ""Bicycle (234).jpg"", ""Stair (717).jpg"", ""Hydrant (79).jpg"", ""Palm (57).jpg"", ""Bicycle (454).jpg"", ""Bicycle (482).jpg"", ""Bicycle (316).jpg""]","[""D"", ""T"", ""T"", ""D"", ""D"", ""D"", ""T"", ""T"", ""T""]","[1, 2, 6, 7, 8]","[""Bicycle (16).jpg"", ""Bicycle (234).jpg"", ""Bicycle (454).jpg"", ""Bicycle (482).jpg"", ""Bicycle (316).jpg""]",770,2,1,1,submit,
59000f7d788f4005a2a25d7cb1655cd3,captcha_pre,55,66,other,2026-02-18T09:01:17.466,2026-02-18T09:01:26.122,8.656,2,,Click on the images containing bicycles.,[],[],[],[],770,2,1,1,finish,"{""status"": ""complete"", ""reason"": ""stage_finish""}"
59000f7d788f4005a2a25d7cb1655cd3,q_pre_captcha,55,66,other,2026-02-18T09:01:26.136,2026-02-18T09:01:29.023,2.887,,,,,,,,,,,,submit,"{""captcha_task_meaningfulness"": ""4"", ""captcha_task_enjoyment"": ""4"", ""general_captcha_liking"": ""4"", ""captcha_task_difficulty"": ""4"", ""captcha_task_fun"": ""4""}"
59000f7d788f4005a2a25d7cb1655cd3,q_pre_idaq,55,66,other,2026-02-18T09:01:29.042,2026-02-18T09:01:32.925,3.883,,,,,,,,,,,,submit,"{""idaq_1"": ""5"", ""idaq_21"": ""5"", ""idaq_22"": ""5"", ""idaq_26"": ""5"", ""idaq_17"": ""5"", ""idaq_15"": ""5"", ""idaq_9"": ""5"", ""idaq_28"": ""5"", ""idaq_19"": ""5"", ""idaq_8"": ""5"", ""idaq_3"": ""5"", ""idaq_13"": ""5"", ""idaq_23"": ""5"", ""idaq_10"": ""5"", ""idaq_5"": ""5"", ""idaq_29"": ""5"", ""idaq_16"": ""5"", ""idaq_11"": ""5"", ""idaq_6"": ""5"", ""idaq_18"": ""5"", ""idaq_27"": ""5"", ""idaq_25"": ""5"", ""idaq_12"": ""5"", ""idaq_4"": ""5"", ""idaq_24"": ""5"", ""idaq_7"": ""5"", ""idaq_20"": ""5"", ""idaq_14"": ""5"", ""idaq_2"": ""5"", ""idaq_30"": ""5""}"
59000f7d788f4005a2a25d7cb1655cd3,q_pre_2050,55,66,other,2026-02-18T09:01:32.937,2026-02-18T09:02:17.751,44.814,,,,,,,,,,,,submit,"{""2050_experiments"": ""5"", ""2050_rights"": ""5"", ""2050_school"": ""4"", ""2050_rubbish_collectors"": ""6"", ""2050_mannequins"": ""5"", ""2050_hiking"": ""5"", ""2050_neurosurgery"": ""5"", ""2050_art"": ""5"", ""2050_nursing_home"": ""5"", ""2050_police"": ""5"", ""2050_crime"": ""5"", ""2050_other_worlds"": ""5"", ""2050_sports"": ""5"", ""2050_shelters"": ""5"", ""2050_flight_attendants"": ""5""}"
59000f7d788f4005a2a25d7cb1655cd3,q_post_gators,55,66,other,2026-02-18T09:03:21.556,2026-02-18T09:03:25.977,4.421,,,,,,,,,,,,submit,"{""gators_14"": ""4"", ""gators_7"": ""4"", ""gators_12"": ""4"", ""gators_1"": ""4"", ""gators_3"": ""4"", ""gators_16"": ""4"", ""gators_2"": ""4"", ""gators_6"": ""4"", ""gators_9"": ""4"", ""gators_17"": ""4"", ""gators_5"": ""4"", ""gators_19"": ""4"", ""gators_20"": ""4"", ""gators_4"": ""4"", ""gators_15"": ""4"", ""gators_11"": ""4"", ""gators_8"": ""4"", ""gators_10"": ""4"", ""gators_18"": ""4"", ""gators_13"": ""4""}"
59000f7d788f4005a2a25d7cb1655cd3,q_post_specific,55,66,other,2026-02-18T09:03:25.988,2026-02-18T09:03:28.770,2.782,,,,,,,,,,,,submit,"{""robot_friendliness"": ""4"", ""robot_empathy"": ""4"", ""mentacy_belief"": ""0"", ""belief_confidence"": ""4"", ""robot_likeability"": ""4"", ""conversation_interestingness"": ""4""}"
59000f7d788f4005a2a25d7cb1655cd3,captcha_post,55,66,other,2026-02-18T09:03:31.925,,,0,,Click on the images containing bicycles.,,,,,780,0,0,1000,enter,
